severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T13:56:28-0300		214.0	arthurleonardo.ap@gmail.com	python:S1192	MiraiML	6min	Define a constant instead of duplicating this literal '__(hyperparameter)' 3 times.	2019-10-13T20:24:11-0300	CODE_SMELL	false	"design / "	MiraiML:miraiml/core.py	"{locations=[{component=MiraiML:miraiml/core.py, textRange={startLine=338.0, endLine=338.0, startOffset=31.0, endOffset=51.0}, msg=Duplication}]} / {locations=[{component=MiraiML:miraiml/core.py, textRange={startLine=371.0, endLine=371.0, startOffset=31.0, endOffset=51.0}, msg=Duplication}]} / "	MAIN	{startLine=214.0, endLine=214.0, startOffset=28.0, endOffset=48.0}	6min	AYNCFLdtop39vzmIhcW_	eb3061935452d67c1531eefcf21fbc4e	OPEN
CRITICAL	2022-09-15T13:56:28-0300		216.0	arthurleonardo.ap@gmail.com	python:S1192	MiraiML	6min	Define a constant instead of duplicating this literal '__(feature)' 3 times.	2019-10-13T20:24:11-0300	CODE_SMELL	false	"design / "	MiraiML:miraiml/core.py	"{locations=[{component=MiraiML:miraiml/core.py, textRange={startLine=341.0, endLine=341.0, startOffset=33.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=MiraiML:miraiml/core.py, textRange={startLine=373.0, endLine=373.0, startOffset=33.0, endOffset=46.0}, msg=Duplication}]} / "	MAIN	{startLine=216.0, endLine=216.0, startOffset=26.0, endOffset=39.0}	6min	AYNCFLdtop39vzmIhcXA	ad90ad949c8e994bf5edd55960119757	OPEN
MAJOR	2022-09-15T13:56:28-0300		374.0	arthurleonardo.ap@gmail.com	python:S1066	MiraiML	5min	Merge this if statement with the enclosing one.	2019-10-13T20:24:11-0300	CODE_SMELL	false	"clumsy / "	MiraiML:miraiml/core.py	"{locations=[{component=MiraiML:miraiml/core.py, textRange={startLine=373.0, endLine=373.0, startOffset=12.0, endOffset=16.0}, msg=enclosing}]} / "	MAIN	{startLine=374.0, endLine=374.0, startOffset=16.0, endOffset=18.0}	5min	AYNCFLdtop39vzmIhcXB	9eb60354ee7594e6f92bd62d1bda1e79	OPEN
CRITICAL	2022-09-15T13:56:28-0300		588.0	arthurleonardo.ap@gmail.com	python:S3776	MiraiML	35min	Refactor this function to reduce its Cognitive Complexity from 45 to the 15 allowed.	2019-10-13T17:18:42-0300	CODE_SMELL	false	"brain-overload / "	MiraiML:miraiml/main.py	"{locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=593.0, endLine=593.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=613.0, endLine=613.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=614.0, endLine=614.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=619.0, endLine=619.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=623.0, endLine=623.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=624.0, endLine=624.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=631.0, endLine=631.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=632.0, endLine=632.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=639.0, endLine=639.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=654.0, endLine=654.0, startOffset=50.0, endOffset=53.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=657.0, endLine=657.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=669.0, endLine=669.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=676.0, endLine=676.0, startOffset=8.0, endOffset=13.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=680.0, endLine=680.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=682.0, endLine=682.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=694.0, endLine=694.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=694.0, endLine=694.0, startOffset=43.0, endOffset=45.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=695.0, endLine=695.0, startOffset=53.0, endOffset=56.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=703.0, endLine=703.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=710.0, endLine=710.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=716.0, endLine=716.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=717.0, endLine=717.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / "	MAIN	{startLine=588.0, endLine=588.0, startOffset=8.0, endOffset=21.0}	35min	AYNCFLcoop39vzmIhcW8	35e864308c3c408ed0f16bb66ba64049	OPEN
CRITICAL	2022-09-15T13:56:28-0300		15.0	arthurleonardo.ap@gmail.com	python:S3776	MiraiML	6min	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.	2019-10-13T17:18:42-0300	CODE_SMELL	false	"brain-overload / "	MiraiML:tests/run.py	"{locations=[{component=MiraiML:tests/run.py, textRange={startLine=57.0, endLine=57.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=64.0, endLine=64.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=71.0, endLine=71.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=71.0, endLine=71.0, startOffset=52.0, endOffset=54.0}, msg=+1}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=75.0, endLine=75.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=78.0, endLine=78.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=82.0, endLine=82.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=83.0, endLine=83.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=83.0, endLine=83.0, startOffset=48.0, endOffset=50.0}, msg=+1}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=88.0, endLine=88.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=95.0, endLine=95.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=MiraiML:tests/run.py, textRange={startLine=104.0, endLine=104.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / "	MAIN	{startLine=15.0, endLine=15.0, startOffset=4.0, endOffset=12.0}	6min	AYNCFLeIop39vzmIhcXT	4204499a43562f42445d48d5a5702fad	OPEN
CRITICAL	2022-09-15T13:56:28-0300		213.0	arthurleonardo.ap@gmail.com	python:S3776	MiraiML	19min	Refactor this function to reduce its Cognitive Complexity from 29 to the 15 allowed.	2019-10-07T07:10:31-0300	CODE_SMELL	false	"brain-overload / "	MiraiML:miraiml/main.py	"{locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=219.0, endLine=219.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=222.0, endLine=222.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=225.0, endLine=225.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=227.0, endLine=227.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=230.0, endLine=230.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=233.0, endLine=233.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=235.0, endLine=235.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=239.0, endLine=239.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=240.0, endLine=240.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=244.0, endLine=244.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=248.0, endLine=248.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=248.0, endLine=248.0, startOffset=48.0, endOffset=51.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=252.0, endLine=252.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=252.0, endLine=252.0, startOffset=44.0, endOffset=47.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=256.0, endLine=256.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=259.0, endLine=259.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=261.0, endLine=261.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=264.0, endLine=264.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=267.0, endLine=267.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=267.0, endLine=267.0, startOffset=35.0, endOffset=38.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=269.0, endLine=269.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=269.0, endLine=269.0, startOffset=40.0, endOffset=43.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=271.0, endLine=271.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=274.0, endLine=274.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=274.0, endLine=274.0, startOffset=43.0, endOffset=46.0}, msg=+1}]} / "	MAIN	{startLine=213.0, endLine=213.0, startOffset=8.0, endOffset=20.0}	19min	AYNCFLcoop39vzmIhcW6	8415b75770247aa3e99bb26bda7482d6	OPEN
MAJOR	2022-09-15T13:56:28-0300		181.0	arthurleonardo.ap@gmail.com	python:S5806	MiraiML	5min	Rename this variable; it shadows a builtin.	2019-10-06T12:30:47-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	MiraiML:miraiml/core.py		MAIN	{startLine=181.0, endLine=181.0, startOffset=12.0, endOffset=14.0}	5min	AYNCFLdtop39vzmIhcXH	327cff4705bec5f8aa227acc10fcacf5	OPEN
MAJOR	2022-09-15T13:56:28-0300		243.0	arthurleonardo.ap@gmail.com	python:S5806	MiraiML	5min	Rename this variable; it shadows a builtin.	2019-10-06T12:30:47-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	MiraiML:miraiml/main.py		MAIN	{startLine=243.0, endLine=243.0, startOffset=12.0, endOffset=14.0}	5min	AYNCFLcoop39vzmIhcW7	327cff4705bec5f8aa227acc10fcacf5	OPEN
MAJOR	2022-09-15T13:56:28-0300		616.0	arthurleonardo.ap@gmail.com	python:S5806	MiraiML	5min	Rename this variable; it shadows a builtin.	2019-10-06T12:30:47-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	MiraiML:miraiml/main.py	"{locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=684.0, endLine=684.0, startOffset=16.0, endOffset=18.0}, msg=Variable also assigned here.}]} / "	MAIN	{startLine=616.0, endLine=616.0, startOffset=12.0, endOffset=14.0}	5min	AYNCFLcoop39vzmIhcW9	327cff4705bec5f8aa227acc10fcacf5	OPEN
CRITICAL	2022-09-15T13:56:28-0300		831.0	arthurleonardo.ap@gmail.com	python:S1192	MiraiML	8min	Define a constant instead of duplicating this literal '########################\n' 4 times.	2019-10-05T17:15:00-0300	CODE_SMELL	false	"design / "	MiraiML:miraiml/main.py	"{locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=837.0, endLine=837.0, startOffset=23.0, endOffset=51.0}, msg=Duplication}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=846.0, endLine=846.0, startOffset=19.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=MiraiML:miraiml/main.py, textRange={startLine=858.0, endLine=858.0, startOffset=23.0, endOffset=51.0}, msg=Duplication}]} / "	MAIN	{startLine=831.0, endLine=831.0, startOffset=17.0, endOffset=45.0}	8min	AYNCFLcoop39vzmIhcW5	9861895ae8400afc95308e38935087c6	OPEN
