severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T17:18:08-0300		7.0	gsvigruha@users.noreply.github.com	python:S1192	Prodmodel	6min	Define a constant instead of duplicating this literal 'data.csv' 3 times.	2019-07-14T15:20:28-0300	CODE_SMELL	false	"design / "	Prodmodel:integration-tests/example/build.py	"{locations=[{component=Prodmodel:integration-tests/example/build.py, textRange={startLine=31.0, endLine=31.0, startOffset=7.0, endOffset=17.0}, msg=Duplication}]} / {locations=[{component=Prodmodel:integration-tests/example/build.py, textRange={startLine=56.0, endLine=56.0, startOffset=7.0, endOffset=17.0}, msg=Duplication}]} / "	MAIN	{startLine=7.0, endLine=7.0, startOffset=7.0, endOffset=17.0}	6min	AYNCzVk2op39vzmIn74D	ea796368dc3cf9a341c6ae4e5e0d30a1	OPEN
CRITICAL	2022-09-15T17:18:08-0300		26.0	gsvigruha@users.noreply.github.com	python:S3776	Prodmodel	22min	Refactor this function to reduce its Cognitive Complexity from 32 to the 15 allowed.	2019-07-08T21:55:55-0300	CODE_SMELL	false	"brain-overload / "	Prodmodel:prodmodel/docgen.py	"{locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=27.0, endLine=27.0, startOffset=2.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=6.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=33.0, endLine=33.0, startOffset=6.0, endOffset=9.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=36.0, endLine=36.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=38.0, endLine=38.0, startOffset=6.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=45.0, endLine=45.0, startOffset=6.0, endOffset=9.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=48.0, endLine=48.0, startOffset=6.0, endOffset=9.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=51.0, endLine=51.0, startOffset=6.0, endOffset=9.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=52.0, endLine=52.0, startOffset=38.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=57.0, endLine=57.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=60.0, endLine=60.0, startOffset=8.0, endOffset=11.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/docgen.py, textRange={startLine=61.0, endLine=61.0, startOffset=10.0, endOffset=12.0}, msg=+5 (incl 4 for nesting)}]} / "	MAIN	{startLine=26.0, endLine=26.0, startOffset=4.0, endOffset=11.0}	22min	AYNCzVkxop39vzmIn74C	be1cba8f0981ae29cec8c8a7e132a994	OPEN
MINOR	2022-09-15T17:18:08-0300		147.0	gsvigruha@users.noreply.github.com	python:S117	Prodmodel	2min	"Rename this local variable ""fileHandler"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2019-07-08T21:55:55-0300	CODE_SMELL	false	"convention / "	Prodmodel:prodmodel/executor.py		MAIN	{startLine=147.0, endLine=147.0, startOffset=2.0, endOffset=13.0}	2min	AYNCzVkEop39vzmIn737	c339ae9642e6cbd5a0b1bf5dd9d7f05a	OPEN
MAJOR	2022-09-15T17:18:08-0300		92.0	gsvigruha@users.noreply.github.com	python:S108	Prodmodel	5min	Either remove or fill this block of code.	2019-07-04T01:21:02-0300	CODE_SMELL	false	"suspicious / "	Prodmodel:prodmodel/executor.py		MAIN	{startLine=92.0, endLine=92.0, startOffset=4.0, endOffset=8.0}	5min	AYNCzVkEop39vzmIn735	1a1dc91c907325c69271ddf0c944bc72	OPEN
CRITICAL	2022-09-15T17:18:08-0300		99.0	gsvigruha@users.noreply.github.com	python:S1192	Prodmodel	6min	Define a constant instead of duplicating this literal 'build.py' 3 times.	2019-07-03T00:54:48-0300	CODE_SMELL	false	"design / "	Prodmodel:prodmodel/executor.py	"{locations=[{component=Prodmodel:prodmodel/executor.py, textRange={startLine=102.0, endLine=102.0, startOffset=22.0, endOffset=32.0}, msg=Duplication}]} / {locations=[{component=Prodmodel:prodmodel/executor.py, textRange={startLine=112.0, endLine=112.0, startOffset=16.0, endOffset=26.0}, msg=Duplication}]} / "	MAIN	{startLine=99.0, endLine=99.0, startOffset=16.0, endOffset=26.0}	6min	AYNCzVkEop39vzmIn734	015a65be0ca790b299c312445eeb16e8	OPEN
CRITICAL	2022-09-15T17:18:08-0300		10.0	gsvigruha@users.noreply.github.com	python:S3776	Prodmodel	6min	Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.	2019-06-22T19:11:51-0300	CODE_SMELL	false	"brain-overload / "	Prodmodel:prodmodel/tools/cleaner.py	"{locations=[{component=Prodmodel:prodmodel/tools/cleaner.py, textRange={startLine=13.0, endLine=13.0, startOffset=2.0, endOffset=4.0}, msg=+1}]} / {locations=[{component=Prodmodel:prodmodel/tools/cleaner.py, textRange={startLine=14.0, endLine=14.0, startOffset=4.0, endOffset=7.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/tools/cleaner.py, textRange={startLine=15.0, endLine=15.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/tools/cleaner.py, textRange={startLine=17.0, endLine=17.0, startOffset=8.0, endOffset=10.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/tools/cleaner.py, textRange={startLine=19.0, endLine=19.0, startOffset=10.0, endOffset=12.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/tools/cleaner.py, textRange={startLine=23.0, endLine=23.0, startOffset=2.0, endOffset=6.0}, msg=+1}]} / "	MAIN	{startLine=10.0, endLine=10.0, startOffset=4.0, endOffset=26.0}	6min	AYNCzVkrop39vzmIn74B	d8b11dc50475b1d02a5a44daf525d70f	OPEN
MAJOR	2022-09-15T17:18:08-0300		235.0	gsvigruha@users.noreply.github.com	python:S1172	Prodmodel	5min	"Remove the unused function parameter ""kwargs""."	2019-06-22T16:52:31-0300	CODE_SMELL	false	"unused / "	Prodmodel:prodmodel/executor.py		MAIN	{startLine=235.0, endLine=235.0, startOffset=31.0, endOffset=39.0}	5min	AYNCzVkEop39vzmIn739	05074682cf9d3526059a5c2223b9cdf2	OPEN
MAJOR	2022-09-15T17:18:08-0300		239.0	gsvigruha@users.noreply.github.com	python:S1172	Prodmodel	5min	"Remove the unused function parameter ""kwargs""."	2019-06-22T16:52:31-0300	CODE_SMELL	false	"unused / "	Prodmodel:prodmodel/executor.py		MAIN	{startLine=239.0, endLine=239.0, startOffset=44.0, endOffset=52.0}	5min	AYNCzVkEop39vzmIn73-	8de884165bd9ca0c79d1cb3792d4a36c	OPEN
CRITICAL	2022-09-15T17:18:08-0300		14.0	gsvigruha@users.noreply.github.com	python:S2710	Prodmodel	5min	"Rename ""self"" to a valid class parameter name or add the missing class parameter."	2019-05-28T22:21:42-0300	CODE_SMELL	false	"confusing / convention / pitfall / "	Prodmodel:tests/prodmodel/model/target_test_util.py		MAIN	{startLine=14.0, endLine=14.0, startOffset=12.0, endOffset=16.0}	5min	AYNCzVjEop39vzmIn73y	f727e45acb03c49d62017e8c8fc71364	OPEN
CRITICAL	2022-09-15T17:18:08-0300		75.0	gsvigruha@users.noreply.github.com	python:S3776	Prodmodel	32min	Refactor this function to reduce its Cognitive Complexity from 42 to the 15 allowed.	2019-05-28T21:26:22-0300	CODE_SMELL	false	"brain-overload / "	Prodmodel:prodmodel/util.py	"{locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=79.0, endLine=79.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=84.0, endLine=84.0, startOffset=8.0, endOffset=14.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=89.0, endLine=89.0, startOffset=4.0, endOffset=7.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=90.0, endLine=90.0, startOffset=6.0, endOffset=8.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=93.0, endLine=93.0, startOffset=8.0, endOffset=10.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=93.0, endLine=93.0, startOffset=50.0, endOffset=53.0}, msg=+1}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=95.0, endLine=95.0, startOffset=10.0, endOffset=12.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=96.0, endLine=96.0, startOffset=12.0, endOffset=15.0}, msg=+6 (incl 5 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=99.0, endLine=99.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=99.0, endLine=99.0, startOffset=52.0, endOffset=55.0}, msg=+1}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=101.0, endLine=101.0, startOffset=10.0, endOffset=12.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=102.0, endLine=102.0, startOffset=12.0, endOffset=15.0}, msg=+6 (incl 5 for nesting)}]} / {locations=[{component=Prodmodel:prodmodel/util.py, textRange={startLine=104.0, endLine=104.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / "	MAIN	{startLine=75.0, endLine=75.0, startOffset=4.0, endOffset=17.0}	32min	AYNCzVkJop39vzmIn74A	2dbf32832968083b494976800cb8f3d4	OPEN
