severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T14:10:56-0300		73.0	liraim@users.noreply.github.com	python:S3776	Evidently	10min	Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.	2022-04-10T17:59:31-0300	CODE_SMELL	false	"brain-overload / "	Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py	"{locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=108.0, endLine=108.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=111.0, endLine=111.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=119.0, endLine=119.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=119.0, endLine=119.0, startOffset=46.0, endOffset=49.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=122.0, endLine=122.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=122.0, endLine=122.0, startOffset=50.0, endOffset=53.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=133.0, endLine=133.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=134.0, endLine=134.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=138.0, endLine=138.0, startOffset=57.0, endOffset=59.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=139.0, endLine=139.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=148.0, endLine=148.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=149.0, endLine=149.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=153.0, endLine=153.0, startOffset=55.0, endOffset=57.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/cat_target_drift_analyzer.py, textRange={startLine=154.0, endLine=154.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / "	MAIN	{startLine=73.0, endLine=73.0, startOffset=8.0, endOffset=17.0}	10min	AYNCI8C6op39vzmIil58	5eb18cefc1d4307d69626ae520f4979b	OPEN
CRITICAL	2022-09-15T14:10:56-0300		8.0	liraim@users.noreply.github.com	python:S1186	Evidently	5min	Add a nested comment explaining why this function is empty, or complete the implementation.	2022-04-10T17:59:31-0300	CODE_SMELL	false	"suspicious / "	Evidently:tests/analyzers/stattests/test_registry.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=4.0, endOffset=20.0}	5min	AYNCI8Deop39vzmIil6G	d930a78e4e2b643b129e2c0efa5c7258	OPEN
CRITICAL	2022-09-15T14:10:56-0300		154.0	36808731+0lgaf@users.noreply.github.com	python:S3776	Evidently	20min	Refactor this function to reduce its Cognitive Complexity from 30 to the 15 allowed.	2022-04-10T17:50:50-0300	CODE_SMELL	false	"brain-overload / "	Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py	"{locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=156.0, endLine=156.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=157.0, endLine=157.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=160.0, endLine=160.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=162.0, endLine=162.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=165.0, endLine=165.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=167.0, endLine=167.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=169.0, endLine=169.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=174.0, endLine=174.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=182.0, endLine=182.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=183.0, endLine=183.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=185.0, endLine=185.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=187.0, endLine=187.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=189.0, endLine=189.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=191.0, endLine=191.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=193.0, endLine=193.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_correlations.py, textRange={startLine=196.0, endLine=196.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / "	MAIN	{startLine=154.0, endLine=154.0, startOffset=8.0, endOffset=21.0}	20min	AYNCI8Apop39vzmIil5Q	49ce9522e7b13b7333cbcf4342260477	OPEN
MAJOR	2022-09-15T14:10:56-0300		737.0	novakche@yandex.ru	python:S1515	Evidently	30min	"Add a parameter to the parent lambda function and use variable ""cats"" as its default value; The value of ""cats"" might change at the next loop iteration."	2022-04-10T17:50:30-0300	CODE_SMELL	false	"suspicious / "	Evidently:src/evidently/dashboard/widgets/data_quality_features_widget.py	"{locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_features_widget.py, textRange={startLine=737.0, endLine=737.0, startOffset=20.0, endOffset=26.0}, msg=Lambda capturing the variable}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_features_widget.py, textRange={startLine=735.0, endLine=735.0, startOffset=16.0, endOffset=20.0}, msg=Assignment in the loop}]} / "	MAIN	{startLine=737.0, endLine=737.0, startOffset=45.0, endOffset=49.0}	30min	AYNCI8BBop39vzmIil5Y	54ebacc44eed91bc0e1f9ab1531cf06c	OPEN
MAJOR	2022-09-15T14:10:56-0300		741.0	novakche@yandex.ru	python:S1515	Evidently	30min	"Add a parameter to the parent lambda function and use variable ""cats"" as its default value; The value of ""cats"" might change at the next loop iteration."	2022-04-10T17:50:30-0300	CODE_SMELL	false	"suspicious / "	Evidently:src/evidently/dashboard/widgets/data_quality_features_widget.py	"{locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_features_widget.py, textRange={startLine=741.0, endLine=741.0, startOffset=24.0, endOffset=30.0}, msg=Lambda capturing the variable}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_features_widget.py, textRange={startLine=735.0, endLine=735.0, startOffset=16.0, endOffset=20.0}, msg=Assignment in the loop}]} / "	MAIN	{startLine=741.0, endLine=741.0, startOffset=49.0, endOffset=53.0}	30min	AYNCI8BBop39vzmIil5Z	54ebacc44eed91bc0e1f9ab1531cf06c	OPEN
CRITICAL	2022-09-15T14:10:56-0300		222.0	36808731+0lgaf@users.noreply.github.com	python:S3776	Evidently	20min	Refactor this function to reduce its Cognitive Complexity from 30 to the 15 allowed.	2022-03-09T18:28:19-0300	CODE_SMELL	false	"brain-overload / "	Evidently:src/evidently/analyzers/data_quality_analyzer.py	"{locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=248.0, endLine=248.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=251.0, endLine=251.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=251.0, endLine=251.0, startOffset=41.0, endOffset=44.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=254.0, endLine=254.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=261.0, endLine=261.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=266.0, endLine=266.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=269.0, endLine=269.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=269.0, endLine=269.0, startOffset=40.0, endOffset=43.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=272.0, endLine=272.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=274.0, endLine=274.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=277.0, endLine=277.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=280.0, endLine=280.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=291.0, endLine=291.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=291.0, endLine=291.0, startOffset=63.0, endOffset=66.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=298.0, endLine=298.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=306.0, endLine=306.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=309.0, endLine=309.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=317.0, endLine=317.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / "	MAIN	{startLine=222.0, endLine=222.0, startOffset=8.0, endOffset=17.0}	20min	AYNCI8C3op39vzmIil55	5eb18cefc1d4307d69626ae520f4979b	OPEN
CRITICAL	2022-09-15T14:10:56-0300		376.0	36808731+0lgaf@users.noreply.github.com	python:S3776	Evidently	11min	Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.	2022-03-09T18:28:19-0300	CODE_SMELL	false	"brain-overload / "	Evidently:src/evidently/analyzers/data_quality_analyzer.py	"{locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=389.0, endLine=389.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=390.0, endLine=390.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=392.0, endLine=392.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=392.0, endLine=392.0, startOffset=32.0, endOffset=35.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=395.0, endLine=395.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=396.0, endLine=396.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=398.0, endLine=398.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=398.0, endLine=398.0, startOffset=32.0, endOffset=35.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=400.0, endLine=400.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=400.0, endLine=400.0, startOffset=35.0, endOffset=38.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=403.0, endLine=403.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=403.0, endLine=403.0, startOffset=53.0, endOffset=56.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=405.0, endLine=405.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/data_quality_analyzer.py, textRange={startLine=405.0, endLine=405.0, startOffset=55.0, endOffset=58.0}, msg=+1}]} / "	MAIN	{startLine=376.0, endLine=376.0, startOffset=8.0, endOffset=33.0}	11min	AYNCI8C3op39vzmIil57	476ae32346438ed9d6e0f6014b1bc7d4	OPEN
CRITICAL	2022-09-15T14:10:56-0300		83.0	36808731+0lgaf@users.noreply.github.com	python:S3776	Evidently	11min	Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.	2022-03-09T18:28:19-0300	CODE_SMELL	false	"brain-overload / "	Evidently:src/evidently/analyzers/utils.py	"{locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=84.0, endLine=84.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=87.0, endLine=87.0, startOffset=42.0, endOffset=44.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=90.0, endLine=90.0, startOffset=42.0, endOffset=44.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=98.0, endLine=98.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=99.0, endLine=99.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=102.0, endLine=102.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=107.0, endLine=107.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=110.0, endLine=110.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=113.0, endLine=113.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=117.0, endLine=117.0, startOffset=50.0, endOffset=52.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=119.0, endLine=119.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=126.0, endLine=126.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=135.0, endLine=135.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=137.0, endLine=137.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=148.0, endLine=148.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=153.0, endLine=153.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=158.0, endLine=158.0, startOffset=26.0, endOffset=28.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=159.0, endLine=159.0, startOffset=26.0, endOffset=28.0}, msg=+1}]} / {locations=[{component=Evidently:src/evidently/analyzers/utils.py, textRange={startLine=160.0, endLine=160.0, startOffset=31.0, endOffset=33.0}, msg=+1}]} / "	MAIN	{startLine=83.0, endLine=83.0, startOffset=4.0, endOffset=19.0}	11min	AYNCI8DAop39vzmIil5-	364cd34afbfb9cc853afdb290fc76ca1	OPEN
CRITICAL	2022-09-15T14:10:56-0300		42.0	36808731+0lgaf@users.noreply.github.com	python:S1192	Evidently	6min	Define a constant instead of duplicating this literal 'number of observations' 3 times.	2022-03-09T18:28:19-0300	CODE_SMELL	false	"design / "	Evidently:src/evidently/dashboard/widgets/data_quality_summary.py	"{locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_summary.py, textRange={startLine=98.0, endLine=98.0, startOffset=15.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_summary.py, textRange={startLine=101.0, endLine=101.0, startOffset=68.0, endOffset=92.0}, msg=Duplication}]} / "	MAIN	{startLine=42.0, endLine=42.0, startOffset=77.0, endOffset=101.0}	6min	AYNCI8Bbop39vzmIil5i	c1d510dfa26f1777739fcb5722bebe51	OPEN
CRITICAL	2022-09-15T14:10:56-0300		42.0	36808731+0lgaf@users.noreply.github.com	python:S1192	Evidently	6min	Define a constant instead of duplicating this literal 'target column' 3 times.	2022-03-09T18:28:19-0300	CODE_SMELL	false	"design / "	Evidently:src/evidently/dashboard/widgets/data_quality_summary.py	"{locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_summary.py, textRange={startLine=90.0, endLine=90.0, startOffset=19.0, endOffset=34.0}, msg=Duplication}]} / {locations=[{component=Evidently:src/evidently/dashboard/widgets/data_quality_summary.py, textRange={startLine=92.0, endLine=92.0, startOffset=19.0, endOffset=34.0}, msg=Duplication}]} / "	MAIN	{startLine=42.0, endLine=42.0, startOffset=22.0, endOffset=37.0}	6min	AYNCI8Bcop39vzmIil5j	c1d510dfa26f1777739fcb5722bebe51	OPEN
