severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T14:01:43-0300		29.0	daniel_pumas_59@hotmail.com	python:S107	mljar-supervised	20min	"Method ""__init__"" has 26 parameters, which is greater than the 13 authorized."	2022-02-28T10:56:26-0300	CODE_SMELL	false	"brain-overload / "	mljar-supervised:supervised/automl.py		MAIN	{startLine=29.0, endLine=73.0, startOffset=8.0, endOffset=33.0}	20min	AYNCGa00op39vzmIhvuG	52b8af6604f68ccfcc8d8ff425e1e389	OPEN
CRITICAL	2022-09-15T14:01:43-0300		69.0	daniel_pumas_59@hotmail.com	python:S5717	mljar-supervised	5min	"Change this default value to ""None"" and initialize this parameter inside the function/method."	2022-02-28T10:56:26-0300	CODE_SMELL	false		mljar-supervised:supervised/automl.py	"{locations=[{component=mljar-supervised:supervised/automl.py, textRange={startLine=341.0, endLine=341.0, startOffset=8.0, endOffset=52.0}, msg=The parameter is stored in another object.}]} / "	MAIN	{startLine=69.0, endLine=69.0, startOffset=8.0, endOffset=37.0}	5min	AYNCGa00op39vzmIhvuH	700eaef656a716170310c5dacecd8e36	OPEN
MINOR	2022-09-15T14:01:43-0300		348.0	daniel_pumas_59@hotmail.com	python:S117	mljar-supervised	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-28T10:56:26-0300	CODE_SMELL	false	"convention / "	mljar-supervised:supervised/automl.py		MAIN	{startLine=348.0, endLine=348.0, startOffset=8.0, endOffset=9.0}	2min	AYNCGa00op39vzmIhvuI	1a974e6533485d4f4aeeb58fa95180ff	OPEN
MINOR	2022-09-15T14:01:43-0300		370.0	daniel_pumas_59@hotmail.com	python:S117	mljar-supervised	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-28T10:56:26-0300	CODE_SMELL	false	"convention / "	mljar-supervised:supervised/automl.py		MAIN	{startLine=370.0, endLine=370.0, startOffset=22.0, endOffset=23.0}	2min	AYNCGa00op39vzmIhvuJ	16aa8d223946c1a04c5fadc2b655296e	OPEN
MINOR	2022-09-15T14:01:43-0300		390.0	daniel_pumas_59@hotmail.com	python:S117	mljar-supervised	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-28T10:56:26-0300	CODE_SMELL	false	"convention / "	mljar-supervised:supervised/automl.py		MAIN	{startLine=390.0, endLine=390.0, startOffset=14.0, endOffset=15.0}	2min	AYNCGa00op39vzmIhvuK	2cd80cb20955a5a2585cac23ef4a563f	OPEN
MINOR	2022-09-15T14:01:43-0300		411.0	daniel_pumas_59@hotmail.com	python:S117	mljar-supervised	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-28T10:56:26-0300	CODE_SMELL	false	"convention / "	mljar-supervised:supervised/automl.py		MAIN	{startLine=411.0, endLine=411.0, startOffset=14.0, endOffset=15.0}	2min	AYNCGa00op39vzmIhvuL	2cd80cb20955a5a2585cac23ef4a563f	OPEN
MINOR	2022-09-15T14:01:43-0300		435.0	daniel_pumas_59@hotmail.com	python:S117	mljar-supervised	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-28T10:56:26-0300	CODE_SMELL	false	"convention / "	mljar-supervised:supervised/automl.py		MAIN	{startLine=435.0, endLine=435.0, startOffset=8.0, endOffset=9.0}	2min	AYNCGa00op39vzmIhvuM	1a974e6533485d4f4aeeb58fa95180ff	OPEN
MINOR	2022-09-15T14:01:43-0300		463.0	daniel_pumas_59@hotmail.com	python:S117	mljar-supervised	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-28T10:56:26-0300	CODE_SMELL	false	"convention / "	mljar-supervised:supervised/automl.py		MAIN	{startLine=463.0, endLine=463.0, startOffset=8.0, endOffset=9.0}	2min	AYNCGa00op39vzmIhvuN	1a974e6533485d4f4aeeb58fa95180ff	OPEN
CRITICAL	2022-09-15T14:01:43-0300		21.0	malas12x09@gmail.com	python:S1192	mljar-supervised	10min	"Define a constant instead of duplicating this literal ""X.data"" 5 times."	2022-02-17T08:54:04-0300	CODE_SMELL	false	"design / "	mljar-supervised:tests/tests_validation/test_validator_kfold.py	"{locations=[{component=mljar-supervised:tests/tests_validation/test_validator_kfold.py, textRange={startLine=62.0, endLine=62.0, startOffset=48.0, endOffset=56.0}, msg=Duplication}]} / {locations=[{component=mljar-supervised:tests/tests_validation/test_validator_kfold.py, textRange={startLine=99.0, endLine=99.0, startOffset=48.0, endOffset=56.0}, msg=Duplication}]} / {locations=[{component=mljar-supervised:tests/tests_validation/test_validator_kfold.py, textRange={startLine=136.0, endLine=136.0, startOffset=48.0, endOffset=56.0}, msg=Duplication}]} / {locations=[{component=mljar-supervised:tests/tests_validation/test_validator_kfold.py, textRange={startLine=178.0, endLine=178.0, startOffset=48.0, endOffset=56.0}, msg=Duplication}]} / "	MAIN	{startLine=21.0, endLine=21.0, startOffset=48.0, endOffset=56.0}	10min	AYNCGawWop39vzmIhvoL	9fe5ce7490d51d328d3a44beea48530d	OPEN
MINOR	2022-09-15T14:01:43-0300		21.0	malas12x09@gmail.com	python:S117	mljar-supervised	2min	"Rename this local variable ""X_path"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-17T08:54:04-0300	CODE_SMELL	false	"convention / "	mljar-supervised:tests/tests_validation/test_validator_kfold.py		MAIN	{startLine=21.0, endLine=21.0, startOffset=12.0, endOffset=18.0}	2min	AYNCGawWop39vzmIhvoM	9fe5ce7490d51d328d3a44beea48530d	OPEN
CRITICAL	2022-09-15T14:01:43-0300		22.0	malas12x09@gmail.com	python:S1192	mljar-supervised	10min	"Define a constant instead of duplicating this literal ""y.data"" 5 times."	2022-02-17T08:54:04-0300	CODE_SMELL	false	"design / "	mljar-supervised:tests/tests_validation/test_validator_kfold.py	"{locations=[{component=mljar-supervised:tests/tests_validation/test_validator_kfold.py, textRange={startLine=63.0, endLine=63.0, startOffset=48.0, endOffset=56.0}, msg=Duplication}]} / {locations=[{component=mljar-supervised:tests/tests_validation/test_validator_kfold.py, textRange={startLine=100.0, endLine=100.0, startOffset=48.0, endOffset=56.0}, msg=Duplication}]} / {locations=[{component=mljar-supervised:tests/tests_validation/test_validator_kfold.py, textRange={startLine=137.0, endLine=137.0, startOffset=48.0, endOffset=56.0}, msg=Duplication}]} / {locations=[{component=mljar-supervised:tests/tests_validation/test_validator_kfold.py, textRange={startLine=179.0, endLine=179.0, startOffset=48.0, endOffset=56.0}, msg=Duplication}]} / "	MAIN	{startLine=22.0, endLine=22.0, startOffset=48.0, endOffset=56.0}	10min	AYNCGawWop39vzmIhvoK	bbe14b08837c6b119ae2d05007e4ea38	OPEN
MINOR	2022-09-15T14:01:43-0300		62.0	malas12x09@gmail.com	python:S117	mljar-supervised	2min	"Rename this local variable ""X_path"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-17T08:54:04-0300	CODE_SMELL	false	"convention / "	mljar-supervised:tests/tests_validation/test_validator_kfold.py		MAIN	{startLine=62.0, endLine=62.0, startOffset=12.0, endOffset=18.0}	2min	AYNCGawWop39vzmIhvoP	9fe5ce7490d51d328d3a44beea48530d	OPEN
MINOR	2022-09-15T14:01:43-0300		99.0	malas12x09@gmail.com	python:S117	mljar-supervised	2min	"Rename this local variable ""X_path"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-17T08:54:04-0300	CODE_SMELL	false	"convention / "	mljar-supervised:tests/tests_validation/test_validator_kfold.py		MAIN	{startLine=99.0, endLine=99.0, startOffset=12.0, endOffset=18.0}	2min	AYNCGawWop39vzmIhvoS	9fe5ce7490d51d328d3a44beea48530d	OPEN
MINOR	2022-09-15T14:01:43-0300		136.0	malas12x09@gmail.com	python:S117	mljar-supervised	2min	"Rename this local variable ""X_path"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-17T08:54:04-0300	CODE_SMELL	false	"convention / "	mljar-supervised:tests/tests_validation/test_validator_kfold.py		MAIN	{startLine=136.0, endLine=136.0, startOffset=12.0, endOffset=18.0}	2min	AYNCGawWop39vzmIhvoV	9fe5ce7490d51d328d3a44beea48530d	OPEN
MINOR	2022-09-15T14:01:43-0300		178.0	malas12x09@gmail.com	python:S117	mljar-supervised	2min	"Rename this local variable ""X_path"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-02-17T08:54:04-0300	CODE_SMELL	false	"convention / "	mljar-supervised:tests/tests_validation/test_validator_kfold.py		MAIN	{startLine=178.0, endLine=178.0, startOffset=12.0, endOffset=18.0}	2min	AYNCGawWop39vzmIhvoY	9fe5ce7490d51d328d3a44beea48530d	OPEN
