severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-06-19T16:33:01-0300		321.0	malte.ebner@gmail.com	python:S3776	lightly	7min	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.	2022-04-01T14:22:53-0300	CODE_SMELL	false	"brain-overload / "	lightly:lightly/api/download.py	"{locations=[{component=lightly:lightly/api/download.py, textRange={startLine=354.0, endLine=354.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=lightly:lightly/api/download.py, textRange={startLine=357.0, endLine=357.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=lightly:lightly/api/download.py, textRange={startLine=367.0, endLine=367.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=lightly:lightly/api/download.py, textRange={startLine=380.0, endLine=380.0, startOffset=12.0, endOffset=14.0}, msg=+1}]} / {locations=[{component=lightly:lightly/api/download.py, textRange={startLine=380.0, endLine=380.0, startOffset=38.0, endOffset=41.0}, msg=+1}]} / {locations=[{component=lightly:lightly/api/download.py, textRange={startLine=382.0, endLine=382.0, startOffset=16.0, endOffset=18.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=lightly:lightly/api/download.py, textRange={startLine=392.0, endLine=392.0, startOffset=12.0, endOffset=15.0}, msg=+1}]} / {locations=[{component=lightly:lightly/api/download.py, textRange={startLine=394.0, endLine=394.0, startOffset=16.0, endOffset=18.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=lightly:lightly/api/download.py, textRange={startLine=397.0, endLine=397.0, startOffset=20.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=lightly:lightly/api/download.py, textRange={startLine=399.0, endLine=399.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=lightly:lightly/api/download.py, textRange={startLine=404.0, endLine=404.0, startOffset=20.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / "	MAIN	{startLine=321.0, endLine=321.0, startOffset=4.0, endOffset=39.0}	7min	AYF9dLTR-os8lNRVRBFN	e132d71229e64b59ce69ab775d8f490b	OPEN
MAJOR	2022-06-19T16:33:01-0300		32.0	malte.ebner@gmail.com	python:S108	lightly	5min	Either remove or fill this block of code.	2022-04-01T14:22:53-0300	CODE_SMELL	false	"suspicious / "	lightly:tests/api/benchmark_video_download.py		MAIN	{startLine=32.0, endLine=32.0, startOffset=12.0, endOffset=16.0}	5min	AYF9dLOR-os8lNRVRBC9	1a1dc91c907325c69271ddf0c944bc72	OPEN
MINOR	2022-06-19T16:33:01-0300		40.0	malte.ebner@gmail.com	python:S1481	lightly	5min	"Remove the unused local variable ""frame""."	2022-04-01T14:22:53-0300	CODE_SMELL	false	"unused / "	lightly:tests/api/benchmark_video_download.py		MAIN	{startLine=40.0, endLine=40.0, startOffset=12.0, endOffset=17.0}	5min	AYF9dLOR-os8lNRVRBC-	b447711d776e0194f33dcce60698f9ac	OPEN
MINOR	2022-06-19T16:33:01-0300		57.0	malte.ebner@gmail.com	python:S1481	lightly	5min	"Remove the unused local variable ""frames""."	2022-04-01T14:22:53-0300	CODE_SMELL	false	"unused / "	lightly:tests/api/benchmark_video_download.py		MAIN	{startLine=57.0, endLine=57.0, startOffset=8.0, endOffset=14.0}	5min	AYF9dLOR-os8lNRVRBC_	1e01ca89a12c277a1701a20255e4649b	OPEN
MINOR	2022-06-19T16:33:01-0300		118.0	malte.ebner@gmail.com	python:S1481	lightly	5min	"Remove the unused local variable ""original""."	2022-04-01T14:22:53-0300	CODE_SMELL	false	"unused / "	lightly:tests/api/test_download.py		MAIN	{startLine=118.0, endLine=118.0, startOffset=12.0, endOffset=20.0}	5min	AYF9dLOO-os8lNRVRBC1	9c1de142e9e8d43c5d27d210a2c2d107	OPEN
MINOR	2022-06-19T16:33:01-0300		124.0	malte.ebner@gmail.com	python:S1481	lightly	5min	"Remove the unused local variable ""frame""."	2022-04-01T14:22:53-0300	CODE_SMELL	false	"unused / "	lightly:tests/api/test_download.py		MAIN	{startLine=124.0, endLine=124.0, startOffset=28.0, endOffset=33.0}	5min	AYF9dLOO-os8lNRVRBCz	32c323c6c6b68802787cba1b57e933a8	OPEN
MINOR	2022-06-19T16:33:01-0300		125.0	malte.ebner@gmail.com	python:S1481	lightly	5min	"Remove the unused local variable ""frame""."	2022-04-01T14:22:53-0300	CODE_SMELL	false	"unused / "	lightly:tests/api/test_download.py		MAIN	{startLine=125.0, endLine=125.0, startOffset=20.0, endOffset=25.0}	5min	AYF9dLOO-os8lNRVRBC0	32c323c6c6b68802787cba1b57e933a8	OPEN
MINOR	2022-06-19T16:33:01-0300		146.0	malte.ebner@gmail.com	python:S1481	lightly	5min	"Remove the unused local variable ""original""."	2022-04-01T14:22:53-0300	CODE_SMELL	false	"unused / "	lightly:tests/api/test_download.py		MAIN	{startLine=146.0, endLine=146.0, startOffset=12.0, endOffset=20.0}	5min	AYF9dLOO-os8lNRVRBC3	b57b563667884a4ac6289f98c0133169	OPEN
MINOR	2022-06-19T16:33:01-0300		149.0	malte.ebner@gmail.com	python:S1481	lightly	5min	"Remove the unused local variable ""frames""."	2022-04-01T14:22:53-0300	CODE_SMELL	false	"unused / "	lightly:tests/api/test_download.py		MAIN	{startLine=149.0, endLine=149.0, startOffset=16.0, endOffset=22.0}	5min	AYF9dLOO-os8lNRVRBC2	e303819463e299883f68d5860f367322	OPEN
MAJOR	2022-06-19T16:33:01-0300		67.0	43336610+guarin@users.noreply.github.com	python:S107	lightly	20min	"Method ""__init__"" has 14 parameters, which is greater than the 13 authorized."	2022-03-16T09:41:46-0300	CODE_SMELL	false	"brain-overload / "	lightly:lightly/openapi_generated/swagger_client/models/sample_data.py		MAIN	{startLine=67.0, endLine=67.0, startOffset=17.0, endOffset=253.0}	20min	AYF9dLRj-os8lNRVRBEf	b83c7c20748a4047df4c946574c93983	OPEN
