severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T15:35:22-0300		175.0	florian.mounier@kozea.fr	python:S3776	pygal	7min	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.	2018-06-18T06:36:33-0300	CODE_SMELL	false	"brain-overload / "	pygal:pygal/graph/base.py	"{locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=178.0, endLine=178.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=180.0, endLine=180.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=183.0, endLine=183.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=187.0, endLine=187.0, startOffset=11.0, endOffset=13.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=190.0, endLine=190.0, startOffset=29.0, endOffset=31.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=199.0, endLine=199.0, startOffset=28.0, endOffset=30.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=199.0, endLine=199.0, startOffset=62.0, endOffset=64.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=200.0, endLine=200.0, startOffset=31.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=200.0, endLine=200.0, startOffset=64.0, endOffset=66.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=204.0, endLine=204.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=204.0, endLine=204.0, startOffset=28.0, endOffset=31.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=209.0, endLine=209.0, startOffset=36.0, endOffset=38.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=209.0, endLine=209.0, startOffset=31.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=215.0, endLine=215.0, startOffset=54.0, endOffset=56.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=215.0, endLine=215.0, startOffset=44.0, endOffset=46.0}, msg=+1}]} / {locations=[{component=pygal:pygal/graph/base.py, textRange={startLine=216.0, endLine=216.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / "	MAIN	{startLine=175.0, endLine=175.0, startOffset=8.0, endOffset=13.0}	7min	AYNCb2nIop39vzmImjfZ	55467cf5640e84625ff0315de7771596	OPEN
CRITICAL	2022-09-15T15:35:22-0300		37.0	florian.mounier@kozea.fr	python:S1192	pygal	12min	"Define a constant instead of duplicating this literal "".axis.x text"" 6 times."	2018-06-18T06:36:33-0300	CODE_SMELL	false	"design / "	pygal:pygal/test/test_date.py	"{locations=[{component=pygal:pygal/test/test_date.py, textRange={startLine=50.0, endLine=50.0, startOffset=50.0, endOffset=64.0}, msg=Duplication}]} / {locations=[{component=pygal:pygal/test/test_date.py, textRange={startLine=68.0, endLine=68.0, startOffset=50.0, endOffset=64.0}, msg=Duplication}]} / {locations=[{component=pygal:pygal/test/test_date.py, textRange={startLine=88.0, endLine=88.0, startOffset=29.0, endOffset=43.0}, msg=Duplication}]} / {locations=[{component=pygal:pygal/test/test_date.py, textRange={startLine=105.0, endLine=105.0, startOffset=50.0, endOffset=64.0}, msg=Duplication}]} / {locations=[{component=pygal:pygal/test/test_date.py, textRange={startLine=123.0, endLine=123.0, startOffset=50.0, endOffset=64.0}, msg=Duplication}]} / "	MAIN	{startLine=37.0, endLine=37.0, startOffset=50.0, endOffset=64.0}	12min	AYNCb2pIop39vzmImjiH	d777f644a7f1e26afad393b396b72e39	OPEN
MINOR	2022-09-15T15:35:22-0300		43.0	florian.mounier@kozea.fr	python:S1481	pygal	5min	"Remove the unused local variable ""i""."	2018-02-06T08:03:12-0300	CODE_SMELL	false	"unused / "	pygal:demo/moulinrouge/__init__.py		MAIN	{startLine=43.0, endLine=43.0, startOffset=33.0, endOffset=34.0}	5min	AYNCb2p7op39vzmImji0	08818b24db2562a548e77bfa358ca812	OPEN
CRITICAL	2022-09-15T15:35:22-0300		51.0	florian.mounier@kozea.fr	python:S3776	pygal	39min	Refactor this function to reduce its Cognitive Complexity from 49 to the 15 allowed.	2018-02-06T08:03:12-0300	CODE_SMELL	false	"brain-overload / "	pygal:demo/moulinrouge/__init__.py	"{locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=58.0, endLine=58.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=60.0, endLine=60.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=68.0, endLine=68.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=81.0, endLine=81.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=82.0, endLine=82.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=84.0, endLine=84.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=89.0, endLine=89.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=95.0, endLine=95.0, startOffset=44.0, endOffset=47.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=119.0, endLine=119.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=127.0, endLine=127.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=135.0, endLine=135.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=137.0, endLine=137.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=157.0, endLine=157.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=175.0, endLine=175.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=205.0, endLine=205.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=207.0, endLine=207.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=209.0, endLine=209.0, startOffset=52.0, endOffset=54.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=214.0, endLine=214.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=225.0, endLine=225.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=227.0, endLine=227.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=229.0, endLine=229.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=233.0, endLine=233.0, startOffset=36.0, endOffset=38.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=255.0, endLine=255.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=282.0, endLine=282.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=291.0, endLine=291.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=323.0, endLine=323.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=333.0, endLine=333.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / "	MAIN	{startLine=51.0, endLine=51.0, startOffset=4.0, endOffset=14.0}	39min	AYNCb2p7op39vzmImji2	8e64686273dc0d0f143c5c48be330c0e	OPEN
MINOR	2022-09-15T15:35:22-0300		88.0	florian.mounier@kozea.fr	python:S1481	pygal	5min	"Remove the unused local variable ""i""."	2018-02-06T08:03:12-0300	CODE_SMELL	false	"unused / "	pygal:demo/moulinrouge/__init__.py		MAIN	{startLine=88.0, endLine=88.0, startOffset=22.0, endOffset=23.0}	5min	AYNCb2p7op39vzmImjjA	ac1bfd0bbe1974a30ecdd3bed0d3e272	OPEN
MINOR	2022-09-15T15:35:22-0300		92.0	florian.mounier@kozea.fr	python:S1481	pygal	5min	"Remove the unused local variable ""i""."	2018-02-06T08:03:12-0300	CODE_SMELL	false	"unused / "	pygal:demo/moulinrouge/__init__.py		MAIN	{startLine=92.0, endLine=92.0, startOffset=24.0, endOffset=25.0}	5min	AYNCb2p7op39vzmImjjB	fa76354e0fc4f2c89911623ab6952592	OPEN
CRITICAL	2022-09-15T15:35:22-0300		238.0	florian.mounier@kozea.fr	python:S1192	pygal	6min	Define a constant instead of duplicating this literal 'svgs.jinja2' 3 times.	2018-02-06T08:03:12-0300	CODE_SMELL	false	"design / "	pygal:demo/moulinrouge/__init__.py	"{locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=267.0, endLine=267.0, startOffset=12.0, endOffset=25.0}, msg=Duplication}]} / {locations=[{component=pygal:demo/moulinrouge/__init__.py, textRange={startLine=317.0, endLine=317.0, startOffset=12.0, endOffset=25.0}, msg=Duplication}]} / "	MAIN	{startLine=238.0, endLine=238.0, startOffset=12.0, endOffset=25.0}	6min	AYNCb2p7op39vzmImjiz	a2d21a3469cba5622cadfce0d5a438e1	OPEN
CRITICAL	2022-09-15T15:35:22-0300		32.0	florian.mounier@kozea.fr	python:S3776	pygal	22min	Refactor this function to reduce its Cognitive Complexity from 32 to the 15 allowed.	2018-02-06T08:03:12-0300	CODE_SMELL	false	"brain-overload / "	pygal:demo/moulinrouge/tests.py	"{locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=178.0, endLine=178.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=200.0, endLine=200.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=391.0, endLine=391.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=395.0, endLine=395.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=688.0, endLine=688.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=700.0, endLine=700.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=722.0, endLine=722.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=725.0, endLine=725.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=757.0, endLine=757.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=758.0, endLine=758.0, startOffset=32.0, endOffset=34.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=775.0, endLine=775.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=827.0, endLine=827.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=853.0, endLine=853.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=861.0, endLine=861.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=1320.0, endLine=1320.0, startOffset=19.0, endOffset=21.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=1329.0, endLine=1329.0, startOffset=47.0, endOffset=50.0}, msg=+1}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=1336.0, endLine=1336.0, startOffset=47.0, endOffset=50.0}, msg=+1}]} / "	MAIN	{startLine=32.0, endLine=32.0, startOffset=4.0, endOffset=19.0}	22min	AYNCb2qBop39vzmImjjJ	5c005a26b794132f6dc65261d8562676	OPEN
CRITICAL	2022-09-15T15:35:22-0300		54.0	florian.mounier@kozea.fr	python:S1192	pygal	8min	Define a constant instead of duplicating this literal 'googlefont:Raleway' 4 times.	2018-02-06T08:03:12-0300	CODE_SMELL	false	"design / "	pygal:demo/moulinrouge/tests.py	"{locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=173.0, endLine=173.0, startOffset=34.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=458.0, endLine=458.0, startOffset=34.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=pygal:demo/moulinrouge/tests.py, textRange={startLine=1221.0, endLine=1221.0, startOffset=34.0, endOffset=54.0}, msg=Duplication}]} / "	MAIN	{startLine=54.0, endLine=54.0, startOffset=48.0, endOffset=68.0}	8min	AYNCb2qBop39vzmImjjI	5558d60d8338a78b0671ad444528a231	OPEN
CRITICAL	2022-09-15T15:35:22-0300		239.0	florian.mounier@kozea.fr	python:S1192	pygal	6min	Define a constant instead of duplicating this literal 'pygal Documentation' 3 times.	2018-02-06T08:03:12-0300	CODE_SMELL	false	"design / "	pygal:docs/conf.py	"{locations=[{component=pygal:docs/conf.py, textRange={startLine=268.0, endLine=268.0, startOffset=35.0, endOffset=56.0}, msg=Duplication}]} / {locations=[{component=pygal:docs/conf.py, textRange={startLine=280.0, endLine=280.0, startOffset=29.0, endOffset=50.0}, msg=Duplication}]} / "	MAIN	{startLine=239.0, endLine=239.0, startOffset=33.0, endOffset=54.0}	6min	AYNCb2qSop39vzmImjkB	f0ddab8955e156856c58f47b965db045	OPEN
