severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T14:08:42-0300		155.0	ojasaarkristo@gmail.com	python:S3776	Backprop	18min	Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.	2021-04-20T10:53:43-0300	CODE_SMELL	false	"brain-overload / "	Backprop:backprop/models/generic_models.py	"{locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=162.0, endLine=162.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=166.0, endLine=166.0, startOffset=50.0, endOffset=52.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=171.0, endLine=171.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=172.0, endLine=172.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=172.0, endLine=172.0, startOffset=38.0, endOffset=41.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=176.0, endLine=176.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=178.0, endLine=178.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=183.0, endLine=183.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=184.0, endLine=184.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=192.0, endLine=192.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=195.0, endLine=195.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=199.0, endLine=199.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=202.0, endLine=202.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=207.0, endLine=207.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=212.0, endLine=212.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=215.0, endLine=215.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=225.0, endLine=225.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=228.0, endLine=228.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=233.0, endLine=233.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=235.0, endLine=235.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Backprop:backprop/models/generic_models.py, textRange={startLine=241.0, endLine=241.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / "	MAIN	{startLine=155.0, endLine=155.0, startOffset=8.0, endOffset=16.0}	18min	AYNCIAUzop39vzmIidjQ	ffcc10807771129143124d5611b1de59	OPEN
CRITICAL	2022-09-15T14:08:42-0300		19.0	ojasaarkristo@gmail.com	python:S1192	Backprop	6min	"Define a constant instead of duplicating this literal ""https://arxiv.org/abs/1905.11946"" 3 times."	2021-04-15T06:43:48-0300	CODE_SMELL	false	"design / "	Backprop:backprop/models/efficientnet/models_list.py	"{locations=[{component=Backprop:backprop/models/efficientnet/models_list.py, textRange={startLine=47.0, endLine=47.0, startOffset=23.0, endOffset=57.0}, msg=Duplication}]} / {locations=[{component=Backprop:backprop/models/efficientnet/models_list.py, textRange={startLine=75.0, endLine=75.0, startOffset=23.0, endOffset=57.0}, msg=Duplication}]} / "	MAIN	{startLine=19.0, endLine=19.0, startOffset=23.0, endOffset=57.0}	6min	AYNCIAUrop39vzmIidjK	c2b2a822f76b979b2271b613d7f20fbe	OPEN
CRITICAL	2022-09-15T14:08:42-0300		22.0	ojasaarkristo@gmail.com	python:S1192	Backprop	6min	"Define a constant instead of duplicating this literal ""EfficientNet PyTorch"" 3 times."	2021-04-15T06:43:48-0300	CODE_SMELL	false	"design / "	Backprop:backprop/models/efficientnet/models_list.py	"{locations=[{component=Backprop:backprop/models/efficientnet/models_list.py, textRange={startLine=50.0, endLine=50.0, startOffset=24.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=Backprop:backprop/models/efficientnet/models_list.py, textRange={startLine=78.0, endLine=78.0, startOffset=24.0, endOffset=46.0}, msg=Duplication}]} / "	MAIN	{startLine=22.0, endLine=22.0, startOffset=24.0, endOffset=46.0}	6min	AYNCIAUrop39vzmIidjJ	1875e62f804fb2b815e6a430410c75af	OPEN
CRITICAL	2022-09-15T14:08:42-0300		23.0	ojasaarkristo@gmail.com	python:S1192	Backprop	6min	"Define a constant instead of duplicating this literal ""https://github.com/lukemelas/EfficientNet-PyTorch"" 3 times."	2021-04-15T06:43:48-0300	CODE_SMELL	false	"design / "	Backprop:backprop/models/efficientnet/models_list.py	"{locations=[{component=Backprop:backprop/models/efficientnet/models_list.py, textRange={startLine=51.0, endLine=51.0, startOffset=23.0, endOffset=74.0}, msg=Duplication}]} / {locations=[{component=Backprop:backprop/models/efficientnet/models_list.py, textRange={startLine=79.0, endLine=79.0, startOffset=23.0, endOffset=74.0}, msg=Duplication}]} / "	MAIN	{startLine=23.0, endLine=23.0, startOffset=23.0, endOffset=74.0}	6min	AYNCIAUrop39vzmIidjL	c5e2962e5f5f039e58a4ab8eec596658	OPEN
INFO	2022-09-15T14:08:42-0300		59.0	ojasaarkristo@gmail.com	python:S1135	Backprop	0min	"Complete the task associated to this ""TODO"" comment."	2021-04-15T06:43:48-0300	CODE_SMELL	false	"cwe / "	Backprop:backprop/models/t5/model.py		MAIN	{startLine=59.0, endLine=59.0, startOffset=8.0, endOffset=30.0}	0min	AYNCIAUNop39vzmIidjC	5f68f8f40b384f913067625c820d5886	OPEN
CRITICAL	2022-09-15T14:08:42-0300		17.0	ojasaarkristo@gmail.com	python:S1192	Backprop	6min	"Define a constant instead of duplicating this literal ""https://openai.com/blog/better-language-models/"" 3 times."	2021-04-14T15:12:19-0300	CODE_SMELL	false	"design / "	Backprop:backprop/models/hf_causallm_tg_model/models_list.py	"{locations=[{component=Backprop:backprop/models/hf_causallm_tg_model/models_list.py, textRange={startLine=43.0, endLine=43.0, startOffset=23.0, endOffset=72.0}, msg=Duplication}]} / {locations=[{component=Backprop:backprop/models/hf_causallm_tg_model/models_list.py, textRange={startLine=69.0, endLine=69.0, startOffset=23.0, endOffset=72.0}, msg=Duplication}]} / "	MAIN	{startLine=17.0, endLine=17.0, startOffset=23.0, endOffset=72.0}	6min	AYNCIAUFop39vzmIidi-	b31de2d368e20cf6f0710c3bf0501e50	OPEN
CRITICAL	2022-09-15T14:08:42-0300		20.0	ojasaarkristo@gmail.com	python:S1192	Backprop	6min	"Define a constant instead of duplicating this literal ""Hugging Face"" 3 times."	2021-04-14T15:12:19-0300	CODE_SMELL	false	"design / "	Backprop:backprop/models/hf_causallm_tg_model/models_list.py	"{locations=[{component=Backprop:backprop/models/hf_causallm_tg_model/models_list.py, textRange={startLine=46.0, endLine=46.0, startOffset=24.0, endOffset=38.0}, msg=Duplication}]} / {locations=[{component=Backprop:backprop/models/hf_causallm_tg_model/models_list.py, textRange={startLine=72.0, endLine=72.0, startOffset=24.0, endOffset=38.0}, msg=Duplication}]} / "	MAIN	{startLine=20.0, endLine=20.0, startOffset=24.0, endOffset=38.0}	6min	AYNCIAUFop39vzmIidjA	602d446c373444d8b956e4745efac7d6	OPEN
CRITICAL	2022-09-15T14:08:42-0300		21.0	ojasaarkristo@gmail.com	python:S1192	Backprop	6min	"Define a constant instead of duplicating this literal ""https://huggingface.co/transformers/model_doc/gpt2.html"" 3 times."	2021-04-14T15:12:19-0300	CODE_SMELL	false	"design / "	Backprop:backprop/models/hf_causallm_tg_model/models_list.py	"{locations=[{component=Backprop:backprop/models/hf_causallm_tg_model/models_list.py, textRange={startLine=47.0, endLine=47.0, startOffset=23.0, endOffset=80.0}, msg=Duplication}]} / {locations=[{component=Backprop:backprop/models/hf_causallm_tg_model/models_list.py, textRange={startLine=73.0, endLine=73.0, startOffset=23.0, endOffset=80.0}, msg=Duplication}]} / "	MAIN	{startLine=21.0, endLine=21.0, startOffset=23.0, endOffset=80.0}	6min	AYNCIAUFop39vzmIidi_	c8f121390578de210aa1f9bbd06ca1bf	OPEN
MINOR	2022-09-15T14:08:42-0300		75.0	ojasaarkristo@gmail.com	python:S1226	Backprop	5min	Introduce a new variable or use its initial value before reassigning 'gen_kwargs'.	2021-04-14T15:12:19-0300	BUG	false		Backprop:backprop/models/t5_qa_summary_emotion/model.py		MAIN	{startLine=75.0, endLine=75.0, startOffset=50.0, endOffset=62.0}	5min	AYNCIAUcop39vzmIidjH	33ce5c3adbd6846cbcd763fe21cf449c	OPEN
MINOR	2022-09-15T14:08:42-0300		53.0	73708394+ojasaar@users.noreply.github.com	python:S1481	Backprop	5min	"Remove the unused local variable ""model_class""."	2021-04-11T15:31:56-0300	CODE_SMELL	false	"unused / "	Backprop:backprop/models/auto_model.py		MAIN	{startLine=53.0, endLine=53.0, startOffset=12.0, endOffset=23.0}	5min	AYNCIAU2op39vzmIidjR	465b46a17c651b77849845f2b3c82f9f	OPEN
