severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T14:08:23-0300		11.0	toby@tobycoleman.com	python:S2208	ByteHub	5min	Import only needed names or import the module and then use its members.	2021-04-11T10:13:37-0300	CODE_SMELL	false	"pitfall / "	ByteHub:bytehub/core.py		MAIN	{startLine=11.0, endLine=11.0, startOffset=0.0, endOffset=25.0}	5min	AYNCH69fop39vzmIidSG	88713b09a97e1dd18532a5c1ac83ce28	OPEN
CRITICAL	2022-09-15T14:08:23-0300		470.0	toby@tobycoleman.com	python:S1192	ByteHub	8min	"Define a constant instead of duplicating this literal ""test/resample3"" 4 times."	2021-04-11T08:49:17-0300	CODE_SMELL	false	"design / "	ByteHub:tests/test_featurestore.py	"{locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=476.0, endLine=476.0, startOffset=22.0, endOffset=38.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=484.0, endLine=484.0, startOffset=9.0, endOffset=25.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=490.0, endLine=490.0, startOffset=22.0, endOffset=38.0}, msg=Duplication}]} / "	MAIN	{startLine=470.0, endLine=470.0, startOffset=22.0, endOffset=38.0}	8min	AYNCH699op39vzmIidSs	2e618626225950c7a7b160e7458bb2fd	OPEN
CRITICAL	2022-09-15T14:08:23-0300		474.0	toby@tobycoleman.com	python:S1192	ByteHub	8min	"Define a constant instead of duplicating this literal ""test/resample4"" 4 times."	2021-04-11T08:49:17-0300	CODE_SMELL	false	"design / "	ByteHub:tests/test_featurestore.py	"{locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=477.0, endLine=477.0, startOffset=22.0, endOffset=38.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=484.0, endLine=484.0, startOffset=27.0, endOffset=43.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=491.0, endLine=491.0, startOffset=22.0, endOffset=38.0}, msg=Duplication}]} / "	MAIN	{startLine=474.0, endLine=474.0, startOffset=22.0, endOffset=38.0}	8min	AYNCH699op39vzmIidSb	a5bbec4af0eea75e13a3504ef61b6240	OPEN
CRITICAL	2022-09-15T14:08:23-0300		337.0	toby@tobycoleman.com	python:S1192	ByteHub	10min	"Define a constant instead of duplicating this literal ""test/cloned-feature"" 5 times."	2021-04-10T10:52:38-0300	CODE_SMELL	false	"design / "	ByteHub:tests/test_featurestore.py	"{locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=338.0, endLine=338.0, startOffset=36.0, endOffset=57.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=343.0, endLine=343.0, startOffset=31.0, endOffset=52.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=344.0, endLine=344.0, startOffset=52.0, endOffset=73.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=347.0, endLine=347.0, startOffset=22.0, endOffset=43.0}, msg=Duplication}]} / "	MAIN	{startLine=337.0, endLine=337.0, startOffset=21.0, endOffset=42.0}	10min	AYNCH699op39vzmIidSc	d1200d50b49956c3ff8e90f6fd8908ff	OPEN
CRITICAL	2022-09-15T14:08:23-0300		362.0	toby@tobycoleman.com	python:S1192	ByteHub	8min	"Define a constant instead of duplicating this literal ""test/df3"" 4 times."	2021-04-10T10:52:38-0300	CODE_SMELL	false	"design / "	ByteHub:tests/test_featurestore.py	"{locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=371.0, endLine=371.0, startOffset=22.0, endOffset=32.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=395.0, endLine=395.0, startOffset=27.0, endOffset=37.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=401.0, endLine=401.0, startOffset=22.0, endOffset=32.0}, msg=Duplication}]} / "	MAIN	{startLine=362.0, endLine=362.0, startOffset=12.0, endOffset=22.0}	8min	AYNCH699op39vzmIidSn	56093ba3df1a735e3fb829997962731e	OPEN
CRITICAL	2022-09-15T14:08:23-0300		363.0	toby@tobycoleman.com	python:S1192	ByteHub	8min	"Define a constant instead of duplicating this literal ""test/df4"" 4 times."	2021-04-10T10:52:38-0300	CODE_SMELL	false	"design / "	ByteHub:tests/test_featurestore.py	"{locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=372.0, endLine=372.0, startOffset=22.0, endOffset=32.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=395.0, endLine=395.0, startOffset=39.0, endOffset=49.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=402.0, endLine=402.0, startOffset=22.0, endOffset=32.0}, msg=Duplication}]} / "	MAIN	{startLine=363.0, endLine=363.0, startOffset=12.0, endOffset=22.0}	8min	AYNCH699op39vzmIidSa	552e0712916cdd5b645edde51709a388	OPEN
CRITICAL	2022-09-15T14:08:23-0300		369.0	toby@tobycoleman.com	python:S1192	ByteHub	12min	"Define a constant instead of duplicating this literal ""test/df1"" 6 times."	2021-04-10T10:52:38-0300	CODE_SMELL	false	"design / "	ByteHub:tests/test_featurestore.py	"{locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=380.0, endLine=380.0, startOffset=27.0, endOffset=37.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=384.0, endLine=384.0, startOffset=27.0, endOffset=37.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=388.0, endLine=388.0, startOffset=26.0, endOffset=36.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=388.0, endLine=388.0, startOffset=68.0, endOffset=78.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=399.0, endLine=399.0, startOffset=22.0, endOffset=32.0}, msg=Duplication}]} / "	MAIN	{startLine=369.0, endLine=369.0, startOffset=22.0, endOffset=32.0}	12min	AYNCH699op39vzmIidSk	b9c15ef40920818a55963d76e27e4527	OPEN
CRITICAL	2022-09-15T14:08:23-0300		370.0	toby@tobycoleman.com	python:S1192	ByteHub	8min	"Define a constant instead of duplicating this literal ""test/df2"" 4 times."	2021-04-10T10:52:38-0300	CODE_SMELL	false	"design / "	ByteHub:tests/test_featurestore.py	"{locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=391.0, endLine=391.0, startOffset=26.0, endOffset=36.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=392.0, endLine=392.0, startOffset=55.0, endOffset=65.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=400.0, endLine=400.0, startOffset=22.0, endOffset=32.0}, msg=Duplication}]} / "	MAIN	{startLine=370.0, endLine=370.0, startOffset=22.0, endOffset=32.0}	8min	AYNCH699op39vzmIidSY	51de2397e4c238a4548cac698ccfa286	OPEN
CRITICAL	2022-09-15T14:08:23-0300		498.0	toby@tobycoleman.com	python:S1192	ByteHub	10min	"Define a constant instead of duplicating this literal ""test/serialized"" 5 times."	2021-04-10T10:52:38-0300	CODE_SMELL	false	"design / "	ByteHub:tests/test_featurestore.py	"{locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=516.0, endLine=516.0, startOffset=26.0, endOffset=43.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=517.0, endLine=517.0, startOffset=31.0, endOffset=48.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=518.0, endLine=518.0, startOffset=58.0, endOffset=75.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=521.0, endLine=521.0, startOffset=22.0, endOffset=39.0}, msg=Duplication}]} / "	MAIN	{startLine=498.0, endLine=498.0, startOffset=22.0, endOffset=39.0}	10min	AYNCH699op39vzmIidSg	651602983612067d9e4a8a1d6341c69d	OPEN
CRITICAL	2022-09-15T14:08:23-0300		634.0	toby@tobycoleman.com	python:S1192	ByteHub	24min	"Define a constant instead of duplicating this literal ""test/raw-feature"" 12 times."	2021-04-10T10:52:38-0300	CODE_SMELL	false	"design / "	ByteHub:tests/test_featurestore.py	"{locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=638.0, endLine=638.0, startOffset=22.0, endOffset=40.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=651.0, endLine=651.0, startOffset=18.0, endOffset=36.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=655.0, endLine=655.0, startOffset=9.0, endOffset=27.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=658.0, endLine=658.0, startOffset=47.0, endOffset=65.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=662.0, endLine=662.0, startOffset=15.0, endOffset=33.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=662.0, endLine=662.0, startOffset=49.0, endOffset=67.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=666.0, endLine=666.0, startOffset=9.0, endOffset=27.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=668.0, endLine=668.0, startOffset=52.0, endOffset=70.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=671.0, endLine=671.0, startOffset=18.0, endOffset=36.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=671.0, endLine=671.0, startOffset=52.0, endOffset=70.0}, msg=Duplication}]} / {locations=[{component=ByteHub:tests/test_featurestore.py, textRange={startLine=691.0, endLine=691.0, startOffset=22.0, endOffset=40.0}, msg=Duplication}]} / "	MAIN	{startLine=634.0, endLine=634.0, startOffset=12.0, endOffset=30.0}	24min	AYNCH699op39vzmIidSm	2ffb0609300fe371e9f96012ca62eeea	OPEN
