severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T15:37:33-0300		251.0	andrew@mccluskey.scot	python:S3776	emcee	26min	Refactor this function to reduce its Cognitive Complexity from 36 to the 15 allowed.	2021-08-06T11:53:13-0300	CODE_SMELL	false	"brain-overload / "	emcee:src/emcee/ensemble.py	"{locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=302.0, endLine=302.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=302.0, endLine=302.0, startOffset=30.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=307.0, endLine=307.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=309.0, endLine=309.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=309.0, endLine=309.0, startOffset=42.0, endOffset=45.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=322.0, endLine=322.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=332.0, endLine=332.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=338.0, endLine=338.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=343.0, endLine=343.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=345.0, endLine=345.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=350.0, endLine=350.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=354.0, endLine=354.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=361.0, endLine=361.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=366.0, endLine=366.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=370.0, endLine=370.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=373.0, endLine=373.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=378.0, endLine=378.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=382.0, endLine=382.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=384.0, endLine=384.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=389.0, endLine=389.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=393.0, endLine=393.0, startOffset=21.0, endOffset=23.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=396.0, endLine=396.0, startOffset=12.0, endOffset=15.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=396.0, endLine=396.0, startOffset=29.0, endOffset=31.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=397.0, endLine=397.0, startOffset=16.0, endOffset=19.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=405.0, endLine=405.0, startOffset=20.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=409.0, endLine=409.0, startOffset=20.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=409.0, endLine=409.0, startOffset=29.0, endOffset=32.0}, msg=+1}]} / "	MAIN	{startLine=251.0, endLine=251.0, startOffset=8.0, endOffset=14.0}	26min	AYNCcU4qop39vzmImrKy	210654b84d27a1c1b535c0f324684863	OPEN
MINOR	2022-09-15T15:37:33-0300		340.0	foreman.mackey@gmail.com	python:S1481	emcee	5min	"Remove the unused local variable ""state""."	2021-06-25T09:18:36-0300	CODE_SMELL	false	"unused / "	emcee:src/emcee/tests/unit/test_sampler.py		MAIN	{startLine=340.0, endLine=340.0, startOffset=12.0, endOffset=17.0}	5min	AYNCcU35op39vzmImrKj	b53965a94a713cb23a87b5957a077e76	OPEN
CRITICAL	2022-09-15T15:37:33-0300		72.0	thmsmcclintock@gmail.com	python:S3776	emcee	18min	Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.	2021-06-23T13:55:05-0300	CODE_SMELL	false	"brain-overload / "	emcee:src/emcee/ensemble.py	"{locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=93.0, endLine=93.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=97.0, endLine=97.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=99.0, endLine=99.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=103.0, endLine=103.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=109.0, endLine=109.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=112.0, endLine=112.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=115.0, endLine=115.0, startOffset=12.0, endOffset=18.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=118.0, endLine=118.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=130.0, endLine=130.0, startOffset=33.0, endOffset=35.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=133.0, endLine=133.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=137.0, endLine=137.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=139.0, endLine=139.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=149.0, endLine=149.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=154.0, endLine=154.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=168.0, endLine=168.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=178.0, endLine=178.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=179.0, endLine=179.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=185.0, endLine=185.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=200.0, endLine=200.0, startOffset=18.0, endOffset=20.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=72.0, endLine=72.0, startOffset=8.0, endOffset=16.0}	18min	AYNCcU4qop39vzmImrKw	e7170f542023ca916be51d96d3a0ec6f	OPEN
MAJOR	2022-09-15T15:37:33-0300		73.0	thmsmcclintock@gmail.com	python:S107	emcee	20min	"Method ""__init__"" has 16 parameters, which is greater than the 13 authorized."	2021-06-23T13:55:05-0300	CODE_SMELL	false	"brain-overload / "	emcee:src/emcee/ensemble.py		MAIN	{startLine=73.0, endLine=90.0, startOffset=8.0, endOffset=31.0}	20min	AYNCcU4qop39vzmImrKv	52b8af6604f68ccfcc8d8ff425e1e389	OPEN
CRITICAL	2022-09-15T15:37:33-0300		451.0	thmsmcclintock@gmail.com	python:S3776	emcee	18min	Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.	2021-06-23T13:55:05-0300	CODE_SMELL	false	"brain-overload / "	emcee:src/emcee/ensemble.py	"{locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=469.0, endLine=469.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=471.0, endLine=471.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=475.0, endLine=475.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=479.0, endLine=479.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=481.0, endLine=481.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=485.0, endLine=485.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=487.0, endLine=487.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=494.0, endLine=494.0, startOffset=8.0, endOffset=14.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=497.0, endLine=497.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=499.0, endLine=499.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=501.0, endLine=501.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=509.0, endLine=509.0, startOffset=24.0, endOffset=30.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=519.0, endLine=519.0, startOffset=16.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=521.0, endLine=521.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=528.0, endLine=528.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=530.0, endLine=530.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=emcee:src/emcee/ensemble.py, textRange={startLine=534.0, endLine=534.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / "	MAIN	{startLine=451.0, endLine=451.0, startOffset=8.0, endOffset=24.0}	18min	AYNCcU4qop39vzmImrK1	18dab71a247875f539e431623b6a87d1	OPEN
MAJOR	2022-09-15T15:37:33-0300		346.0	cgmartin@andrew.cmu.edu	python:S108	emcee	5min	Either remove or fill this block of code.	2020-12-21T23:56:01-0300	CODE_SMELL	false	"suspicious / "	emcee:src/emcee/tests/unit/test_sampler.py		MAIN	{startLine=346.0, endLine=346.0, startOffset=12.0, endOffset=16.0}	5min	AYNCcU35op39vzmImrKk	1a1dc91c907325c69271ddf0c944bc72	OPEN
MINOR	2022-09-15T15:37:33-0300		641.0	peridot.faceted@gmail.com	python:S117	emcee	2min	"Rename this local variable ""C_colmax"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2019-11-04T18:55:49-0300	CODE_SMELL	false	"convention / "	emcee:src/emcee/ensemble.py		MAIN	{startLine=641.0, endLine=641.0, startOffset=4.0, endOffset=12.0}	2min	AYNCcU4qop39vzmImrK2	92c1b643650e2b2cd0bb929ebd7c6a95	OPEN
MINOR	2022-09-15T15:37:33-0300		645.0	peridot.faceted@gmail.com	python:S117	emcee	2min	"Rename this local variable ""C_colsum"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2019-11-04T18:55:49-0300	CODE_SMELL	false	"convention / "	emcee:src/emcee/ensemble.py		MAIN	{startLine=645.0, endLine=645.0, startOffset=4.0, endOffset=12.0}	2min	AYNCcU4qop39vzmImrK3	3c9831cdf504f862066ca18a54cb53cb	OPEN
MAJOR	2022-09-15T15:37:33-0300		49.0	foreman.mackey@gmail.com	python:S5799	emcee	1min	Merge these implicitly concatenated strings; or did you forget a comma?	2019-10-17T12:34:45-0300	CODE_SMELL	false	"confusing / suspicious / "	emcee:src/emcee/moves/red_blue.py	"{locations=[{component=emcee:src/emcee/moves/red_blue.py, textRange={startLine=49.0, endLine=49.0, startOffset=51.0, endOffset=63.0}}]} / "	MAIN	{startLine=49.0, endLine=49.0, startOffset=12.0, endOffset=50.0}	1min	AYNCcU3Lop39vzmImrKW	5f8c3168c6ea1812ba4ac96e4d170228	OPEN
CRITICAL	2022-09-15T15:37:33-0300		57.0	foreman.mackey@gmail.com	python:S1192	emcee	6min	"Define a constant instead of duplicating this literal ""incorrect coordinate dimensions"" 3 times."	2019-10-17T12:34:45-0300	CODE_SMELL	false	"design / "	emcee:src/emcee/tests/unit/test_sampler.py	"{locations=[{component=emcee:src/emcee/tests/unit/test_sampler.py, textRange={startLine=67.0, endLine=67.0, startOffset=11.0, endOffset=44.0}, msg=Duplication}]} / {locations=[{component=emcee:src/emcee/tests/unit/test_sampler.py, textRange={startLine=81.0, endLine=81.0, startOffset=11.0, endOffset=44.0}, msg=Duplication}]} / "	MAIN	{startLine=57.0, endLine=57.0, startOffset=15.0, endOffset=48.0}	6min	AYNCcU35op39vzmImrKg	ec75da5a6eee6e960f2665cc2aa02528	OPEN
