severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-06-19T17:04:49-0300		25.0	gth.rosa@uol.com.br	python:S2201	NALP	5min	"The return value of ""super"" must be used."	2021-04-06T17:33:30-0300	BUG	false		NALP:nalp/encoders/integer.py		MAIN	{startLine=25.0, endLine=25.0, startOffset=8.0, endOffset=13.0}	5min	AYF9kZIT-os8lNRVRpdx	d383f1767e431abb8b80d3d128ee78ed	OPEN
MAJOR	2022-06-19T17:04:49-0300		28.0	gth.rosa@uol.com.br	python:S2201	NALP	5min	"The return value of ""super"" must be used."	2021-04-06T17:33:30-0300	BUG	false		NALP:nalp/encoders/word2vec.py		MAIN	{startLine=28.0, endLine=28.0, startOffset=8.0, endOffset=13.0}	5min	AYF9kZIP-os8lNRVRpdt	e405a459226c5db48202f573d4992474	OPEN
CRITICAL	2022-06-19T17:04:49-0300		292.0	gth.rosa@uol.com.br	python:S1192	NALP	6min	Define a constant instead of duplicating this literal 'Epoch %d/%d' 3 times.	2020-07-20T12:14:29-0300	CODE_SMELL	false	"design / "	NALP:nalp/models/maligan.py	"{locations=[{component=NALP:nalp/models/maligan.py, textRange={startLine=316.0, endLine=316.0, startOffset=24.0, endOffset=37.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/maligan.py, textRange={startLine=372.0, endLine=372.0, startOffset=24.0, endOffset=37.0}, msg=Duplication}]} / "	MAIN	{startLine=292.0, endLine=292.0, startOffset=24.0, endOffset=37.0}	6min	AYF9kZHz-os8lNRVRpdc	8ccd5e5df83c88a882b3b91f146b7b5d	OPEN
CRITICAL	2022-06-19T17:04:49-0300		298.0	gth.rosa@uol.com.br	python:S1192	NALP	8min	Define a constant instead of duplicating this literal 'loss(G)' 4 times.	2020-07-20T12:14:29-0300	CODE_SMELL	false	"design / "	NALP:nalp/models/maligan.py	"{locations=[{component=NALP:nalp/models/maligan.py, textRange={startLine=305.0, endLine=305.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/maligan.py, textRange={startLine=379.0, endLine=379.0, startOffset=53.0, endOffset=62.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/maligan.py, textRange={startLine=419.0, endLine=419.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / "	MAIN	{startLine=298.0, endLine=298.0, startOffset=53.0, endOffset=62.0}	8min	AYF9kZHz-os8lNRVRpdb	5364f39a1630f59dbbcc159928af3252	OPEN
CRITICAL	2022-06-19T17:04:49-0300		322.0	gth.rosa@uol.com.br	python:S1192	NALP	8min	Define a constant instead of duplicating this literal 'loss(D)' 4 times.	2020-07-20T12:14:29-0300	CODE_SMELL	false	"design / "	NALP:nalp/models/maligan.py	"{locations=[{component=NALP:nalp/models/maligan.py, textRange={startLine=349.0, endLine=349.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/maligan.py, textRange={startLine=379.0, endLine=379.0, startOffset=64.0, endOffset=73.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/maligan.py, textRange={startLine=420.0, endLine=420.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / "	MAIN	{startLine=322.0, endLine=322.0, startOffset=53.0, endOffset=62.0}	8min	AYF9kZHz-os8lNRVRpda	b4aa2aec2f93122fa854e50f912d2286	OPEN
CRITICAL	2022-06-19T17:04:49-0300		316.0	gth.rosa@uol.com.br	python:S1192	NALP	6min	Define a constant instead of duplicating this literal 'Epoch %d/%d' 3 times.	2020-07-20T12:14:29-0300	CODE_SMELL	false	"design / "	NALP:nalp/models/seqgan.py	"{locations=[{component=NALP:nalp/models/seqgan.py, textRange={startLine=340.0, endLine=340.0, startOffset=24.0, endOffset=37.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/seqgan.py, textRange={startLine=398.0, endLine=398.0, startOffset=24.0, endOffset=37.0}, msg=Duplication}]} / "	MAIN	{startLine=316.0, endLine=316.0, startOffset=24.0, endOffset=37.0}	6min	AYF9kZH_-os8lNRVRpdl	8ccd5e5df83c88a882b3b91f146b7b5d	OPEN
CRITICAL	2022-06-19T17:04:49-0300		322.0	gth.rosa@uol.com.br	python:S1192	NALP	8min	Define a constant instead of duplicating this literal 'loss(G)' 4 times.	2020-07-20T12:14:29-0300	CODE_SMELL	false	"design / "	NALP:nalp/models/seqgan.py	"{locations=[{component=NALP:nalp/models/seqgan.py, textRange={startLine=329.0, endLine=329.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/seqgan.py, textRange={startLine=405.0, endLine=405.0, startOffset=53.0, endOffset=62.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/seqgan.py, textRange={startLine=447.0, endLine=447.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / "	MAIN	{startLine=322.0, endLine=322.0, startOffset=53.0, endOffset=62.0}	8min	AYF9kZH_-os8lNRVRpdk	5364f39a1630f59dbbcc159928af3252	OPEN
CRITICAL	2022-06-19T17:04:49-0300		346.0	gth.rosa@uol.com.br	python:S1192	NALP	8min	Define a constant instead of duplicating this literal 'loss(D)' 4 times.	2020-07-20T12:14:29-0300	CODE_SMELL	false	"design / "	NALP:nalp/models/seqgan.py	"{locations=[{component=NALP:nalp/models/seqgan.py, textRange={startLine=373.0, endLine=373.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/seqgan.py, textRange={startLine=405.0, endLine=405.0, startOffset=64.0, endOffset=73.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/seqgan.py, textRange={startLine=448.0, endLine=448.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / "	MAIN	{startLine=346.0, endLine=346.0, startOffset=53.0, endOffset=62.0}	8min	AYF9kZH_-os8lNRVRpdj	b4aa2aec2f93122fa854e50f912d2286	OPEN
CRITICAL	2022-06-19T17:04:49-0300		32.0	gth.rosa@uol.com.br	python:S2638	NALP	15min	Remove parameter tokens or provide default value.	2020-07-20T11:00:52-0300	CODE_SMELL	false	"suspicious / "	NALP:nalp/encoders/word2vec.py	"{locations=[{component=NALP:nalp/encoders/word2vec.py, textRange={startLine=32.0, endLine=32.0, startOffset=20.0, endOffset=26.0}, msg=Remove parameter tokens or provide default value.}, {component=NALP:nalp/core/encoder.py, textRange={startLine=22.0, endLine=22.0, startOffset=8.0, endOffset=13.0}, msg=Overridden method's definition}]} / "	MAIN	{startLine=32.0, endLine=32.0, startOffset=20.0, endOffset=26.0}	15min	AYF9kZIP-os8lNRVRpdu	30781ed40feddcc09a6e8cd4cfb1dd39	OPEN
CRITICAL	2022-06-19T17:04:49-0300		271.0	gth.rosa@uol.com.br	python:S1192	NALP	8min	Define a constant instead of duplicating this literal 'loss(G)' 4 times.	2020-05-27T15:30:11-0300	CODE_SMELL	false	"design / "	NALP:nalp/models/gsgan.py	"{locations=[{component=NALP:nalp/models/gsgan.py, textRange={startLine=278.0, endLine=278.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/gsgan.py, textRange={startLine=307.0, endLine=307.0, startOffset=53.0, endOffset=62.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/gsgan.py, textRange={startLine=314.0, endLine=314.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / "	MAIN	{startLine=271.0, endLine=271.0, startOffset=53.0, endOffset=62.0}	8min	AYF9kZH3-os8lNRVRpde	5364f39a1630f59dbbcc159928af3252	OPEN
CRITICAL	2022-06-19T17:04:49-0300		280.0	gth.rosa@uol.com.br	python:S1192	NALP	8min	Define a constant instead of duplicating this literal 'loss(G)' 4 times.	2020-05-27T15:30:11-0300	CODE_SMELL	false	"design / "	NALP:nalp/models/relgan.py	"{locations=[{component=NALP:nalp/models/relgan.py, textRange={startLine=287.0, endLine=287.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/relgan.py, textRange={startLine=316.0, endLine=316.0, startOffset=53.0, endOffset=62.0}, msg=Duplication}]} / {locations=[{component=NALP:nalp/models/relgan.py, textRange={startLine=323.0, endLine=323.0, startOffset=34.0, endOffset=43.0}, msg=Duplication}]} / "	MAIN	{startLine=280.0, endLine=280.0, startOffset=53.0, endOffset=62.0}	8min	AYF9kZHC-os8lNRVRpdQ	5364f39a1630f59dbbcc159928af3252	OPEN
MINOR	2022-06-19T17:04:49-0300		235.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this local variable ""D_loss"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T11:13:37-0300	CODE_SMELL	false	"convention / "	NALP:nalp/models/gsgan.py		MAIN	{startLine=235.0, endLine=235.0, startOffset=12.0, endOffset=18.0}	2min	AYF9kZH3-os8lNRVRpdg	c505ea7da773c75dbfe1e327ef25102b	OPEN
MINOR	2022-06-19T17:04:49-0300		236.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this local variable ""G_loss"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T11:13:37-0300	CODE_SMELL	false	"convention / "	NALP:nalp/models/gsgan.py		MAIN	{startLine=236.0, endLine=236.0, startOffset=12.0, endOffset=18.0}	2min	AYF9kZH3-os8lNRVRpdi	c832b782af72cd7b29d0b86705c27823	OPEN
MINOR	2022-06-19T17:04:49-0300		84.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this parameter ""T"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T11:13:37-0300	CODE_SMELL	false	"convention / "	NALP:nalp/models/maligan.py		MAIN	{startLine=84.0, endLine=84.0, startOffset=16.0, endOffset=17.0}	2min	AYF9kZHz-os8lNRVRpdd	99fe2a3c9c2fd62e50fb6c0d2b9a3a5d	OPEN
MINOR	2022-06-19T17:04:49-0300		244.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this local variable ""G_loss"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T11:13:37-0300	CODE_SMELL	false	"convention / "	NALP:nalp/models/relgan.py		MAIN	{startLine=244.0, endLine=244.0, startOffset=12.0, endOffset=18.0}	2min	AYF9kZHC-os8lNRVRpdU	261b3f2a0f464e06cc572a65ff17a26a	OPEN
MINOR	2022-06-19T17:04:49-0300		245.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this local variable ""D_loss"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T11:13:37-0300	CODE_SMELL	false	"convention / "	NALP:nalp/models/relgan.py		MAIN	{startLine=245.0, endLine=245.0, startOffset=12.0, endOffset=18.0}	2min	AYF9kZHC-os8lNRVRpdS	c505ea7da773c75dbfe1e327ef25102b	OPEN
MINOR	2022-06-19T17:04:49-0300		83.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this parameter ""T"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T11:13:37-0300	CODE_SMELL	false	"convention / "	NALP:nalp/models/seqgan.py		MAIN	{startLine=83.0, endLine=83.0, startOffset=16.0, endOffset=17.0}	2min	AYF9kZH_-os8lNRVRpdm	99fe2a3c9c2fd62e50fb6c0d2b9a3a5d	OPEN
MINOR	2022-06-19T17:04:49-0300		292.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this parameter ""D"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T10:58:38-0300	CODE_SMELL	false	"convention / "	NALP:nalp/core/model.py		MAIN	{startLine=292.0, endLine=292.0, startOffset=16.0, endOffset=17.0}	2min	AYF9kZIM-os8lNRVRpdn	2947bff6e0794c6b553b839ffcf83f3b	OPEN
MINOR	2022-06-19T17:04:49-0300		304.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this parameter ""G"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T10:58:38-0300	CODE_SMELL	false	"convention / "	NALP:nalp/core/model.py		MAIN	{startLine=304.0, endLine=304.0, startOffset=16.0, endOffset=17.0}	2min	AYF9kZIM-os8lNRVRpdo	1b7e211e7ae3af11c0a469a215d556cf	OPEN
MINOR	2022-06-19T17:04:49-0300		397.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this local variable ""G_loss"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T10:58:38-0300	CODE_SMELL	false	"convention / "	NALP:nalp/core/model.py		MAIN	{startLine=397.0, endLine=397.0, startOffset=12.0, endOffset=18.0}	2min	AYF9kZIM-os8lNRVRpds	c832b782af72cd7b29d0b86705c27823	OPEN
MINOR	2022-06-19T17:04:49-0300		398.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this local variable ""D_loss"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T10:58:38-0300	CODE_SMELL	false	"convention / "	NALP:nalp/core/model.py		MAIN	{startLine=398.0, endLine=398.0, startOffset=12.0, endOffset=18.0}	2min	AYF9kZIM-os8lNRVRpdq	c505ea7da773c75dbfe1e327ef25102b	OPEN
MINOR	2022-06-19T17:04:49-0300		248.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this local variable ""G_gradients"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T10:28:59-0300	CODE_SMELL	false	"convention / "	NALP:nalp/models/relgan.py		MAIN	{startLine=248.0, endLine=248.0, startOffset=8.0, endOffset=19.0}	2min	AYF9kZHC-os8lNRVRpdT	9bd32988923fbed170261bc4e05a8c64	OPEN
MINOR	2022-06-19T17:04:49-0300		249.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this local variable ""D_gradients"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-04-03T10:28:59-0300	CODE_SMELL	false	"convention / "	NALP:nalp/models/relgan.py		MAIN	{startLine=249.0, endLine=249.0, startOffset=8.0, endOffset=19.0}	2min	AYF9kZHC-os8lNRVRpdR	73c4fbe460e8b066b4886efd351946ae	OPEN
MAJOR	2022-06-19T17:04:49-0300		19.0	gth.rosa@uol.com.br	python:S107	NALP	20min	"Method ""__init__"" has 18 parameters, which is greater than the 13 authorized."	2020-04-02T14:13:17-0300	CODE_SMELL	false	"brain-overload / "	NALP:nalp/models/layers/relational_memory_cell.py		MAIN	{startLine=19.0, endLine=23.0, startOffset=17.0, endOffset=98.0}	20min	AYF9kZHh-os8lNRVRpdZ	f896ac4902438b23038302e0f6fe2544	OPEN
MINOR	2022-06-19T17:04:49-0300		240.0	gth.rosa@uol.com.br	python:S117	NALP	2min	"Rename this local variable ""G_gradients"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2020-03-30T12:22:56-0300	CODE_SMELL	false	"convention / "	NALP:nalp/models/gsgan.py		MAIN	{startLine=240.0, endLine=240.0, startOffset=8.0, endOffset=19.0}	2min	AYF9kZH3-os8lNRVRpdh	9bd32988923fbed170261bc4e05a8c64	OPEN
