severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-06-19T16:32:42-0300		147.0	progamergov@users.noreply.github.com	python:S5806	dream-creator	5min	Rename this variable; it shadows a builtin.	2020-11-10T12:36:30-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	dream-creator:utils/decorrelation.py		MAIN	{startLine=147.0, endLine=147.0, startOffset=8.0, endOffset=13.0}	5min	AYF9dBw_-os8lNRVRAPi	767ab6ba5e4aca992c7967d28978623c	OPEN
CRITICAL	2022-06-19T16:32:42-0300		61.0	progamergov@users.noreply.github.com	python:S3776	dream-creator	56min	Refactor this function to reduce its Cognitive Complexity from 66 to the 15 allowed.	2020-11-10T12:36:30-0300	CODE_SMELL	false	"brain-overload / "	dream-creator:vis.py	"{locations=[{component=dream-creator:vis.py, textRange={startLine=62.0, endLine=62.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=64.0, endLine=64.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=67.0, endLine=67.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=70.0, endLine=70.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=75.0, endLine=75.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=75.0, endLine=75.0, startOffset=25.0, endOffset=28.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=77.0, endLine=77.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=83.0, endLine=83.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=88.0, endLine=88.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=88.0, endLine=88.0, startOffset=32.0, endOffset=34.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=89.0, endLine=89.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=92.0, endLine=92.0, startOffset=12.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=99.0, endLine=99.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=106.0, endLine=106.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=109.0, endLine=109.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=112.0, endLine=112.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=115.0, endLine=115.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=125.0, endLine=125.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=129.0, endLine=129.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=130.0, endLine=130.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=132.0, endLine=132.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=134.0, endLine=134.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=136.0, endLine=136.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=136.0, endLine=136.0, startOffset=46.0, endOffset=48.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=142.0, endLine=142.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=145.0, endLine=145.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=149.0, endLine=149.0, startOffset=27.0, endOffset=29.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=150.0, endLine=150.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=151.0, endLine=151.0, startOffset=106.0, endOffset=108.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=153.0, endLine=153.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=155.0, endLine=155.0, startOffset=93.0, endOffset=95.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=159.0, endLine=159.0, startOffset=105.0, endOffset=107.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=161.0, endLine=161.0, startOffset=108.0, endOffset=110.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=163.0, endLine=163.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=163.0, endLine=163.0, startOffset=55.0, endOffset=58.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=164.0, endLine=164.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=166.0, endLine=166.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=170.0, endLine=170.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis.py, textRange={startLine=173.0, endLine=173.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / "	MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=13.0}	56min	AYF9dBwv-os8lNRVRAPE	5bf662120cb37687f5fa2b999d05c2ab	OPEN
CRITICAL	2022-06-19T16:32:42-0300		34.0	progamergov@users.noreply.github.com	python:S3776	dream-creator	55min	Refactor this function to reduce its Cognitive Complexity from 65 to the 15 allowed.	2020-10-22T13:47:39-0300	CODE_SMELL	false	"brain-overload / "	dream-creator:utils/tile_utils.py	"{locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=40.0, endLine=40.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=41.0, endLine=41.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=43.0, endLine=43.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=44.0, endLine=44.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=46.0, endLine=46.0, startOffset=45.0, endOffset=47.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=47.0, endLine=47.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=47.0, endLine=47.0, startOffset=29.0, endOffset=32.0}, msg=+1}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=49.0, endLine=49.0, startOffset=45.0, endOffset=47.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=49.0, endLine=49.0, startOffset=79.0, endOffset=82.0}, msg=+1}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=50.0, endLine=50.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=52.0, endLine=52.0, startOffset=45.0, endOffset=47.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=53.0, endLine=53.0, startOffset=38.0, endOffset=40.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=54.0, endLine=54.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=55.0, endLine=55.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=57.0, endLine=57.0, startOffset=45.0, endOffset=47.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=58.0, endLine=58.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=58.0, endLine=58.0, startOffset=32.0, endOffset=35.0}, msg=+1}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=60.0, endLine=60.0, startOffset=45.0, endOffset=47.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=60.0, endLine=60.0, startOffset=81.0, endOffset=84.0}, msg=+1}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=61.0, endLine=61.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=63.0, endLine=63.0, startOffset=45.0, endOffset=47.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=64.0, endLine=64.0, startOffset=38.0, endOffset=40.0}, msg=+5 (incl 4 for nesting)}]} / "	MAIN	{startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=13.0}	55min	AYF9dBxF-os8lNRVRAPn	5e55ba000e3f356ca205a148a9cbda95	OPEN
MAJOR	2022-06-19T16:32:42-0300		130.0	progamergov@users.noreply.github.com	python:S5806	dream-creator	5min	Rename this variable; it shadows a builtin.	2020-10-19T16:30:48-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	dream-creator:utils/tile_utils.py	"{locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=132.0, endLine=132.0, startOffset=11.0, endOffset=16.0}, msg=Variable also assigned here.}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=135.0, endLine=135.0, startOffset=11.0, endOffset=16.0}, msg=Variable also assigned here.}]} / {locations=[{component=dream-creator:utils/tile_utils.py, textRange={startLine=137.0, endLine=137.0, startOffset=11.0, endOffset=16.0}, msg=Variable also assigned here.}]} / "	MAIN	{startLine=130.0, endLine=130.0, startOffset=11.0, endOffset=16.0}	5min	AYF9dBxF-os8lNRVRAPo	1b12b2c4efec6f37b4a18d96f1347774	OPEN
MAJOR	2022-06-19T16:32:42-0300		151.0	progamergov@users.noreply.github.com	python:S5806	dream-creator	5min	Rename this variable; it shadows a builtin.	2020-10-12T12:48:57-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	dream-creator:utils/decorrelation.py		MAIN	{startLine=151.0, endLine=151.0, startOffset=8.0, endOffset=13.0}	5min	AYF9dBw_-os8lNRVRAPj	3b68898bd5b1839325a734c330e17d25	OPEN
MAJOR	2022-06-19T16:32:42-0300		86.0	progamergov@users.noreply.github.com	python:S5806	dream-creator	5min	Rename this variable; it shadows a builtin.	2020-10-11T22:46:49-0300	CODE_SMELL	false	"bad-practice / confusing / pitfall / "	dream-creator:utils/decorrelation.py	"{locations=[{component=dream-creator:utils/decorrelation.py, textRange={startLine=87.0, endLine=87.0, startOffset=8.0, endOffset=13.0}, msg=Variable also assigned here.}]} / "	MAIN	{startLine=86.0, endLine=86.0, startOffset=8.0, endOffset=13.0}	5min	AYF9dBw_-os8lNRVRAPg	09afb13ae3c43d2158fb185a57af2b4d	OPEN
CRITICAL	2022-06-19T16:32:42-0300		59.0	progamergov@users.noreply.github.com	python:S3776	dream-creator	16min	Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.	2020-10-07T21:05:43-0300	CODE_SMELL	false	"brain-overload / "	dream-creator:vis_diverse.py	"{locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=60.0, endLine=60.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=63.0, endLine=63.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=69.0, endLine=69.0, startOffset=4.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=73.0, endLine=73.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=73.0, endLine=73.0, startOffset=25.0, endOffset=28.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=75.0, endLine=75.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=86.0, endLine=86.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=86.0, endLine=86.0, startOffset=32.0, endOffset=34.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=87.0, endLine=87.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=90.0, endLine=90.0, startOffset=12.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=95.0, endLine=95.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=101.0, endLine=101.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=104.0, endLine=104.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=107.0, endLine=107.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=110.0, endLine=110.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=113.0, endLine=113.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=122.0, endLine=122.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=124.0, endLine=124.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=133.0, endLine=133.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=143.0, endLine=143.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_diverse.py, textRange={startLine=146.0, endLine=146.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / "	MAIN	{startLine=59.0, endLine=59.0, startOffset=4.0, endOffset=13.0}	16min	AYF9dBxH-os8lNRVRAPr	5bf662120cb37687f5fa2b999d05c2ab	OPEN
CRITICAL	2022-06-19T16:32:42-0300		58.0	progamergov@users.noreply.github.com	python:S3776	dream-creator	32min	Refactor this function to reduce its Cognitive Complexity from 42 to the 15 allowed.	2020-10-07T21:05:43-0300	CODE_SMELL	false	"brain-overload / "	dream-creator:vis_multi.py	"{locations=[{component=dream-creator:vis_multi.py, textRange={startLine=59.0, endLine=59.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=62.0, endLine=62.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=72.0, endLine=72.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=72.0, endLine=72.0, startOffset=25.0, endOffset=28.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=74.0, endLine=74.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=80.0, endLine=80.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=85.0, endLine=85.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=86.0, endLine=86.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=89.0, endLine=89.0, startOffset=12.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=94.0, endLine=94.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=96.0, endLine=96.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=100.0, endLine=100.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=106.0, endLine=106.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=109.0, endLine=109.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=112.0, endLine=112.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=121.0, endLine=121.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=123.0, endLine=123.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=135.0, endLine=135.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=141.0, endLine=141.0, startOffset=32.0, endOffset=34.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=142.0, endLine=142.0, startOffset=18.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=151.0, endLine=151.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=154.0, endLine=154.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=158.0, endLine=158.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=159.0, endLine=159.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=161.0, endLine=161.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=166.0, endLine=166.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=169.0, endLine=169.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=173.0, endLine=173.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=dream-creator:vis_multi.py, textRange={startLine=173.0, endLine=173.0, startOffset=40.0, endOffset=42.0}, msg=+1}]} / "	MAIN	{startLine=58.0, endLine=58.0, startOffset=4.0, endOffset=13.0}	32min	AYF9dBwy-os8lNRVRAPI	5bf662120cb37687f5fa2b999d05c2ab	OPEN
MINOR	2022-06-19T16:32:42-0300		115.0	progamergov@users.noreply.github.com	python:S1481	dream-creator	5min	"Remove the unused local variable ""test""."	2020-09-23T19:47:44-0300	CODE_SMELL	false	"unused / "	dream-creator:data_tools/edit_model.py		MAIN	{startLine=115.0, endLine=115.0, startOffset=8.0, endOffset=12.0}	5min	AYF9dBwL-os8lNRVRAOn	08ddfa890c2d7eba7a4547657fc875ec	OPEN
CRITICAL	2022-06-19T16:32:42-0300		117.0	progamergov@users.noreply.github.com	python:S5754	dream-creator	5min	Specify an exception class to catch or reraise the exception	2020-09-23T19:47:44-0300	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	dream-creator:data_tools/edit_model.py		MAIN	{startLine=117.0, endLine=117.0, startOffset=4.0, endOffset=10.0}	5min	AYF9dBwL-os8lNRVRAOx	3e264f5fbab10735799511f21ca70842	OPEN
