severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-06-19T21:52:09-0300		121.0	sifat007@users.noreply.github.com	python:S3776	Couler	15min	Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.	2022-03-08T04:22:12-0300	CODE_SMELL	false	"brain-overload / "	Couler:couler/argo_submitter.py	"{locations=[{component=Couler:couler/argo_submitter.py, textRange={startLine=124.0, endLine=124.0, startOffset=12.0, endOffset=14.0}, msg=+1}]} / {locations=[{component=Couler:couler/argo_submitter.py, textRange={startLine=127.0, endLine=127.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/argo_submitter.py, textRange={startLine=134.0, endLine=134.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Couler:couler/argo_submitter.py, textRange={startLine=135.0, endLine=135.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/argo_submitter.py, textRange={startLine=136.0, endLine=136.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Couler:couler/argo_submitter.py, textRange={startLine=137.0, endLine=137.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Couler:couler/argo_submitter.py, textRange={startLine=138.0, endLine=138.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Couler:couler/argo_submitter.py, textRange={startLine=140.0, endLine=140.0, startOffset=28.0, endOffset=30.0}, msg=+6 (incl 5 for nesting)}]} / {locations=[{component=Couler:couler/argo_submitter.py, textRange={startLine=142.0, endLine=142.0, startOffset=28.0, endOffset=32.0}, msg=+1}]} / {locations=[{component=Couler:couler/argo_submitter.py, textRange={startLine=145.0, endLine=145.0, startOffset=24.0, endOffset=28.0}, msg=+1}]} / "	MAIN	{startLine=121.0, endLine=121.0, startOffset=8.0, endOffset=14.0}	15min	AYF-mLVJ-os8lNRVR1uX	e9d071009cfa2155de49700840652aba	OPEN
CRITICAL	2022-06-19T21:52:09-0300		122.0	dmerrick@users.noreply.github.com	python:S3776	Couler	48min	Refactor this function to reduce its Cognitive Complexity from 58 to the 15 allowed.	2021-11-30T14:49:54-0300	CODE_SMELL	false	"brain-overload / "	Couler:couler/core/templates/workflow.py	"{locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=131.0, endLine=131.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=135.0, endLine=135.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=138.0, endLine=138.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=148.0, endLine=148.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=151.0, endLine=151.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=154.0, endLine=154.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=156.0, endLine=156.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=159.0, endLine=159.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=161.0, endLine=161.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=163.0, endLine=163.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=165.0, endLine=165.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=167.0, endLine=167.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=170.0, endLine=170.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=172.0, endLine=172.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=174.0, endLine=174.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=178.0, endLine=178.0, startOffset=14.0, endOffset=17.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=177.0, endLine=177.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=184.0, endLine=184.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=192.0, endLine=192.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=202.0, endLine=202.0, startOffset=20.0, endOffset=26.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=208.0, endLine=208.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=208.0, endLine=208.0, startOffset=47.0, endOffset=49.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=210.0, endLine=210.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=211.0, endLine=211.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=212.0, endLine=212.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=214.0, endLine=214.0, startOffset=28.0, endOffset=31.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=221.0, endLine=221.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=223.0, endLine=223.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=225.0, endLine=225.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=238.0, endLine=238.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=241.0, endLine=241.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=244.0, endLine=244.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=248.0, endLine=248.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=248.0, endLine=248.0, startOffset=43.0, endOffset=46.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=255.0, endLine=255.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=259.0, endLine=259.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=263.0, endLine=263.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=265.0, endLine=265.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/core/templates/workflow.py, textRange={startLine=268.0, endLine=268.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / "	MAIN	{startLine=122.0, endLine=122.0, startOffset=8.0, endOffset=15.0}	48min	AYF-mLSS-os8lNRVR1sv	e690176952ef001238ab31c743656871	OPEN
CRITICAL	2022-06-19T21:52:09-0300		119.0	dmerrick@users.noreply.github.com	python:S1192	Couler	34min	"Define a constant instead of duplicating this literal ""docker/whalesay:latest"" 17 times."	2021-11-30T14:49:54-0300	CODE_SMELL	false	"design / "	Couler:couler/tests/argo_test.py	"{locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=140.0, endLine=140.0, startOffset=18.0, endOffset=42.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=159.0, endLine=159.0, startOffset=18.0, endOffset=42.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=167.0, endLine=167.0, startOffset=18.0, endOffset=42.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=187.0, endLine=187.0, startOffset=18.0, endOffset=42.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=204.0, endLine=204.0, startOffset=18.0, endOffset=42.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=243.0, endLine=243.0, startOffset=22.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=256.0, endLine=256.0, startOffset=22.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=292.0, endLine=292.0, startOffset=22.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=301.0, endLine=301.0, startOffset=22.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=358.0, endLine=358.0, startOffset=22.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=366.0, endLine=366.0, startOffset=22.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=373.0, endLine=373.0, startOffset=22.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=380.0, endLine=380.0, startOffset=22.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=397.0, endLine=397.0, startOffset=27.0, endOffset=51.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=505.0, endLine=505.0, startOffset=22.0, endOffset=46.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=578.0, endLine=578.0, startOffset=22.0, endOffset=46.0}, msg=Duplication}]} / "	MAIN	{startLine=119.0, endLine=119.0, startOffset=18.0, endOffset=42.0}	34min	AYF-mLT--os8lNRVR1tj	3af68f594e2e3112af8bc441d8dd7876	OPEN
CRITICAL	2022-06-19T21:52:09-0300		120.0	dmerrick@users.noreply.github.com	python:S1192	Couler	14min	"Define a constant instead of duplicating this literal ""echo -n hello world"" 7 times."	2021-11-30T14:49:54-0300	CODE_SMELL	false	"design / "	Couler:couler/tests/argo_test.py	"{locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=141.0, endLine=141.0, startOffset=18.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=160.0, endLine=160.0, startOffset=18.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=168.0, endLine=168.0, startOffset=18.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=188.0, endLine=188.0, startOffset=18.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=205.0, endLine=205.0, startOffset=18.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=359.0, endLine=359.0, startOffset=22.0, endOffset=43.0}, msg=Duplication}]} / "	MAIN	{startLine=120.0, endLine=120.0, startOffset=18.0, endOffset=39.0}	14min	AYF-mLT--os8lNRVR1ti	84c280facdf6eab6662e216ab9a39f8f	OPEN
CRITICAL	2022-06-19T21:52:09-0300		124.0	37072324+lcgash@users.noreply.github.com	python:S1192	Couler	6min	"Define a constant instead of duplicating this literal ""/mnt/src"" 3 times."	2021-09-14T02:04:05-0300	CODE_SMELL	false	"design / "	Couler:couler/tests/argo_test.py	"{locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=134.0, endLine=134.0, startOffset=67.0, endOffset=77.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/argo_test.py, textRange={startLine=208.0, endLine=208.0, startOffset=24.0, endOffset=34.0}, msg=Duplication}]} / "	MAIN	{startLine=124.0, endLine=124.0, startOffset=24.0, endOffset=34.0}	6min	AYF-mLT--os8lNRVR1tm	aee8e17770c069037a5890860a633c5c	OPEN
CRITICAL	2022-06-19T21:52:09-0300		22.0	78410623+nooraangelva@users.noreply.github.com	python:S1192	Couler	8min	"Define a constant instead of duplicating this literal ""docker/whalesay:latest"" 4 times."	2021-06-28T07:00:28-0300	CODE_SMELL	false	"design / "	Couler:couler/tests/map_test.py	"{locations=[{component=Couler:couler/tests/map_test.py, textRange={startLine=28.0, endLine=28.0, startOffset=14.0, endOffset=38.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/map_test.py, textRange={startLine=54.0, endLine=54.0, startOffset=21.0, endOffset=45.0}, msg=Duplication}]} / {locations=[{component=Couler:couler/tests/map_test.py, textRange={startLine=130.0, endLine=130.0, startOffset=21.0, endOffset=45.0}, msg=Duplication}]} / "	MAIN	{startLine=22.0, endLine=22.0, startOffset=14.0, endOffset=38.0}	8min	AYF-mLUk-os8lNRVR1t8	8fc2a77d8a4ba32f7d1d76d74048f72a	OPEN
MAJOR	2022-06-19T21:52:09-0300		198.0	moshewe@users.noreply.github.com	python:S107	Couler	20min	"Function ""run_container"" has 21 parameters, which is greater than the 13 authorized."	2021-06-23T11:26:07-0300	CODE_SMELL	false	"brain-overload / "	Couler:couler/core/run_templates.py		MAIN	{startLine=198.0, endLine=218.0, startOffset=4.0, endOffset=21.0}	20min	AYF-mLTq-os8lNRVR1tG	87c37dda0fde5fb58c664ff2f20692bc	OPEN
MAJOR	2022-06-19T21:52:09-0300		27.0	moshewe@users.noreply.github.com	python:S107	Couler	20min	"Method ""__init__"" has 22 parameters, which is greater than the 13 authorized."	2021-06-23T11:26:07-0300	CODE_SMELL	false	"brain-overload / "	Couler:couler/core/templates/container.py		MAIN	{startLine=27.0, endLine=49.0, startOffset=8.0, endOffset=25.0}	20min	AYF-mLS1-os8lNRVR1sy	52b8af6604f68ccfcc8d8ff425e1e389	OPEN
CRITICAL	2022-06-19T21:52:09-0300		41.0	wujayway@gmail.com	python:S3776	Couler	10min	Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.	2021-05-04T07:18:21-0300	CODE_SMELL	false	"brain-overload / "	Couler:couler/steps/tensorflow.py	"{locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=78.0, endLine=78.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=79.0, endLine=79.0, startOffset=34.0, endOffset=36.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=80.0, endLine=80.0, startOffset=38.0, endOffset=40.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=98.0, endLine=98.0, startOffset=28.0, endOffset=30.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=99.0, endLine=99.0, startOffset=32.0, endOffset=34.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=116.0, endLine=116.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=117.0, endLine=117.0, startOffset=36.0, endOffset=38.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=118.0, endLine=118.0, startOffset=40.0, endOffset=42.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=135.0, endLine=135.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=136.0, endLine=136.0, startOffset=42.0, endOffset=44.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Couler:couler/steps/tensorflow.py, textRange={startLine=137.0, endLine=137.0, startOffset=46.0, endOffset=48.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=41.0, endLine=41.0, startOffset=4.0, endOffset=9.0}	10min	AYF-mLU2-os8lNRVR1uM	b9fc2692f54ad612fe3ae38241d04a96	OPEN
MAJOR	2022-06-19T21:52:09-0300		42.0	wujayway@gmail.com	python:S107	Couler	20min	"Function ""train"" has 25 parameters, which is greater than the 13 authorized."	2021-05-04T07:18:21-0300	CODE_SMELL	false	"brain-overload / "	Couler:couler/steps/tensorflow.py		MAIN	{startLine=42.0, endLine=66.0, startOffset=4.0, endOffset=17.0}	20min	AYF-mLU2-os8lNRVR1uL	1e9c38041947e92b3fdb5b49584d8358	OPEN
