severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-06-19T17:03:25-0300		997.0	adrien.ball@snips.ai	python:S1192	Snips_NLU	6min	"Define a constant instead of duplicating this literal """"""
---
type: intent
name: MakeTea
utterances:
- make me a [beverage_temperature:Temperature](hot) cup of tea
- make me [number_of_cups:snips/number](five) tea cups"""""" 3 times."	2019-08-20T06:39:43-0300	CODE_SMELL	false	"design / "	Snips_NLU:snips_nlu/tests/test_crf_slot_filler.py	"{locations=[{component=Snips_NLU:snips_nlu/tests/test_crf_slot_filler.py, textRange={startLine=1021.0, endLine=1027.0, startOffset=37.0, endOffset=57.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_crf_slot_filler.py, textRange={startLine=1042.0, endLine=1048.0, startOffset=37.0, endOffset=57.0}, msg=Duplication}]} / "	MAIN	{startLine=997.0, endLine=1003.0, startOffset=37.0, endOffset=57.0}	6min	AYF9kGrt-os8lNRVRkxs	11cbe4a06a13336139903729718f8a89	OPEN
CRITICAL	2022-06-19T17:03:25-0300		128.0	clement.doumouro@gmail.com	python:S3776	Snips_NLU	22min	Refactor this function to reduce its Cognitive Complexity from 32 to the 15 allowed.	2019-07-23T13:13:20-0300	CODE_SMELL	false	"brain-overload / "	Snips_NLU:snips_nlu/dataset/validation.py	"{locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=133.0, endLine=133.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=152.0, endLine=152.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=158.0, endLine=158.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=162.0, endLine=162.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=176.0, endLine=176.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=179.0, endLine=179.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=180.0, endLine=180.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=181.0, endLine=181.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=191.0, endLine=191.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=197.0, endLine=197.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=208.0, endLine=208.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=211.0, endLine=211.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=223.0, endLine=223.0, startOffset=41.0, endOffset=44.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=228.0, endLine=228.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=240.0, endLine=240.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=241.0, endLine=241.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=241.0, endLine=241.0, startOffset=28.0, endOffset=30.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=244.0, endLine=244.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=245.0, endLine=245.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/dataset/validation.py, textRange={startLine=246.0, endLine=246.0, startOffset=20.0, endOffset=23.0}, msg=+1}]} / "	MAIN	{startLine=128.0, endLine=128.0, startOffset=4.0, endOffset=38.0}	22min	AYF9kGuM-os8lNRVRkzd	53432f368c537963a80d3e5ea0a30eb6	OPEN
CRITICAL	2022-06-19T17:03:25-0300		330.0	adrien.ball@snips.ai	python:S3776	Snips_NLU	7min	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.	2019-07-17T12:44:43-0300	CODE_SMELL	false	"brain-overload / "	Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py	"{locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=346.0, endLine=346.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=353.0, endLine=353.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=353.0, endLine=353.0, startOffset=33.0, endOffset=35.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=355.0, endLine=355.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=360.0, endLine=360.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=364.0, endLine=364.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=364.0, endLine=364.0, startOffset=41.0, endOffset=44.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=367.0, endLine=367.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=371.0, endLine=371.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=373.0, endLine=373.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=378.0, endLine=378.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=380.0, endLine=380.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/nlu_engine/nlu_engine.py, textRange={startLine=389.0, endLine=389.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / "	MAIN	{startLine=330.0, endLine=330.0, startOffset=8.0, endOffset=17.0}	7min	AYF9kGu3-os8lNRVRkzu	4b4b62767f3297fcc503533913fdeffe	OPEN
CRITICAL	2022-06-19T17:03:25-0300		212.0	mattgathu@gmail.com	python:S3776	Snips_NLU	7min	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.	2019-07-11T18:09:34-0300	CODE_SMELL	false	"brain-overload / "	Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py	"{locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=213.0, endLine=213.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=215.0, endLine=215.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=218.0, endLine=218.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=228.0, endLine=228.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=229.0, endLine=229.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=229.0, endLine=229.0, startOffset=35.0, endOffset=38.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=241.0, endLine=241.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=244.0, endLine=244.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=244.0, endLine=244.0, startOffset=31.0, endOffset=34.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=248.0, endLine=248.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/deterministic_intent_parser.py, textRange={startLine=257.0, endLine=257.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / "	MAIN	{startLine=212.0, endLine=212.0, startOffset=8.0, endOffset=26.0}	7min	AYF9kGuF-os8lNRVRkzb	c890a919483b9220a86255edd43f2989	OPEN
CRITICAL	2022-06-19T17:03:25-0300		192.0	mattgathu@gmail.com	python:S3776	Snips_NLU	9min	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.	2019-07-11T18:09:34-0300	CODE_SMELL	false	"brain-overload / "	Snips_NLU:snips_nlu/intent_parser/lookup_intent_parser.py	"{locations=[{component=Snips_NLU:snips_nlu/intent_parser/lookup_intent_parser.py, textRange={startLine=194.0, endLine=194.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/lookup_intent_parser.py, textRange={startLine=198.0, endLine=198.0, startOffset=47.0, endOffset=49.0}, msg=+1}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/lookup_intent_parser.py, textRange={startLine=199.0, endLine=199.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/lookup_intent_parser.py, textRange={startLine=212.0, endLine=212.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/lookup_intent_parser.py, textRange={startLine=215.0, endLine=215.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/lookup_intent_parser.py, textRange={startLine=223.0, endLine=223.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/lookup_intent_parser.py, textRange={startLine=224.0, endLine=224.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Snips_NLU:snips_nlu/intent_parser/lookup_intent_parser.py, textRange={startLine=225.0, endLine=225.0, startOffset=32.0, endOffset=34.0}, msg=+1}]} / "	MAIN	{startLine=192.0, endLine=192.0, startOffset=8.0, endOffset=23.0}	9min	AYF9kGuA-os8lNRVRkzZ	9a5f43af9ca009ce7145db3c53ed6842	OPEN
MAJOR	2022-06-19T17:03:25-0300		239.0	mattgathu@gmail.com	python:S125	Snips_NLU	5min	Remove this commented out code.	2019-07-11T18:09:34-0300	CODE_SMELL	false	"unused / "	Snips_NLU:snips_nlu/intent_parser/lookup_intent_parser.py		MAIN	{startLine=239.0, endLine=239.0, startOffset=8.0, endOffset=26.0}	5min	AYF9kGuA-os8lNRVRkza	3ac6dabdde88b7b96d4f53c67adf017c	OPEN
CRITICAL	2022-06-19T17:03:25-0300		156.0	mattgathu@gmail.com	python:S1192	Snips_NLU	24min	"Define a constant instead of duplicating this literal ""snips/datetime"" 12 times."	2019-07-11T18:09:34-0300	CODE_SMELL	false	"design / "	Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py	"{locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=420.0, endLine=420.0, startOffset=31.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=426.0, endLine=426.0, startOffset=31.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=450.0, endLine=450.0, startOffset=31.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=456.0, endLine=456.0, startOffset=31.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=489.0, endLine=489.0, startOffset=31.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=715.0, endLine=715.0, startOffset=31.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=721.0, endLine=721.0, startOffset=31.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=745.0, endLine=745.0, startOffset=31.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=751.0, endLine=751.0, startOffset=31.0, endOffset=47.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=1131.0, endLine=1131.0, startOffset=32.0, endOffset=48.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=1145.0, endLine=1145.0, startOffset=32.0, endOffset=48.0}, msg=Duplication}]} / "	MAIN	{startLine=156.0, endLine=156.0, startOffset=22.0, endOffset=38.0}	24min	AYF9kGsw-os8lNRVRky2	3875ae4f5747ca1f322ffe6ef33846dd	OPEN
MAJOR	2022-06-19T17:03:25-0300		190.0	mattgathu@gmail.com	python:S5799	Snips_NLU	1min	Merge these implicitly concatenated strings; or did you forget a comma?	2019-07-11T18:09:34-0300	CODE_SMELL	false	"confusing / suspicious / "	Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py	"{locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=190.0, endLine=190.0, startOffset=58.0, endOffset=75.0}}]} / "	MAIN	{startLine=190.0, endLine=190.0, startOffset=11.0, endOffset=57.0}	1min	AYF9kGsw-os8lNRVRky6	6959fd0f84d28f8cb93296badaf43bf6	OPEN
CRITICAL	2022-06-19T17:03:25-0300		234.0	mattgathu@gmail.com	python:S1192	Snips_NLU	10min	"Define a constant instead of duplicating this literal ""snips/number"" 5 times."	2019-07-11T18:09:34-0300	CODE_SMELL	false	"design / "	Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py	"{locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=240.0, endLine=240.0, startOffset=26.0, endOffset=40.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=1015.0, endLine=1015.0, startOffset=36.0, endOffset=50.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=1022.0, endLine=1022.0, startOffset=36.0, endOffset=50.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=1057.0, endLine=1057.0, startOffset=30.0, endOffset=44.0}, msg=Duplication}]} / "	MAIN	{startLine=234.0, endLine=234.0, startOffset=26.0, endOffset=40.0}	10min	AYF9kGsw-os8lNRVRkyy	19a17f660c1cfc07981753eeb4eefe44	OPEN
CRITICAL	2022-06-19T17:03:25-0300		407.0	mattgathu@gmail.com	python:S1192	Snips_NLU	8min	"Define a constant instead of duplicating this literal ""dummy a"" 4 times."	2019-07-11T18:09:34-0300	CODE_SMELL	false	"design / "	Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py	"{locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=437.0, endLine=437.0, startOffset=30.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=702.0, endLine=702.0, startOffset=30.0, endOffset=39.0}, msg=Duplication}]} / {locations=[{component=Snips_NLU:snips_nlu/tests/test_lookup_intent_parser.py, textRange={startLine=732.0, endLine=732.0, startOffset=30.0, endOffset=39.0}, msg=Duplication}]} / "	MAIN	{startLine=407.0, endLine=407.0, startOffset=30.0, endOffset=39.0}	8min	AYF9kGsw-os8lNRVRkyx	a44d970e6cf391927ac25a88a034fae7	OPEN
