severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-06-20T08:07:55-0300		152.0	waf2107@columbia.edu	python:S125	Image-to-Image_Translation_with_Conditional_Adversarial_Networks	5min	Remove this commented out code.	2017-03-26T17:11:04-0300	CODE_SMELL	false	"unused / "	Image-to-Image_Translation_with_Conditional_Adversarial_Networks:pix2pix/main.py		MAIN	{startLine=152.0, endLine=152.0, startOffset=8.0, endOffset=22.0}	5min	AYGAzFtx-os8lNRVS-x9	4fe8b805bd7d33131db528bd2f8e25d6	OPEN
MINOR	2022-06-20T08:07:55-0300		4.0	waf2107@columbia.edu	python:S117	Image-to-Image_Translation_with_Conditional_Adversarial_Networks	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-03-26T17:08:16-0300	CODE_SMELL	false	"convention / "	Image-to-Image_Translation_with_Conditional_Adversarial_Networks:pix2pix/utils/logger.py		MAIN	{startLine=4.0, endLine=4.0, startOffset=26.0, endOffset=27.0}	2min	AYGAzFtZ-os8lNRVS-xx	33bfc3b45f02d99b9974b43c570bf975	OPEN
MINOR	2022-06-20T08:07:55-0300		7.0	waf2107@columbia.edu	python:S117	Image-to-Image_Translation_with_Conditional_Adversarial_Networks	2min	"Rename this parameter ""X_sketch"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-03-26T17:08:16-0300	CODE_SMELL	false	"convention / "	Image-to-Image_Translation_with_Conditional_Adversarial_Networks:pix2pix/utils/logger.py		MAIN	{startLine=7.0, endLine=7.0, startOffset=33.0, endOffset=41.0}	2min	AYGAzFtZ-os8lNRVS-x0	a84baef174b7a333d71a25402b99f771	OPEN
MINOR	2022-06-20T08:07:55-0300		7.0	waf2107@columbia.edu	python:S117	Image-to-Image_Translation_with_Conditional_Adversarial_Networks	2min	"Rename this parameter ""X_full"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-03-26T17:08:16-0300	CODE_SMELL	false	"convention / "	Image-to-Image_Translation_with_Conditional_Adversarial_Networks:pix2pix/utils/logger.py		MAIN	{startLine=7.0, endLine=7.0, startOffset=25.0, endOffset=31.0}	2min	AYGAzFtZ-os8lNRVS-xy	a84baef174b7a333d71a25402b99f771	OPEN
MINOR	2022-06-20T08:07:55-0300		10.0	waf2107@columbia.edu	python:S117	Image-to-Image_Translation_with_Conditional_Adversarial_Networks	2min	"Rename this local variable ""X_gen"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-03-26T17:08:16-0300	CODE_SMELL	false	"convention / "	Image-to-Image_Translation_with_Conditional_Adversarial_Networks:pix2pix/utils/logger.py		MAIN	{startLine=10.0, endLine=10.0, startOffset=4.0, endOffset=9.0}	2min	AYGAzFtZ-os8lNRVS-xz	003a9970a258f86426596cdf386f6d14	OPEN
MINOR	2022-06-20T08:07:55-0300		17.0	waf2107@columbia.edu	python:S117	Image-to-Image_Translation_with_Conditional_Adversarial_Networks	2min	"Rename this local variable ""Xs"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-03-26T17:08:16-0300	CODE_SMELL	false	"convention / "	Image-to-Image_Translation_with_Conditional_Adversarial_Networks:pix2pix/utils/logger.py		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=6.0}	2min	AYGAzFtZ-os8lNRVS-x3	e98bf41e74849295614ada1bdcf49071	OPEN
MINOR	2022-06-20T08:07:55-0300		18.0	waf2107@columbia.edu	python:S117	Image-to-Image_Translation_with_Conditional_Adversarial_Networks	2min	"Rename this local variable ""Xg"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-03-26T17:08:16-0300	CODE_SMELL	false	"convention / "	Image-to-Image_Translation_with_Conditional_Adversarial_Networks:pix2pix/utils/logger.py		MAIN	{startLine=18.0, endLine=18.0, startOffset=4.0, endOffset=6.0}	2min	AYGAzFtZ-os8lNRVS-x1	c20141ea5069cb136f839718467ea6af	OPEN
MINOR	2022-06-20T08:07:55-0300		19.0	waf2107@columbia.edu	python:S117	Image-to-Image_Translation_with_Conditional_Adversarial_Networks	2min	"Rename this local variable ""Xr"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-03-26T17:08:16-0300	CODE_SMELL	false	"convention / "	Image-to-Image_Translation_with_Conditional_Adversarial_Networks:pix2pix/utils/logger.py		MAIN	{startLine=19.0, endLine=19.0, startOffset=4.0, endOffset=6.0}	2min	AYGAzFtZ-os8lNRVS-x2	f427870ea5409905bfcce98573eb80c5	OPEN
MINOR	2022-06-20T08:07:55-0300		58.0	waf2107@columbia.edu	python:S117	Image-to-Image_Translation_with_Conditional_Adversarial_Networks	2min	"Rename this parameter ""X_decoded_batch"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-03-26T17:07:43-0300	CODE_SMELL	false	"convention / "	Image-to-Image_Translation_with_Conditional_Adversarial_Networks:pix2pix/utils/patch_utils.py		MAIN	{startLine=58.0, endLine=58.0, startOffset=37.0, endOffset=52.0}	2min	AYGAzFtR-os8lNRVS-xr	4a500e774530b41f768b8c26957c8552	OPEN
MINOR	2022-06-20T08:07:55-0300		58.0	waf2107@columbia.edu	python:S117	Image-to-Image_Translation_with_Conditional_Adversarial_Networks	2min	"Rename this parameter ""X_original_batch"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-03-26T17:07:43-0300	CODE_SMELL	false	"convention / "	Image-to-Image_Translation_with_Conditional_Adversarial_Networks:pix2pix/utils/patch_utils.py		MAIN	{startLine=58.0, endLine=58.0, startOffset=19.0, endOffset=35.0}	2min	AYGAzFtR-os8lNRVS-xt	4a500e774530b41f768b8c26957c8552	OPEN
