severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2022-09-15T15:34:57-0300		58.0	contact@vis4.net	python:S101	Kartograph.py	5min	"Rename class ""LAEA_Alaska"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$."	2014-03-27T00:55:51-0300	CODE_SMELL	false	"convention / "	Kartograph.py:kartograph/proj/azimuthal/laea.py		MAIN	{startLine=58.0, endLine=58.0, startOffset=6.0, endOffset=17.0}	5min	AYNCbwlLop39vzmImi3H	e8a3b4ee846956c7e0473ddfce46b005	OPEN
MINOR	2022-09-15T15:34:57-0300		63.0	contact@vis4.net	python:S101	Kartograph.py	5min	"Rename class ""LAEA_Hawaii"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$."	2014-03-27T00:55:51-0300	CODE_SMELL	false	"convention / "	Kartograph.py:kartograph/proj/azimuthal/laea.py		MAIN	{startLine=63.0, endLine=63.0, startOffset=6.0, endOffset=17.0}	5min	AYNCbwlLop39vzmImi3I	9ca87cef3218f4f85efaa1d3d737aa18	OPEN
MINOR	2022-09-15T15:34:57-0300		69.0	contact@vis4.net	python:S101	Kartograph.py	5min	"Rename class ""LAEA_USA"" to match the regular expression ^_?([A-Z_][a-zA-Z0-9]*|[a-z_][a-z0-9_]*)$."	2014-03-27T00:55:51-0300	CODE_SMELL	false	"convention / "	Kartograph.py:kartograph/proj/azimuthal/laea.py		MAIN	{startLine=69.0, endLine=69.0, startOffset=6.0, endOffset=14.0}	5min	AYNCbwlLop39vzmImi3J	56df49a953e09b9c18b9f5c68a488e77	OPEN
CRITICAL	2022-09-15T15:34:57-0300		91.0	contact@vis4.net	python:S3776	Kartograph.py	34min	Refactor this function to reduce its Cognitive Complexity from 44 to the 15 allowed.	2013-11-24T11:38:27-0300	CODE_SMELL	false	"brain-overload / "	Kartograph.py:kartograph/options.py	"{locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=92.0, endLine=92.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=98.0, endLine=98.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=99.0, endLine=99.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=101.0, endLine=101.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=102.0, endLine=102.0, startOffset=8.0, endOffset=11.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=108.0, endLine=108.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=109.0, endLine=109.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=111.0, endLine=111.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=111.0, endLine=111.0, startOffset=30.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=113.0, endLine=113.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=118.0, endLine=118.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=121.0, endLine=121.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=123.0, endLine=123.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=124.0, endLine=124.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=125.0, endLine=125.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=127.0, endLine=127.0, startOffset=20.0, endOffset=22.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=131.0, endLine=131.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=132.0, endLine=132.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/options.py, textRange={startLine=134.0, endLine=134.0, startOffset=20.0, endOffset=22.0}, msg=+5 (incl 4 for nesting)}]} / "	MAIN	{startLine=91.0, endLine=91.0, startOffset=4.0, endOffset=16.0}	34min	AYNCbwl2op39vzmImi4M	339dcaa50034f32429ff1723f93151d4	OPEN
CRITICAL	2022-09-15T15:34:57-0300		416.0	contact@vis4.net	python:S3776	Kartograph.py	1h56min	Refactor this function to reduce its Cognitive Complexity from 126 to the 15 allowed.	2013-09-27T09:27:50-0300	CODE_SMELL	false	"brain-overload / "	Kartograph.py:kartograph/map.py	"{locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=426.0, endLine=426.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=427.0, endLine=427.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=433.0, endLine=433.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=433.0, endLine=433.0, startOffset=40.0, endOffset=43.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=437.0, endLine=437.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=444.0, endLine=444.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=450.0, endLine=450.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=451.0, endLine=451.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=453.0, endLine=453.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=455.0, endLine=455.0, startOffset=24.0, endOffset=27.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=456.0, endLine=456.0, startOffset=28.0, endOffset=30.0}, msg=+6 (incl 5 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=458.0, endLine=458.0, startOffset=28.0, endOffset=30.0}, msg=+6 (incl 5 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=458.0, endLine=458.0, startOffset=67.0, endOffset=69.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=462.0, endLine=462.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=466.0, endLine=466.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=469.0, endLine=469.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=471.0, endLine=471.0, startOffset=24.0, endOffset=27.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=472.0, endLine=472.0, startOffset=28.0, endOffset=30.0}, msg=+6 (incl 5 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=474.0, endLine=474.0, startOffset=28.0, endOffset=32.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=475.0, endLine=475.0, startOffset=32.0, endOffset=34.0}, msg=+7 (incl 6 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=480.0, endLine=480.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=491.0, endLine=491.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=493.0, endLine=493.0, startOffset=24.0, endOffset=27.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=494.0, endLine=494.0, startOffset=28.0, endOffset=30.0}, msg=+6 (incl 5 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=498.0, endLine=498.0, startOffset=28.0, endOffset=30.0}, msg=+6 (incl 5 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=499.0, endLine=499.0, startOffset=32.0, endOffset=34.0}, msg=+7 (incl 6 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=501.0, endLine=501.0, startOffset=28.0, endOffset=32.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=505.0, endLine=505.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=506.0, endLine=506.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=508.0, endLine=508.0, startOffset=24.0, endOffset=28.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=513.0, endLine=513.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=515.0, endLine=515.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=517.0, endLine=517.0, startOffset=24.0, endOffset=27.0}, msg=+5 (incl 4 for nesting)}]} / "	MAIN	{startLine=416.0, endLine=416.0, startOffset=8.0, endOffset=22.0}	1h56min	AYNCbwmGop39vzmImi5T	be77881cf72320ba3dbd216f9e7b5be5	OPEN
CRITICAL	2022-09-15T15:34:57-0300		367.0	b.naamneh@gmail.com	python:S3776	Kartograph.py	14min	Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.	2013-02-28T19:27:39-0300	CODE_SMELL	false	"brain-overload / "	Kartograph.py:kartograph/map.py	"{locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=371.0, endLine=371.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=372.0, endLine=372.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=374.0, endLine=374.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=377.0, endLine=377.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=381.0, endLine=381.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=383.0, endLine=383.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/map.py, textRange={startLine=385.0, endLine=385.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / "	MAIN	{startLine=367.0, endLine=367.0, startOffset=8.0, endOffset=20.0}	14min	AYNCbwmGop39vzmImi5M	a50e2007581d50a7ca057482d0e9d9e5	OPEN
CRITICAL	2022-09-15T15:34:57-0300		355.0	mikee@millstreamcomputing.co.uk	python:S3776	Kartograph.py	18min	Refactor this function to reduce its Cognitive Complexity from 28 to the 15 allowed.	2013-02-24T11:40:40-0300	CODE_SMELL	false	"brain-overload / "	Kartograph.py:kartograph/layersource/shapefile.py	"{locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=360.0, endLine=360.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=364.0, endLine=364.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=365.0, endLine=365.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=367.0, endLine=367.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=370.0, endLine=370.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=372.0, endLine=372.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=374.0, endLine=374.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=377.0, endLine=377.0, startOffset=20.0, endOffset=26.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=379.0, endLine=379.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=381.0, endLine=381.0, startOffset=20.0, endOffset=26.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=382.0, endLine=382.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=386.0, endLine=386.0, startOffset=16.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=388.0, endLine=388.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=390.0, endLine=390.0, startOffset=72.0, endOffset=74.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=389.0, endLine=389.0, startOffset=44.0, endOffset=47.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=390.0, endLine=390.0, startOffset=60.0, endOffset=63.0}, msg=+1}]} / {locations=[{component=Kartograph.py:kartograph/layersource/shapefile.py, textRange={startLine=391.0, endLine=391.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / "	MAIN	{startLine=355.0, endLine=355.0, startOffset=8.0, endOffset=16.0}	18min	AYNCbwkPop39vzmImi1T	81b58988f7a85e12b6f162dbac596b37	OPEN
CRITICAL	2022-09-15T15:34:57-0300		381.0	mikee@millstreamcomputing.co.uk	python:S5754	Kartograph.py	5min	Specify an exception class to catch or reraise the exception	2013-02-24T11:40:40-0300	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Kartograph.py:kartograph/layersource/shapefile.py		MAIN	{startLine=381.0, endLine=381.0, startOffset=20.0, endOffset=26.0}	5min	AYNCbwkPop39vzmImi1V	ae7ea9fa09bb1aa6f5c463b1e5e61fd2	OPEN
MAJOR	2022-09-15T15:34:57-0300		246.0	mikee@millstreamcomputing.co.uk	python:S1172	Kartograph.py	5min	"Remove the unused function parameter ""proj""."	2013-02-24T11:40:40-0300	CODE_SMELL	false	"unused / "	Kartograph.py:kartograph/layersource/shplayer.py		MAIN	{startLine=246.0, endLine=246.0, startOffset=21.0, endOffset=30.0}	5min	AYNCbwkoop39vzmImi2u	aee40a62f13772d5ba70768d528eaee1	OPEN
MINOR	2022-09-15T15:34:57-0300		461.0	torvalde@gmail.com	python:S1940	Kartograph.py	2min	"Use the opposite operator (""is not"") instead."	2013-02-15T10:56:08-0300	CODE_SMELL	false	"pitfall / "	Kartograph.py:kartograph/renderer/svg.py		MAIN	{startLine=461.0, endLine=461.0, startOffset=29.0, endOffset=51.0}	2min	AYNCbwl-op39vzmImi43	093f99a6bca8c6e3ee822fdbbae9053a	OPEN
