severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-06-19T21:53:38-0300		17.0	serengil@gmail.com	python:S3776	ChefBoost	31min	Refactor this function to reduce its Cognitive Complexity from 41 to the 15 allowed.	2021-06-29T10:35:23-0300	CODE_SMELL	false	"brain-overload / "	ChefBoost:chefboost/Chefboost.py	"{locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=53.0, endLine=53.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=57.0, endLine=57.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=58.0, endLine=58.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=62.0, endLine=62.0, startOffset=2.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=72.0, endLine=72.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=81.0, endLine=81.0, startOffset=1.0, endOffset=4.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=82.0, endLine=82.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=89.0, endLine=89.0, startOffset=3.0, endOffset=5.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=94.0, endLine=94.0, startOffset=3.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=111.0, endLine=111.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=129.0, endLine=129.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=139.0, endLine=139.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=140.0, endLine=140.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=143.0, endLine=143.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=145.0, endLine=145.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=153.0, endLine=153.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=158.0, endLine=158.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=160.0, endLine=160.0, startOffset=2.0, endOffset=5.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=162.0, endLine=162.0, startOffset=3.0, endOffset=5.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=174.0, endLine=174.0, startOffset=1.0, endOffset=4.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=178.0, endLine=178.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=189.0, endLine=189.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=192.0, endLine=192.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=194.0, endLine=194.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=198.0, endLine=198.0, startOffset=2.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=202.0, endLine=202.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=204.0, endLine=204.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=209.0, endLine=209.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=234.0, endLine=234.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / "	MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=7.0}	31min	AYF-mfr4-os8lNRVR5pQ	2ae437c22937999fcfa4e6b51a1cc63c	OPEN
CRITICAL	2022-06-19T21:53:38-0300		17.0	serengil@gmail.com	python:S5717	ChefBoost	5min	"Change this default value to ""None"" and initialize this parameter inside the function/method."	2021-06-28T16:21:30-0300	CODE_SMELL	false		ChefBoost:chefboost/Chefboost.py	"{locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=156.0, endLine=156.0, startOffset=2.0, endOffset=21.0}, msg=The parameter is modified.}]} / {locations=[{component=ChefBoost:chefboost/Chefboost.py, textRange={startLine=150.0, endLine=150.0, startOffset=2.0, endOffset=21.0}, msg=The parameter is modified.}]} / "	MAIN	{startLine=17.0, endLine=17.0, startOffset=12.0, endOffset=23.0}	5min	AYF-mfr4-os8lNRVR5pR	2ae437c22937999fcfa4e6b51a1cc63c	OPEN
CRITICAL	2022-06-19T21:53:38-0300		342.0	serengil@gmail.com	python:S3776	ChefBoost	55min	Refactor this function to reduce its Cognitive Complexity from 65 to the 15 allowed.	2021-06-28T15:27:52-0300	CODE_SMELL	false	"brain-overload / "	ChefBoost:chefboost/training/Training.py	"{locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=359.0, endLine=359.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=360.0, endLine=360.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=360.0, endLine=360.0, startOffset=57.0, endOffset=60.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=371.0, endLine=371.0, startOffset=1.0, endOffset=4.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=372.0, endLine=372.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=377.0, endLine=377.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=382.0, endLine=382.0, startOffset=1.0, endOffset=4.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=385.0, endLine=385.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=385.0, endLine=385.0, startOffset=29.0, endOffset=32.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=397.0, endLine=397.0, startOffset=1.0, endOffset=4.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=404.0, endLine=404.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=406.0, endLine=406.0, startOffset=3.0, endOffset=5.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=424.0, endLine=424.0, startOffset=2.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=431.0, endLine=431.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=438.0, endLine=438.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=441.0, endLine=441.0, startOffset=2.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=462.0, endLine=462.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=465.0, endLine=465.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=468.0, endLine=468.0, startOffset=2.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=495.0, endLine=495.0, startOffset=1.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=500.0, endLine=500.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=505.0, endLine=505.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=505.0, endLine=505.0, startOffset=29.0, endOffset=32.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=514.0, endLine=514.0, startOffset=4.0, endOffset=7.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=520.0, endLine=520.0, startOffset=4.0, endOffset=7.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=523.0, endLine=523.0, startOffset=5.0, endOffset=8.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=531.0, endLine=531.0, startOffset=2.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=532.0, endLine=532.0, startOffset=3.0, endOffset=6.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=534.0, endLine=534.0, startOffset=4.0, endOffset=7.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=543.0, endLine=543.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=548.0, endLine=548.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=550.0, endLine=550.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=557.0, endLine=557.0, startOffset=3.0, endOffset=6.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=561.0, endLine=561.0, startOffset=4.0, endOffset=6.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=581.0, endLine=581.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=581.0, endLine=581.0, startOffset=74.0, endOffset=77.0}, msg=+1}]} / "	MAIN	{startLine=342.0, endLine=342.0, startOffset=4.0, endOffset=21.0}	55min	AYF-mfrv-os8lNRVR5oj	d40042fef19ed1dfd9facec2922c8256	OPEN
MAJOR	2022-06-19T21:53:38-0300		507.0	serengil@gmail.com	python:S125	ChefBoost	5min	Remove this commented out code.	2021-06-28T15:27:52-0300	CODE_SMELL	false	"unused / "	ChefBoost:chefboost/training/Training.py		MAIN	{startLine=507.0, endLine=507.0, startOffset=3.0, endOffset=25.0}	5min	AYF-mfrv-os8lNRVR5oo	e27fecd60ca0a9b57b38873ba51f517a	OPEN
MINOR	2022-06-19T21:53:38-0300		85.0	serengil@gmail.com	python:S117	ChefBoost	2min	"Rename this local variable ""enableParallelism"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2021-06-27T10:22:08-0300	CODE_SMELL	false	"convention / "	ChefBoost:chefboost/commons/functions.py		MAIN	{startLine=85.0, endLine=85.0, startOffset=1.0, endOffset=18.0}	2min	AYF-mfr1-os8lNRVR5o9	249f4f1e2822b1f4691bd1088a494401	OPEN
MINOR	2022-06-19T21:53:38-0300		211.0	serengil@gmail.com	python:S117	ChefBoost	2min	"Rename this parameter ""numericColumn"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2021-06-27T10:22:08-0300	CODE_SMELL	false	"convention / "	ChefBoost:chefboost/training/Training.py		MAIN	{startLine=211.0, endLine=211.0, startOffset=52.0, endOffset=65.0}	2min	AYF-mfrv-os8lNRVR5oS	f3f79c7a658492d00dc6a8b44dcf766e	OPEN
MAJOR	2022-06-19T21:53:38-0300		211.0	serengil@gmail.com	python:S1542	ChefBoost	10min	"Rename function ""createBranch"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2021-06-27T10:22:08-0300	CODE_SMELL	false	"convention / "	ChefBoost:chefboost/training/Training.py		MAIN	{startLine=211.0, endLine=211.0, startOffset=4.0, endOffset=16.0}	10min	AYF-mfrv-os8lNRVR5oU	f3f79c7a658492d00dc6a8b44dcf766e	OPEN
MAJOR	2022-06-19T21:53:38-0300		211.0	serengil@gmail.com	python:S107	ChefBoost	20min	"Function ""createBranch"" has 15 parameters, which is greater than the 13 authorized."	2021-06-27T10:22:08-0300	CODE_SMELL	false	"brain-overload / "	ChefBoost:chefboost/training/Training.py		MAIN	{startLine=211.0, endLine=211.0, startOffset=17.0, endOffset=208.0}	20min	AYF-mfrv-os8lNRVR5oV	f3f79c7a658492d00dc6a8b44dcf766e	OPEN
CRITICAL	2022-06-19T21:53:38-0300		211.0	serengil@gmail.com	python:S3776	ChefBoost	12min	Refactor this function to reduce its Cognitive Complexity from 22 to the 15 allowed.	2021-06-27T10:22:08-0300	CODE_SMELL	false	"brain-overload / "	ChefBoost:chefboost/training/Training.py	"{locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=222.0, endLine=222.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=232.0, endLine=232.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=234.0, endLine=234.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=242.0, endLine=242.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=242.0, endLine=242.0, startOffset=22.0, endOffset=25.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=245.0, endLine=245.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=250.0, endLine=250.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=253.0, endLine=253.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=256.0, endLine=256.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=256.0, endLine=256.0, startOffset=32.0, endOffset=35.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=263.0, endLine=263.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=265.0, endLine=265.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=266.0, endLine=266.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=268.0, endLine=268.0, startOffset=2.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=275.0, endLine=275.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=277.0, endLine=277.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=297.0, endLine=297.0, startOffset=1.0, endOffset=3.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=304.0, endLine=304.0, startOffset=2.0, endOffset=4.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=307.0, endLine=307.0, startOffset=2.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=ChefBoost:chefboost/training/Training.py, textRange={startLine=326.0, endLine=326.0, startOffset=1.0, endOffset=5.0}, msg=+1}]} / "	MAIN	{startLine=211.0, endLine=211.0, startOffset=4.0, endOffset=16.0}	12min	AYF-mfrv-os8lNRVR5oW	f3f79c7a658492d00dc6a8b44dcf766e	OPEN
MINOR	2022-06-19T21:53:38-0300		67.0	serengil@gmail.com	python:S1481	ChefBoost	5min	"Remove the unused local variable ""branch_results""."	2021-06-27T10:22:08-0300	CODE_SMELL	false	"unused / "	ChefBoost:chefboost/tuning/randomforest.py		MAIN	{startLine=67.0, endLine=67.0, startOffset=4.0, endOffset=18.0}	5min	AYF-mfrp-os8lNRVR5n3	f812aaac0e224b7ed535f05a84c49586	OPEN
