severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T15:41:58-0300		29.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=29.0, endLine=29.0, startOffset=26.0, endOffset=49.0}	5min	AYNCelU5op39vzmIm3vS	dc958bedfa7dbbb1892ea79acaa8583b	OPEN
MAJOR	2022-09-15T15:41:58-0300		36.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=36.0, endLine=36.0, startOffset=28.0, endOffset=51.0}	5min	AYNCelU5op39vzmIm3vT	b848eab5ed9c9ddf7b05747309329e11	OPEN
MAJOR	2022-09-15T15:41:58-0300		43.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=43.0, endLine=43.0, startOffset=24.0, endOffset=47.0}	5min	AYNCelU5op39vzmIm3vU	d76cf674a27625aeca4a915dfdffe7db	OPEN
MAJOR	2022-09-15T15:41:58-0300		50.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=50.0, endLine=50.0, startOffset=33.0, endOffset=56.0}	5min	AYNCelU5op39vzmIm3vV	35d592c40726295ddc2c6e544be2a58e	OPEN
MAJOR	2022-09-15T15:41:58-0300		57.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=57.0, endLine=57.0, startOffset=29.0, endOffset=52.0}	5min	AYNCelU5op39vzmIm3vW	8c5717d874b8dd347353ca51a2deb614	OPEN
MAJOR	2022-09-15T15:41:58-0300		64.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=64.0, endLine=64.0, startOffset=35.0, endOffset=58.0}	5min	AYNCelU6op39vzmIm3vX	14bd6310199e3fb402a9d8977905a422	OPEN
MAJOR	2022-09-15T15:41:58-0300		72.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=72.0, endLine=72.0, startOffset=31.0, endOffset=54.0}	5min	AYNCelU6op39vzmIm3vY	8b979982b3263cf8eaa9ea8af75b9752	OPEN
MAJOR	2022-09-15T15:41:58-0300		80.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=80.0, endLine=80.0, startOffset=35.0, endOffset=58.0}	5min	AYNCelU6op39vzmIm3vZ	691ec64268630af1614a454d4416f823	OPEN
MAJOR	2022-09-15T15:41:58-0300		88.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=88.0, endLine=88.0, startOffset=31.0, endOffset=54.0}	5min	AYNCelU6op39vzmIm3va	f4f837a3dcf253f511fd2cb4b49923e7	OPEN
MAJOR	2022-09-15T15:41:58-0300		96.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=96.0, endLine=96.0, startOffset=42.0, endOffset=65.0}	5min	AYNCelU6op39vzmIm3vb	b594884564005c2c77eceb9be9fd4e8e	OPEN
MAJOR	2022-09-15T15:41:58-0300		104.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=104.0, endLine=104.0, startOffset=38.0, endOffset=61.0}	5min	AYNCelU6op39vzmIm3vc	43af9fc53808b0b7ca5669fb586515dd	OPEN
MAJOR	2022-09-15T15:41:58-0300		112.0	33317356+villebro@users.noreply.github.com	python:S1172	Superset	5min	"Remove the unused function parameter ""app_context""."	2022-04-08T14:32:38-0300	CODE_SMELL	false	"unused / "	Superset:tests/integration_tests/test_jinja_context.py		MAIN	{startLine=112.0, endLine=112.0, startOffset=23.0, endOffset=46.0}	5min	AYNCelU6op39vzmIm3vd	aa1dfa9057116c7ae6c0bf6d419986a0	OPEN
