severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T14:27:08-0300		979.0	ntamas@gmail.com	python:S3776	igraph	1h48min	Refactor this function to reduce its Cognitive Complexity from 118 to the 15 allowed.	2021-11-24T16:32:25-0300	CODE_SMELL	false	"brain-overload / "	igraph:src/igraph/drawing/graph.py	"{locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=996.0, endLine=996.0, startOffset=41.0, endOffset=43.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1003.0, endLine=1003.0, startOffset=16.0, endOffset=19.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1022.0, endLine=1022.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1028.0, endLine=1028.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1037.0, endLine=1037.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1039.0, endLine=1039.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1041.0, endLine=1041.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1041.0, endLine=1041.0, startOffset=43.0, endOffset=46.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1043.0, endLine=1043.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1044.0, endLine=1044.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1048.0, endLine=1048.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1051.0, endLine=1051.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1054.0, endLine=1054.0, startOffset=12.0, endOffset=18.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1063.0, endLine=1063.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1069.0, endLine=1069.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1071.0, endLine=1071.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1071.0, endLine=1071.0, startOffset=48.0, endOffset=51.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1073.0, endLine=1073.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1075.0, endLine=1075.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1085.0, endLine=1085.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1093.0, endLine=1093.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1096.0, endLine=1096.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1098.0, endLine=1098.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1099.0, endLine=1099.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1105.0, endLine=1105.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1106.0, endLine=1106.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1108.0, endLine=1108.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1112.0, endLine=1112.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1112.0, endLine=1112.0, startOffset=33.0, endOffset=36.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1113.0, endLine=1113.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1139.0, endLine=1139.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1141.0, endLine=1141.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1165.0, endLine=1165.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1166.0, endLine=1166.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1168.0, endLine=1168.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1176.0, endLine=1176.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1177.0, endLine=1177.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1184.0, endLine=1184.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1187.0, endLine=1187.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1189.0, endLine=1189.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1192.0, endLine=1192.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1206.0, endLine=1206.0, startOffset=8.0, endOffset=14.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1212.0, endLine=1212.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1212.0, endLine=1212.0, startOffset=21.0, endOffset=23.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1216.0, endLine=1216.0, startOffset=12.0, endOffset=15.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1221.0, endLine=1221.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1225.0, endLine=1225.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1227.0, endLine=1227.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1229.0, endLine=1229.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1233.0, endLine=1233.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1239.0, endLine=1239.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1245.0, endLine=1245.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1251.0, endLine=1251.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1255.0, endLine=1255.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1256.0, endLine=1256.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1267.0, endLine=1267.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1268.0, endLine=1268.0, startOffset=39.0, endOffset=41.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1269.0, endLine=1269.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1272.0, endLine=1272.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1279.0, endLine=1279.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1283.0, endLine=1283.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1285.0, endLine=1285.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1299.0, endLine=1299.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1302.0, endLine=1302.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1322.0, endLine=1322.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1324.0, endLine=1324.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/graph.py, textRange={startLine=1339.0, endLine=1339.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / "	MAIN	{startLine=979.0, endLine=979.0, startOffset=8.0, endOffset=12.0}	1h48min	AYNCMP_pop39vzmIjihd	33c1ba0ec6f4ed1161758bab77fa8fd8	OPEN
CRITICAL	2022-09-15T14:27:08-0300		80.0	jboy+github@bius.moe	python:S3776	igraph	9min	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.	2021-10-01T13:17:14-0300	CODE_SMELL	false	"brain-overload / "	igraph:src/igraph/drawing/text.py	"{locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=105.0, endLine=105.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=105.0, endLine=105.0, startOffset=21.0, endOffset=23.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=110.0, endLine=110.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=110.0, endLine=110.0, startOffset=26.0, endOffset=29.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=112.0, endLine=112.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=115.0, endLine=115.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=120.0, endLine=120.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=122.0, endLine=122.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=124.0, endLine=124.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=128.0, endLine=128.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=130.0, endLine=130.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=133.0, endLine=133.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=137.0, endLine=137.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/drawing/text.py, textRange={startLine=139.0, endLine=139.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=80.0, endLine=80.0, startOffset=8.0, endOffset=23.0}	9min	AYNCMQAMop39vzmIjihv	2080ffe63a227ff57f5173d2e4e027aa	OPEN
CRITICAL	2022-09-15T14:27:08-0300		141.0	ntamas@gmail.com	python:S3776	igraph	7min	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.	2021-09-10T06:40:13-0300	CODE_SMELL	false	"brain-overload / "	igraph:setup.py	"{locations=[{component=igraph:setup.py, textRange={startLine=145.0, endLine=145.0, startOffset=4.0, endOffset=9.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=146.0, endLine=146.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=148.0, endLine=148.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=157.0, endLine=157.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=160.0, endLine=160.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=161.0, endLine=161.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=165.0, endLine=165.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=167.0, endLine=167.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / "	MAIN	{startLine=141.0, endLine=141.0, startOffset=4.0, endOffset=21.0}	7min	AYNCMQC0op39vzmIjij8	ec7529aba0213fff5cc7bf3178528c69	OPEN
CRITICAL	2022-09-15T14:27:08-0300		375.0	ntamas@gmail.com	python:S3776	igraph	14min	Refactor this function to reduce its Cognitive Complexity from 24 to the 15 allowed.	2021-09-10T06:40:13-0300	CODE_SMELL	false	"brain-overload / "	igraph:setup.py	"{locations=[{component=igraph:setup.py, textRange={startLine=388.0, endLine=388.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=395.0, endLine=395.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=397.0, endLine=397.0, startOffset=20.0, endOffset=22.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=402.0, endLine=402.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=405.0, endLine=405.0, startOffset=20.0, endOffset=22.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=407.0, endLine=407.0, startOffset=24.0, endOffset=26.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=412.0, endLine=412.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=419.0, endLine=419.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=424.0, endLine=424.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=425.0, endLine=425.0, startOffset=20.0, endOffset=22.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=431.0, endLine=431.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=438.0, endLine=438.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=439.0, endLine=439.0, startOffset=20.0, endOffset=22.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=441.0, endLine=441.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=445.0, endLine=445.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=452.0, endLine=452.0, startOffset=16.0, endOffset=19.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=453.0, endLine=453.0, startOffset=20.0, endOffset=22.0}, msg=+2 (incl 1 for nesting)}]} / "	MAIN	{startLine=375.0, endLine=375.0, startOffset=8.0, endOffset=17.0}	14min	AYNCMQC0op39vzmIjij_	26e6f15c0c8a862033c1f77d18cac602	OPEN
CRITICAL	2022-09-15T14:27:08-0300		474.0	ntamas@gmail.com	python:S3776	igraph	10min	Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.	2021-09-10T06:40:13-0300	CODE_SMELL	false	"brain-overload / "	igraph:setup.py	"{locations=[{component=igraph:setup.py, textRange={startLine=487.0, endLine=487.0, startOffset=16.0, endOffset=18.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=489.0, endLine=489.0, startOffset=20.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=501.0, endLine=501.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=506.0, endLine=506.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=506.0, endLine=506.0, startOffset=31.0, endOffset=34.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=516.0, endLine=516.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=518.0, endLine=518.0, startOffset=20.0, endOffset=22.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=529.0, endLine=529.0, startOffset=24.0, endOffset=26.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=532.0, endLine=532.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=532.0, endLine=532.0, startOffset=48.0, endOffset=50.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=537.0, endLine=537.0, startOffset=16.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=541.0, endLine=541.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=igraph:setup.py, textRange={startLine=547.0, endLine=547.0, startOffset=20.0, endOffset=22.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:setup.py, textRange={startLine=552.0, endLine=552.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / "	MAIN	{startLine=474.0, endLine=474.0, startOffset=8.0, endOffset=13.0}	10min	AYNCMQC0op39vzmIjikA	cafa514d89e05eafd1ef56457fc03888	OPEN
MAJOR	2022-09-15T14:27:08-0300		52.0	ntamas@gmail.com	python:S1700	igraph	10min	"Rename field ""matching"""	2021-08-09T08:46:41-0300	CODE_SMELL	false	"brain-overload / "	igraph:src/igraph/matching.py	"{locations=[{component=igraph:src/igraph/matching.py, textRange={startLine=8.0, endLine=8.0, startOffset=6.0, endOffset=14.0}, msg=Class declaration}]} / "	MAIN	{startLine=52.0, endLine=52.0, startOffset=13.0, endOffset=21.0}	10min	AYNCMQApop39vzmIjiiB	399e181df7533841d90c92aae9b0e17d	OPEN
CRITICAL	2022-09-15T14:27:08-0300		3408.0	fwitter@users.noreply.github.com	python:S3776	igraph	30min	Refactor this function to reduce its Cognitive Complexity from 40 to the 15 allowed.	2021-06-22T15:37:45-0300	CODE_SMELL	false	"brain-overload / "	igraph:src/igraph/__init__.py	"{locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3437.0, endLine=3437.0, startOffset=8.0, endOffset=14.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3441.0, endLine=3441.0, startOffset=8.0, endOffset=14.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3444.0, endLine=3444.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3446.0, endLine=3446.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3446.0, endLine=3446.0, startOffset=32.0, endOffset=35.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3449.0, endLine=3449.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3450.0, endLine=3450.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3450.0, endLine=3450.0, startOffset=59.0, endOffset=62.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3452.0, endLine=3452.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3454.0, endLine=3454.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3456.0, endLine=3456.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3457.0, endLine=3457.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3459.0, endLine=3459.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3461.0, endLine=3461.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3463.0, endLine=3463.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3465.0, endLine=3465.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3471.0, endLine=3471.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3474.0, endLine=3474.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3479.0, endLine=3479.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3482.0, endLine=3482.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3482.0, endLine=3482.0, startOffset=37.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3494.0, endLine=3494.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3497.0, endLine=3497.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3498.0, endLine=3498.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3503.0, endLine=3503.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3508.0, endLine=3508.0, startOffset=58.0, endOffset=60.0}, msg=+1}]} / "	MAIN	{startLine=3408.0, endLine=3408.0, startOffset=8.0, endOffset=17.0}	30min	AYNCMQA1op39vzmIjiiV	577f8a63b03c98dbebfe348edd815fbc	OPEN
CRITICAL	2022-09-15T14:27:08-0300		3438.0	fwitter@users.noreply.github.com	python:S1192	igraph	6min	"Define a constant instead of duplicating this literal ""You should install pandas in order to use this function"" 3 times."	2021-06-22T15:37:45-0300	CODE_SMELL	false	"design / "	igraph:src/igraph/__init__.py	"{locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3531.0, endLine=3531.0, startOffset=30.0, endOffset=87.0}, msg=Duplication}]} / {locations=[{component=igraph:src/igraph/__init__.py, textRange={startLine=3574.0, endLine=3574.0, startOffset=30.0, endOffset=87.0}, msg=Duplication}]} / "	MAIN	{startLine=3438.0, endLine=3438.0, startOffset=30.0, endOffset=87.0}	6min	AYNCMQA1op39vzmIjiiC	3610fa1e3579bf6516c23c821ad20d4d	OPEN
CRITICAL	2022-09-15T14:27:08-0300		3441.0	fwitter@users.noreply.github.com	python:S5754	igraph	5min	Specify an exception class to catch or reraise the exception	2021-06-22T15:37:45-0300	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	igraph:src/igraph/__init__.py		MAIN	{startLine=3441.0, endLine=3441.0, startOffset=8.0, endOffset=14.0}	5min	AYNCMQA1op39vzmIjiiW	3e264f5fbab10735799511f21ca70842	OPEN
MAJOR	2022-09-15T14:27:08-0300		1040.0	fabio.zanini@fastmail.fm	python:S108	igraph	5min	Either remove or fill this block of code.	2021-06-02T16:39:01-0300	CODE_SMELL	false	"suspicious / "	igraph:src/igraph/drawing/graph.py		MAIN	{startLine=1040.0, endLine=1040.0, startOffset=12.0, endOffset=16.0}	5min	AYNCMP_pop39vzmIjihf	1a1dc91c907325c69271ddf0c944bc72	OPEN
