severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-06-19T22:50:25-0300		26.0	github@benfrederickson.com	python:S1186	implicit	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2022-03-26T19:48:20-0300	CODE_SMELL	false	"suspicious / "	implicit:tests/approximate_als_test.py		MAIN	{startLine=26.0, endLine=26.0, startOffset=12.0, endOffset=30.0}	5min	AYF-zfN7-os8lNRVS8jo	b99df273f8e43f3040bd05ea9e689582	OPEN
CRITICAL	2022-06-19T22:50:25-0300		41.0	github@benfrederickson.com	python:S1186	implicit	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2022-03-26T19:48:20-0300	CODE_SMELL	false	"suspicious / "	implicit:tests/approximate_als_test.py		MAIN	{startLine=41.0, endLine=41.0, startOffset=16.0, endOffset=34.0}	5min	AYF-zfN7-os8lNRVS8jp	b99df273f8e43f3040bd05ea9e689582	OPEN
CRITICAL	2022-06-19T22:50:25-0300		64.0	github@benfrederickson.com	python:S1186	implicit	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2022-03-26T19:48:20-0300	CODE_SMELL	false	"suspicious / "	implicit:tests/approximate_als_test.py		MAIN	{startLine=64.0, endLine=64.0, startOffset=12.0, endOffset=30.0}	5min	AYF-zfN7-os8lNRVS8jq	b99df273f8e43f3040bd05ea9e689582	OPEN
CRITICAL	2022-06-19T22:50:25-0300		84.0	github@benfrederickson.com	python:S1186	implicit	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2022-03-26T19:48:20-0300	CODE_SMELL	false	"suspicious / "	implicit:tests/approximate_als_test.py		MAIN	{startLine=84.0, endLine=84.0, startOffset=16.0, endOffset=34.0}	5min	AYF-zfN7-os8lNRVS8jr	b99df273f8e43f3040bd05ea9e689582	OPEN
CRITICAL	2022-06-19T22:50:25-0300		103.0	github@benfrederickson.com	python:S1186	implicit	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2022-03-26T19:48:20-0300	CODE_SMELL	false	"suspicious / "	implicit:tests/approximate_als_test.py		MAIN	{startLine=103.0, endLine=103.0, startOffset=12.0, endOffset=30.0}	5min	AYF-zfN7-os8lNRVS8js	b99df273f8e43f3040bd05ea9e689582	OPEN
CRITICAL	2022-06-19T22:50:25-0300		138.0	github@benfrederickson.com	python:S1186	implicit	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2022-03-26T19:48:20-0300	CODE_SMELL	false	"suspicious / "	implicit:tests/approximate_als_test.py		MAIN	{startLine=138.0, endLine=138.0, startOffset=16.0, endOffset=34.0}	5min	AYF-zfN7-os8lNRVS8jt	b99df273f8e43f3040bd05ea9e689582	OPEN
INFO	2022-06-19T22:50:25-0300		215.0	github@benfrederickson.com	python:S1135	implicit	0min	"Complete the task associated to this ""TODO"" comment."	2022-01-25T15:34:59-0300	CODE_SMELL	false	"cwe / "	implicit:implicit/gpu/als.py		MAIN	{startLine=215.0, endLine=215.0, startOffset=12.0, endOffset=40.0}	0min	AYF-zfMb-os8lNRVS8iQ	787e3545ea69edcec54932cc8cb97a7e	OPEN
INFO	2022-06-19T22:50:25-0300		246.0	github@benfrederickson.com	python:S1135	implicit	0min	"Complete the task associated to this ""TODO"" comment."	2022-01-25T15:34:59-0300	CODE_SMELL	false	"cwe / "	implicit:implicit/gpu/als.py		MAIN	{startLine=246.0, endLine=246.0, startOffset=12.0, endOffset=40.0}	0min	AYF-zfMb-os8lNRVS8iR	787e3545ea69edcec54932cc8cb97a7e	OPEN
CRITICAL	2022-06-19T22:50:25-0300		30.0	github@benfrederickson.com	python:S3776	implicit	9min	Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.	2022-01-24T19:15:22-0300	CODE_SMELL	false	"brain-overload / "	implicit:implicit/cpu/matrix_factorization_base.py	"{locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=40.0, endLine=40.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=40.0, endLine=40.0, startOffset=38.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=41.0, endLine=41.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=43.0, endLine=43.0, startOffset=27.0, endOffset=29.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=44.0, endLine=44.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=53.0, endLine=53.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=55.0, endLine=55.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=63.0, endLine=63.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=63.0, endLine=63.0, startOffset=57.0, endOffset=59.0}, msg=+1}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=68.0, endLine=68.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=72.0, endLine=72.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=83.0, endLine=83.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=implicit:implicit/cpu/matrix_factorization_base.py, textRange={startLine=87.0, endLine=87.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / "	MAIN	{startLine=30.0, endLine=30.0, startOffset=8.0, endOffset=17.0}	9min	AYF-zfM4-os8lNRVS8ia	9b28891386a15096cdb76b6c911ce8d4	OPEN
MINOR	2022-06-19T22:50:25-0300		173.0	github@benfrederickson.com	python:S117	implicit	2min	"Rename this local variable ""Cui"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-01-24T19:15:22-0300	CODE_SMELL	false	"convention / "	implicit:implicit/gpu/als.py		MAIN	{startLine=173.0, endLine=173.0, startOffset=8.0, endOffset=11.0}	2min	AYF-zfMb-os8lNRVS8iO	298a3651fa790686dffea8346dfba6ea	OPEN
MINOR	2022-06-19T22:50:25-0300		183.0	github@benfrederickson.com	python:S117	implicit	2min	"Rename this local variable ""Ciu"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-01-24T19:15:22-0300	CODE_SMELL	false	"convention / "	implicit:implicit/gpu/als.py		MAIN	{startLine=183.0, endLine=183.0, startOffset=8.0, endOffset=11.0}	2min	AYF-zfMb-os8lNRVS8iP	37600cd8e44c53d84ec6e48833b48d90	OPEN
CRITICAL	2022-06-19T22:50:25-0300		34.0	github@benfrederickson.com	python:S3776	implicit	15min	Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.	2022-01-24T19:15:22-0300	CODE_SMELL	false	"brain-overload / "	implicit:implicit/gpu/matrix_factorization_base.py	"{locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=44.0, endLine=44.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=44.0, endLine=44.0, startOffset=38.0, endOffset=40.0}, msg=+1}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=45.0, endLine=45.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=47.0, endLine=47.0, startOffset=27.0, endOffset=29.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=48.0, endLine=48.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=51.0, endLine=51.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=53.0, endLine=53.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=57.0, endLine=57.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=59.0, endLine=59.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=67.0, endLine=67.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=67.0, endLine=67.0, startOffset=57.0, endOffset=59.0}, msg=+1}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=70.0, endLine=70.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=74.0, endLine=74.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=78.0, endLine=78.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=81.0, endLine=81.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=83.0, endLine=83.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=95.0, endLine=95.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=implicit:implicit/gpu/matrix_factorization_base.py, textRange={startLine=98.0, endLine=98.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / "	MAIN	{startLine=34.0, endLine=34.0, startOffset=8.0, endOffset=17.0}	15min	AYF-zfMy-os8lNRVS8iU	9b28891386a15096cdb76b6c911ce8d4	OPEN
MINOR	2022-06-19T22:50:25-0300		96.0	github@benfrederickson.com	python:S117	implicit	2min	"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-01-19T16:28:26-0300	CODE_SMELL	false	"convention / "	implicit:implicit/ann/annoy.py		MAIN	{startLine=96.0, endLine=96.0, startOffset=22.0, endOffset=23.0}	2min	AYF-zfNE-os8lNRVS8jF	9e74cb1c050cf7ed1d2b7172cf76f4bc	OPEN
MINOR	2022-06-19T22:50:25-0300		133.0	github@benfrederickson.com	python:S117	implicit	2min	"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-01-19T16:28:26-0300	CODE_SMELL	false	"convention / "	implicit:implicit/ann/faiss.py		MAIN	{startLine=133.0, endLine=133.0, startOffset=22.0, endOffset=23.0}	2min	AYF-zfNB-os8lNRVS8i_	9e74cb1c050cf7ed1d2b7172cf76f4bc	OPEN
MINOR	2022-06-19T22:50:25-0300		115.0	github@benfrederickson.com	python:S117	implicit	2min	"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-01-19T16:28:26-0300	CODE_SMELL	false	"convention / "	implicit:implicit/ann/nmslib.py		MAIN	{startLine=115.0, endLine=115.0, startOffset=22.0, endOffset=23.0}	2min	AYF-zfM_-os8lNRVS8i6	9e74cb1c050cf7ed1d2b7172cf76f4bc	OPEN
MINOR	2022-06-19T22:50:25-0300		173.0	github@benfrederickson.com	python:S117	implicit	2min	"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-01-19T16:28:26-0300	CODE_SMELL	false	"convention / "	implicit:implicit/cpu/matrix_factorization_base.py		MAIN	{startLine=173.0, endLine=173.0, startOffset=22.0, endOffset=23.0}	2min	AYF-zfM4-os8lNRVS8id	9e74cb1c050cf7ed1d2b7172cf76f4bc	OPEN
MINOR	2022-06-19T22:50:25-0300		163.0	github@benfrederickson.com	python:S117	implicit	2min	"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-01-19T16:28:26-0300	CODE_SMELL	false	"convention / "	implicit:implicit/gpu/matrix_factorization_base.py		MAIN	{startLine=163.0, endLine=163.0, startOffset=22.0, endOffset=23.0}	2min	AYF-zfMy-os8lNRVS8iX	9e74cb1c050cf7ed1d2b7172cf76f4bc	OPEN
MINOR	2022-06-19T22:50:25-0300		106.0	github@benfrederickson.com	python:S117	implicit	2min	"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-01-19T16:28:26-0300	CODE_SMELL	false	"convention / "	implicit:implicit/nearest_neighbours.py		MAIN	{startLine=106.0, endLine=106.0, startOffset=22.0, endOffset=23.0}	2min	AYF-zfNH-os8lNRVS8jO	9e74cb1c050cf7ed1d2b7172cf76f4bc	OPEN
MINOR	2022-06-19T22:50:25-0300		121.0	github@benfrederickson.com	python:S117	implicit	2min	"Rename this parameter ""N"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2022-01-19T16:28:26-0300	CODE_SMELL	false	"convention / "	implicit:implicit/recommender_base.py		MAIN	{startLine=121.0, endLine=121.0, startOffset=22.0, endOffset=23.0}	2min	AYF-zfNW-os8lNRVS8jb	9e74cb1c050cf7ed1d2b7172cf76f4bc	OPEN
CRITICAL	2022-06-19T22:50:25-0300		140.0	github@benfrederickson.com	python:S1192	implicit	6min	"Define a constant instead of duplicating this literal ""als_speed.png"" 3 times."	2022-01-12T15:18:39-0300	CODE_SMELL	false	"design / "	implicit:benchmarks/benchmark_als.py	"{locations=[{component=implicit:benchmarks/benchmark_als.py, textRange={startLine=163.0, endLine=163.0, startOffset=39.0, endOffset=54.0}, msg=Duplication}]} / {locations=[{component=implicit:benchmarks/benchmark_als.py, textRange={startLine=216.0, endLine=216.0, startOffset=44.0, endOffset=59.0}, msg=Duplication}]} / "	MAIN	{startLine=140.0, endLine=140.0, startOffset=13.0, endOffset=28.0}	6min	AYF-zfOJ-os8lNRVS8jx	9b697b90a1fd07500dced2c9fd9a5fd6	OPEN
