severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-06-19T22:50:37-0300		238.0	weiss.simon@outlook.com	python:S1192	LightFM	6min	"Define a constant instead of duplicating this literal ""LightFM Documentation"" 3 times."	2022-03-01T06:13:51-0300	CODE_SMELL	false	"design / "	LightFM:doc/conf.py	"{locations=[{component=LightFM:doc/conf.py, textRange={startLine=269.0, endLine=269.0, startOffset=37.0, endOffset=60.0}, msg=Duplication}]} / {locations=[{component=LightFM:doc/conf.py, textRange={startLine=284.0, endLine=284.0, startOffset=8.0, endOffset=31.0}, msg=Duplication}]} / "	MAIN	{startLine=238.0, endLine=238.0, startOffset=8.0, endOffset=31.0}	6min	AYF-ziDR-os8lNRVS8_3	8a3504d422b5e1db127ef8b5fe2b9cd0	OPEN
MAJOR	2022-06-19T22:50:37-0300		21.0	weiss.simon@outlook.com	python:S5799	LightFM	1min	Merge these implicitly concatenated strings; or did you forget a comma?	2022-03-01T06:13:51-0300	CODE_SMELL	false	"confusing / suspicious / "	LightFM:examples/dataset/download.py	"{locations=[{component=LightFM:examples/dataset/download.py, textRange={startLine=21.0, endLine=21.0, startOffset=50.0, endOffset=80.0}}]} / "	MAIN	{startLine=21.0, endLine=21.0, startOffset=8.0, endOffset=49.0}	1min	AYF-ziDo-os8lNRVS9AB	aab50e66d415c44824c573d4cf891442	OPEN
CRITICAL	2022-06-19T22:50:37-0300		69.0	diederikgreveling@gmail.com	python:S1192	LightFM	8min	"Define a constant instead of duplicating this literal ""Number of threads must be 1 or larger."" 4 times."	2018-11-26T18:25:25-0300	CODE_SMELL	false	"design / "	LightFM:lightfm/evaluation.py	"{locations=[{component=LightFM:lightfm/evaluation.py, textRange={startLine=146.0, endLine=146.0, startOffset=25.0, endOffset=65.0}, msg=Duplication}]} / {locations=[{component=LightFM:lightfm/evaluation.py, textRange={startLine=222.0, endLine=222.0, startOffset=25.0, endOffset=65.0}, msg=Duplication}]} / {locations=[{component=LightFM:lightfm/evaluation.py, textRange={startLine=309.0, endLine=309.0, startOffset=25.0, endOffset=65.0}, msg=Duplication}]} / "	MAIN	{startLine=69.0, endLine=69.0, startOffset=25.0, endOffset=65.0}	8min	AYF-ziC0-os8lNRVS8_l	3f268231ce1228dba34b8ed939fd59a1	OPEN
CRITICAL	2022-06-19T22:50:37-0300		652.0	diederikgreveling@gmail.com	python:S1192	LightFM	6min	"Define a constant instead of duplicating this literal ""Number of threads must be 1 or larger."" 3 times."	2018-11-26T18:25:25-0300	CODE_SMELL	false	"design / "	LightFM:lightfm/lightfm.py	"{locations=[{component=LightFM:lightfm/lightfm.py, textRange={startLine=842.0, endLine=842.0, startOffset=29.0, endOffset=69.0}, msg=Duplication}]} / {locations=[{component=LightFM:lightfm/lightfm.py, textRange={startLine=942.0, endLine=942.0, startOffset=29.0, endOffset=69.0}, msg=Duplication}]} / "	MAIN	{startLine=652.0, endLine=652.0, startOffset=29.0, endOffset=69.0}	6min	AYF-ziC5-os8lNRVS8_m	3f268231ce1228dba34b8ed939fd59a1	OPEN
MAJOR	2022-06-19T22:50:37-0300		329.0	petrus.jvrensburg@gmail.com	python:S112	LightFM	20min	Replace this generic exception class with a more specific one.	2018-11-16T03:59:10-0300	CODE_SMELL	false	"cwe / error-handling / "	LightFM:lightfm/lightfm.py		MAIN	{startLine=329.0, endLine=331.0, startOffset=18.0, endOffset=13.0}	20min	AYF-ziC5-os8lNRVS8_o	581477db8ca000655dc35f4766473b4d	OPEN
MAJOR	2022-06-19T22:50:37-0300		334.0	petrus.jvrensburg@gmail.com	python:S112	LightFM	20min	Replace this generic exception class with a more specific one.	2018-11-16T03:59:10-0300	CODE_SMELL	false	"cwe / error-handling / "	LightFM:lightfm/lightfm.py		MAIN	{startLine=334.0, endLine=336.0, startOffset=18.0, endOffset=13.0}	20min	AYF-ziC5-os8lNRVS8_p	581477db8ca000655dc35f4766473b4d	OPEN
MINOR	2022-06-19T22:50:37-0300		702.0	maciej.kula@gmail.com	python:S117	LightFM	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2018-11-03T14:27:13-0300	CODE_SMELL	false	"convention / "	LightFM:tests/test_movielens.py		MAIN	{startLine=702.0, endLine=702.0, startOffset=24.0, endOffset=25.0}	2min	AYF-ziDh-os8lNRVS8_8	4c4ca65b1d58c5e62131baa1e0159d0e	OPEN
MAJOR	2022-06-19T22:50:37-0300		205.0	maciej.kula@gmail.com	python:S1854	LightFM	15min	Remove this assignment to local variable 'sample_weight'; the value is never used.	2018-07-17T18:07:49-0300	CODE_SMELL	false	"cwe / unused / "	LightFM:tests/test_api.py		MAIN	{startLine=205.0, endLine=205.0, startOffset=8.0, endOffset=87.0}	15min	AYF-ziDk-os8lNRVS8_9	a143b2015434b02c55823730bf02091f	OPEN
MAJOR	2022-06-19T22:50:37-0300		221.0	maciej.kula@gmail.com	python:S1854	LightFM	15min	Remove this assignment to local variable 'train'; the value is never used.	2018-07-17T18:07:49-0300	CODE_SMELL	false	"cwe / unused / "	LightFM:tests/test_api.py		MAIN	{startLine=221.0, endLine=221.0, startOffset=4.0, endOffset=65.0}	15min	AYF-ziDk-os8lNRVS8__	1ab01e1e40493e2e0b16f9952f319fd5	OPEN
CRITICAL	2022-06-19T22:50:37-0300		65.0	maciej.kula@gmail.com	python:S1192	LightFM	6min	"Define a constant instead of duplicating this literal ""user:{}"" 3 times."	2018-07-17T18:07:49-0300	CODE_SMELL	false	"design / "	LightFM:tests/test_data.py	"{locations=[{component=LightFM:tests/test_data.py, textRange={startLine=72.0, endLine=72.0, startOffset=23.0, endOffset=32.0}, msg=Duplication}]} / {locations=[{component=LightFM:tests/test_data.py, textRange={startLine=89.0, endLine=89.0, startOffset=23.0, endOffset=32.0}, msg=Duplication}]} / "	MAIN	{startLine=65.0, endLine=65.0, startOffset=9.0, endOffset=18.0}	6min	AYF-ziDV-os8lNRVS8_5	aeb2729bae7a8f2ae00404a708df3dc5	OPEN
