severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-09-15T14:15:13-0300		159.0	jonatan.lib@gmail.com	python:S3776	Deepchecks	29min	Refactor this function to reduce its Cognitive Complexity from 39 to the 15 allowed.	2022-04-10T10:46:29-0300	CODE_SMELL	false	"brain-overload / "	Deepchecks:deepchecks/vision/suite.py	"{locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=167.0, endLine=167.0, startOffset=40.0, endOffset=42.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=174.0, endLine=174.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=177.0, endLine=177.0, startOffset=12.0, endOffset=18.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=188.0, endLine=188.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=191.0, endLine=191.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=193.0, endLine=193.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=196.0, endLine=196.0, startOffset=20.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=197.0, endLine=197.0, startOffset=24.0, endOffset=26.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=199.0, endLine=199.0, startOffset=24.0, endOffset=28.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=202.0, endLine=202.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=204.0, endLine=204.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=206.0, endLine=206.0, startOffset=20.0, endOffset=24.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=208.0, endLine=208.0, startOffset=16.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=216.0, endLine=216.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=221.0, endLine=221.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=225.0, endLine=225.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=227.0, endLine=227.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=232.0, endLine=232.0, startOffset=24.0, endOffset=26.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/suite.py, textRange={startLine=235.0, endLine=235.0, startOffset=20.0, endOffset=26.0}, msg=+4 (incl 3 for nesting)}]} / "	MAIN	{startLine=159.0, endLine=159.0, startOffset=8.0, endOffset=20.0}	29min	AYNCJi9Vop39vzmIizav	e34f12e88bc1e2a9566ef24283bbe73a	OPEN
CRITICAL	2022-09-15T14:15:13-0300		113.0	matan@deepchecks.com	python:S1192	Deepchecks	16min	Define a constant instead of duplicating this literal 'Class Name' 8 times.	2022-04-10T08:52:53-0300	CODE_SMELL	false	"design / "	Deepchecks:deepchecks/vision/checks/performance/class_performance.py	"{locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=126.0, endLine=126.0, startOffset=14.0, endOffset=26.0}, msg=Duplication}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=188.0, endLine=188.0, startOffset=32.0, endOffset=44.0}, msg=Duplication}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=189.0, endLine=189.0, startOffset=39.0, endOffset=51.0}, msg=Duplication}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=195.0, endLine=195.0, startOffset=68.0, endOffset=80.0}, msg=Duplication}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=196.0, endLine=196.0, startOffset=71.0, endOffset=83.0}, msg=Duplication}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=269.0, endLine=269.0, startOffset=41.0, endOffset=53.0}, msg=Duplication}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=274.0, endLine=274.0, startOffset=41.0, endOffset=53.0}, msg=Duplication}]} / "	MAIN	{startLine=113.0, endLine=113.0, startOffset=63.0, endOffset=75.0}	16min	AYNCJi8yop39vzmIizae	e2337142ca35f6780825288821a66fe3	OPEN
CRITICAL	2022-09-15T14:15:13-0300		169.0	matan@deepchecks.com	python:S3776	Deepchecks	23min	Refactor this function to reduce its Cognitive Complexity from 33 to the 15 allowed.	2022-04-10T08:52:53-0300	CODE_SMELL	false	"brain-overload / "	Deepchecks:deepchecks/vision/checks/performance/class_performance.py	"{locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=178.0, endLine=178.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=179.0, endLine=179.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=188.0, endLine=188.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=190.0, endLine=190.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=193.0, endLine=193.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=194.0, endLine=194.0, startOffset=16.0, endOffset=19.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=203.0, endLine=203.0, startOffset=20.0, endOffset=22.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=204.0, endLine=204.0, startOffset=24.0, endOffset=27.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=208.0, endLine=208.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=215.0, endLine=215.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=216.0, endLine=216.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=220.0, endLine=220.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/vision/checks/performance/class_performance.py, textRange={startLine=223.0, endLine=223.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / "	MAIN	{startLine=169.0, endLine=169.0, startOffset=8.0, endOffset=70.0}	23min	AYNCJi8yop39vzmIizag	38d4c26c2b039b7000b14c5d8977bff3	OPEN
CRITICAL	2022-09-15T14:15:13-0300		202.0	matan@deepchecks.com	python:S1192	Deepchecks	6min	Define a constant instead of duplicating this literal 'Train Dataset' 3 times.	2022-04-10T06:21:10-0300	CODE_SMELL	false	"design / "	Deepchecks:deepchecks/utils/distribution/plot.py	"{locations=[{component=Deepchecks:deepchecks/utils/distribution/plot.py, textRange={startLine=205.0, endLine=205.0, startOffset=81.0, endOffset=96.0}, msg=Duplication}]} / {locations=[{component=Deepchecks:deepchecks/utils/distribution/plot.py, textRange={startLine=262.0, endLine=262.0, startOffset=13.0, endOffset=28.0}, msg=Duplication}]} / "	MAIN	{startLine=202.0, endLine=202.0, startOffset=21.0, endOffset=36.0}	6min	AYNCJi75op39vzmIizaI	0fd758b07832266a3964e1bed529f59e	OPEN
CRITICAL	2022-09-15T14:15:13-0300		216.0	matan@deepchecks.com	python:S1192	Deepchecks	6min	Define a constant instead of duplicating this literal 'Test Dataset' 3 times.	2022-04-10T06:21:10-0300	CODE_SMELL	false	"design / "	Deepchecks:deepchecks/utils/distribution/plot.py	"{locations=[{component=Deepchecks:deepchecks/utils/distribution/plot.py, textRange={startLine=219.0, endLine=219.0, startOffset=80.0, endOffset=94.0}, msg=Duplication}]} / {locations=[{component=Deepchecks:deepchecks/utils/distribution/plot.py, textRange={startLine=271.0, endLine=271.0, startOffset=13.0, endOffset=27.0}, msg=Duplication}]} / "	MAIN	{startLine=216.0, endLine=216.0, startOffset=21.0, endOffset=35.0}	6min	AYNCJi75op39vzmIizaJ	f5d0de6c0f775dea2c503e9c8c0e1ae5	OPEN
MAJOR	2022-09-15T14:15:13-0300		107.0	itay@deepchecks.com	python:S905	Deepchecks	10min	Remove or refactor this statement; it has no side effects.	2022-04-10T06:04:10-0300	BUG	false	"cwe / unused / "	Deepchecks:docs/source/examples/vision/checks/performance/source/plot_class_performance.py		MAIN	{startLine=107.0, endLine=107.0, startOffset=0.0, endOffset=6.0}	10min	AYNCJjAqop39vzmIizcD	b4a88417b3d0170d754c647c30b7216a	OPEN
MAJOR	2022-09-15T14:15:13-0300		107.0	itay@deepchecks.com	python:S905	Deepchecks	10min	Remove or refactor this statement; it has no side effects.	2022-04-10T06:04:10-0300	BUG	false	"cwe / unused / "	Deepchecks:docs/source/examples/vision/checks/performance/source/plot_simple_model_comparison.py		MAIN	{startLine=107.0, endLine=107.0, startOffset=0.0, endOffset=6.0}	10min	AYNCJjAjop39vzmIizcB	b4a88417b3d0170d754c647c30b7216a	OPEN
CRITICAL	2022-09-15T14:15:13-0300		221.0	jonatan.lib@gmail.com	python:S3776	Deepchecks	8min	Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.	2022-04-10T05:52:24-0300	CODE_SMELL	false	"brain-overload / "	Deepchecks:deepchecks/core/check_result.py	"{locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=235.0, endLine=235.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=237.0, endLine=237.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=239.0, endLine=239.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=241.0, endLine=241.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=243.0, endLine=243.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=247.0, endLine=247.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=254.0, endLine=254.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=255.0, endLine=255.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=259.0, endLine=259.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=263.0, endLine=263.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=265.0, endLine=265.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=268.0, endLine=268.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=274.0, endLine=274.0, startOffset=16.0, endOffset=22.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=276.0, endLine=276.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Deepchecks:deepchecks/core/check_result.py, textRange={startLine=288.0, endLine=288.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / "	MAIN	{startLine=221.0, endLine=221.0, startOffset=8.0, endOffset=16.0}	8min	AYNCJi-rop39vzmIizbc	31f5344fb80305d61f5a12340982d83f	OPEN
CRITICAL	2022-09-15T14:15:13-0300		60.0	matan@deepchecks.com	python:S1192	Deepchecks	6min	Define a constant instead of duplicating this literal 'Number of samples' 3 times.	2022-04-08T07:05:53-0300	CODE_SMELL	false	"design / "	Deepchecks:deepchecks/tabular/checks/performance/multi_model_performance_report.py	"{locations=[{component=Deepchecks:deepchecks/tabular/checks/performance/multi_model_performance_report.py, textRange={startLine=70.0, endLine=70.0, startOffset=84.0, endOffset=103.0}, msg=Duplication}]} / {locations=[{component=Deepchecks:deepchecks/tabular/checks/performance/multi_model_performance_report.py, textRange={startLine=80.0, endLine=80.0, startOffset=24.0, endOffset=43.0}, msg=Duplication}]} / "	MAIN	{startLine=60.0, endLine=60.0, startOffset=93.0, endOffset=112.0}	6min	AYNCJi5-op39vzmIizZN	4069927c9ed79f566484e6554e996eb1	OPEN
CRITICAL	2022-09-15T14:15:13-0300		30.0	itay@deepchecks.com	python:S1192	Deepchecks	6min	Define a constant instead of duplicating this literal '.user_id' 3 times.	2022-04-07T13:40:21-0300	CODE_SMELL	false	"design / "	Deepchecks:deepchecks/analytics/anonymous_telemetry.py	"{locations=[{component=Deepchecks:deepchecks/analytics/anonymous_telemetry.py, textRange={startLine=31.0, endLine=31.0, startOffset=51.0, endOffset=61.0}, msg=Duplication}]} / {locations=[{component=Deepchecks:deepchecks/analytics/anonymous_telemetry.py, textRange={startLine=35.0, endLine=35.0, startOffset=51.0, endOffset=61.0}, msg=Duplication}]} / "	MAIN	{startLine=30.0, endLine=30.0, startOffset=55.0, endOffset=65.0}	6min	AYNCJi-4op39vzmIizbr	6019fe29296cb5552228b4bd78dc5d63	OPEN
