severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-06-19T21:54:13-0300		28.0	jmansilla@machinalis.com	python:S3776	Featureforge	11min	Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.	2016-08-18T13:32:17-0300	CODE_SMELL	false	"brain-overload / "	Featureforge:featureforge/experimentation/runner.py	"{locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=49.0, endLine=49.0, startOffset=4.0, endOffset=8.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=51.0, endLine=51.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=54.0, endLine=54.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=57.0, endLine=57.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=57.0, endLine=57.0, startOffset=32.0, endOffset=35.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=62.0, endLine=62.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=69.0, endLine=69.0, startOffset=8.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=72.0, endLine=72.0, startOffset=8.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=76.0, endLine=76.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=79.0, endLine=79.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/experimentation/runner.py, textRange={startLine=82.0, endLine=82.0, startOffset=12.0, endOffset=14.0}, msg=+3 (incl 2 for nesting)}]} / "	MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=8.0}	11min	AYF-mnnX-os8lNRVR6K7	b241097e694e28fdb3472b8e7a8481f2	OPEN
CRITICAL	2022-06-19T21:54:13-0300		18.0	jmansilla@machinalis.com	python:S5754	Featureforge	5min	Specify an exception class to catch or reraise the exception	2015-06-15T16:51:40-0300	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Featureforge:docs/conf.py		MAIN	{startLine=18.0, endLine=18.0, startOffset=0.0, endOffset=6.0}	5min	AYF-mnn_-os8lNRVR6Lz	3e264f5fbab10735799511f21ca70842	OPEN
CRITICAL	2022-06-19T21:54:13-0300		254.0	rcarrascosa@machinalis.com	python:S1192	Featureforge	8min	"Define a constant instead of duplicating this literal ""Matrix has size %sx%s"" 4 times."	2015-06-15T13:52:15-0300	CODE_SMELL	false	"design / "	Featureforge:featureforge/flattener.py	"{locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=288.0, endLine=288.0, startOffset=21.0, endOffset=44.0}, msg=Duplication}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=347.0, endLine=347.0, startOffset=21.0, endOffset=44.0}, msg=Duplication}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=379.0, endLine=379.0, startOffset=21.0, endOffset=44.0}, msg=Duplication}]} / "	MAIN	{startLine=254.0, endLine=254.0, startOffset=21.0, endOffset=44.0}	8min	AYF-mnn5-os8lNRVR6Ld	06863332720a2516e01ce892517d5af3	OPEN
CRITICAL	2022-06-19T21:54:13-0300		291.0	rcarrascosa@machinalis.com	python:S3776	Featureforge	23min	Refactor this function to reduce its Cognitive Complexity from 33 to the 15 allowed.	2015-06-15T13:13:48-0300	CODE_SMELL	false	"brain-overload / "	Featureforge:featureforge/flattener.py	"{locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=298.0, endLine=298.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=299.0, endLine=299.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=301.0, endLine=301.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=303.0, endLine=303.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=304.0, endLine=304.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=307.0, endLine=307.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=309.0, endLine=309.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=314.0, endLine=314.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=315.0, endLine=315.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=317.0, endLine=317.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=319.0, endLine=319.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=322.0, endLine=322.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / "	MAIN	{startLine=291.0, endLine=291.0, startOffset=8.0, endOffset=30.0}	23min	AYF-mnn5-os8lNRVR6Ls	8e10562c18f164df6dcb7095806a1dbb	OPEN
MINOR	2022-06-19T21:54:13-0300		53.0	rcarrascosa@machinalis.com	python:S117	Featureforge	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2014-05-11T11:10:02-0300	CODE_SMELL	false	"convention / "	Featureforge:featureforge/vectorizer.py		MAIN	{startLine=53.0, endLine=53.0, startOffset=28.0, endOffset=29.0}	2min	AYF-mnni-os8lNRVR6LB	9f139913f9bf99527826300f0a5b1139	OPEN
MINOR	2022-06-19T21:54:13-0300		49.0	jmansilla@machinalis.com	python:S117	Featureforge	2min	"Rename this local variable ""SeqType"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2014-04-25T12:59:24-0300	CODE_SMELL	false	"convention / "	Featureforge:featureforge/experimentation/utils.py		MAIN	{startLine=49.0, endLine=49.0, startOffset=8.0, endOffset=15.0}	2min	AYF-mnnf-os8lNRVR6K-	f1d5269fbb948bb454d1594cac0c43f1	OPEN
CRITICAL	2022-06-19T21:54:13-0300		214.0	jmansilla@machinalis.com	python:S3776	Featureforge	11min	Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.	2014-04-08T14:19:46-0300	CODE_SMELL	false	"brain-overload / "	Featureforge:featureforge/flattener.py	"{locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=216.0, endLine=216.0, startOffset=8.0, endOffset=11.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=217.0, endLine=217.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=220.0, endLine=220.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=221.0, endLine=221.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=224.0, endLine=224.0, startOffset=12.0, endOffset=16.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=226.0, endLine=226.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=231.0, endLine=231.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=232.0, endLine=232.0, startOffset=20.0, endOffset=23.0}, msg=+4 (incl 3 for nesting)}]} / {locations=[{component=Featureforge:featureforge/flattener.py, textRange={startLine=235.0, endLine=235.0, startOffset=24.0, endOffset=26.0}, msg=+5 (incl 4 for nesting)}]} / "	MAIN	{startLine=214.0, endLine=214.0, startOffset=8.0, endOffset=23.0}	11min	AYF-mnn5-os8lNRVR6Lp	8ebd237b1fbf319933bb9188d907cd34	OPEN
CRITICAL	2022-06-19T21:54:13-0300		97.0	jmansilla@machinalis.com	python:S1192	Featureforge	6min	"Define a constant instead of duplicating this literal ""black mambazo"" 3 times."	2014-04-08T14:19:46-0300	CODE_SMELL	false	"design / "	Featureforge:tests/test_feature_flattener.py	"{locations=[{component=Featureforge:tests/test_feature_flattener.py, textRange={startLine=111.0, endLine=111.0, startOffset=20.0, endOffset=35.0}, msg=Duplication}]} / {locations=[{component=Featureforge:tests/test_feature_flattener.py, textRange={startLine=330.0, endLine=330.0, startOffset=20.0, endOffset=35.0}, msg=Duplication}]} / "	MAIN	{startLine=97.0, endLine=97.0, startOffset=20.0, endOffset=35.0}	6min	AYF-mnoI-os8lNRVR6MA	a77d7d9cc288aa1239b7f722c7418946	OPEN
MINOR	2022-06-19T21:54:13-0300		251.0	jmansilla@machinalis.com	python:S117	Featureforge	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2014-04-08T14:19:46-0300	CODE_SMELL	false	"convention / "	Featureforge:tests/test_feature_flattener.py		MAIN	{startLine=251.0, endLine=251.0, startOffset=31.0, endOffset=32.0}	2min	AYF-mnoI-os8lNRVR6ML	f440b1adc8f89759580da0d984687e13	OPEN
MINOR	2022-06-19T21:54:13-0300		262.0	jmansilla@machinalis.com	python:S117	Featureforge	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2014-04-08T14:19:46-0300	CODE_SMELL	false	"convention / "	Featureforge:tests/test_feature_flattener.py		MAIN	{startLine=262.0, endLine=262.0, startOffset=27.0, endOffset=28.0}	2min	AYF-mnoI-os8lNRVR6MM	ce43881ed9cbbce879623a466acad573	OPEN
