severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2022-09-15T13:49:48-0300		33.0	eriklindernoren@live.se	python:S1700	ML-From-Scratch	10min	"Rename field ""autoencoder"""	2018-01-22T19:09:15-0300	CODE_SMELL	false	"brain-overload / "	ML-From-Scratch:mlfromscratch/unsupervised_learning/autoencoder.py	"{locations=[{component=ML-From-Scratch:mlfromscratch/unsupervised_learning/autoencoder.py, textRange={startLine=16.0, endLine=16.0, startOffset=6.0, endOffset=17.0}, msg=Class declaration}]} / "	MAIN	{startLine=33.0, endLine=33.0, startOffset=13.0, endOffset=24.0}	10min	AYNCDrynop39vzmIhMQZ	18fb48d35426044744ccd06628e1ea38	OPEN
MINOR	2022-09-15T13:49:48-0300		72.0	eriklindernoren@live.se	python:S1481	ML-From-Scratch	5min	"Remove the unused local variable ""y""."	2018-01-22T19:09:15-0300	CODE_SMELL	false	"unused / "	ML-From-Scratch:mlfromscratch/unsupervised_learning/autoencoder.py		MAIN	{startLine=72.0, endLine=72.0, startOffset=8.0, endOffset=9.0}	5min	AYNCDrynop39vzmIhMQa	c37a1af3f0820d19d3f9fad03f6be3b4	OPEN
MINOR	2022-09-15T13:49:48-0300		93.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2018-01-22T19:09:15-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/unsupervised_learning/autoencoder.py		MAIN	{startLine=93.0, endLine=93.0, startOffset=31.0, endOffset=32.0}	2min	AYNCDrynop39vzmIhMQb	f9120dbf8fb82cb7b1c7f9dba92091f9	OPEN
MINOR	2022-09-15T13:49:48-0300		331.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""X_norm"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2018-01-12T19:39:48-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/deep_learning/layers.py		MAIN	{startLine=331.0, endLine=331.0, startOffset=8.0, endOffset=14.0}	2min	AYNCDrzhop39vzmIhMRV	3d95597df35764426c00c3945e01f389	OPEN
MINOR	2022-09-15T13:49:48-0300		70.0	eriklindernoren@live.se	python:S1481	ML-From-Scratch	5min	"Remove the unused local variable ""i""."	2018-01-12T19:39:48-0300	CODE_SMELL	false	"unused / "	ML-From-Scratch:mlfromscratch/supervised_learning/regression.py		MAIN	{startLine=70.0, endLine=70.0, startOffset=12.0, endOffset=13.0}	5min	AYNCDrxdop39vzmIhMPh	b5fd06c8708c3aeee7bac890c0f0f114	OPEN
MINOR	2022-09-15T13:49:48-0300		40.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""X_test"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-06T13:58:22-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/examples/particle_swarm_optimization.py		MAIN	{startLine=40.0, endLine=40.0, startOffset=13.0, endOffset=19.0}	2min	AYNCDrwLop39vzmIhMN_	17793a257b34b633272fb32a2c5f6460	OPEN
MINOR	2022-09-15T13:49:48-0300		40.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""X_train"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-06T13:58:22-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/examples/particle_swarm_optimization.py		MAIN	{startLine=40.0, endLine=40.0, startOffset=4.0, endOffset=11.0}	2min	AYNCDrwLop39vzmIhMOA	17793a257b34b633272fb32a2c5f6460	OPEN
MINOR	2022-09-15T13:49:48-0300		100.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""X_test"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-06T13:58:22-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/supervised_learning/multilayer_perceptron.py		MAIN	{startLine=100.0, endLine=100.0, startOffset=13.0, endOffset=19.0}	2min	AYNCDrx3op39vzmIhMQH	17793a257b34b633272fb32a2c5f6460	OPEN
MINOR	2022-09-15T13:49:48-0300		100.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""X_train"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-06T13:58:22-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/supervised_learning/multilayer_perceptron.py		MAIN	{startLine=100.0, endLine=100.0, startOffset=4.0, endOffset=11.0}	2min	AYNCDrx3op39vzmIhMQI	17793a257b34b633272fb32a2c5f6460	OPEN
MINOR	2022-09-15T13:49:48-0300		75.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""first_term_W"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-06T13:58:22-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/supervised_learning/particle_swarm_optimization.py		MAIN	{startLine=75.0, endLine=75.0, startOffset=16.0, endOffset=28.0}	2min	AYNCDrxCop39vzmIhMO7	63061a20b6edf96f99a634372ef76e35	OPEN
MINOR	2022-09-15T13:49:48-0300		76.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""second_term_W"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-06T13:58:22-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/supervised_learning/particle_swarm_optimization.py		MAIN	{startLine=76.0, endLine=76.0, startOffset=16.0, endOffset=29.0}	2min	AYNCDrxCop39vzmIhMO8	2002adf7e26795d9ddff6af2032f1712	OPEN
MINOR	2022-09-15T13:49:48-0300		77.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""third_term_W"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-06T13:58:22-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/supervised_learning/particle_swarm_optimization.py		MAIN	{startLine=77.0, endLine=77.0, startOffset=16.0, endOffset=28.0}	2min	AYNCDrxCop39vzmIhMO9	43bbbbf49f93d0fecedad9f876e419bd	OPEN
MINOR	2022-09-15T13:49:48-0300		98.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this parameter ""X"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-06T13:58:22-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/supervised_learning/particle_swarm_optimization.py		MAIN	{startLine=98.0, endLine=98.0, startOffset=21.0, endOffset=22.0}	2min	AYNCDrxCop39vzmIhMO-	e8ad4f8dbe6d18d8777606dfcec3d016	OPEN
MINOR	2022-09-15T13:49:48-0300		46.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""X_test"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-04T12:14:22-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/examples/neuroevolution.py		MAIN	{startLine=46.0, endLine=46.0, startOffset=13.0, endOffset=19.0}	2min	AYNCDrwYop39vzmIhMOF	17793a257b34b633272fb32a2c5f6460	OPEN
MINOR	2022-09-15T13:49:48-0300		46.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""X_train"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-04T12:14:22-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/examples/neuroevolution.py		MAIN	{startLine=46.0, endLine=46.0, startOffset=4.0, endOffset=11.0}	2min	AYNCDrwYop39vzmIhMOG	17793a257b34b633272fb32a2c5f6460	OPEN
MINOR	2022-09-15T13:49:48-0300		12.0	eriklindernoren@live.se	python:S117	ML-From-Scratch	2min	"Rename this local variable ""X_test"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-10-04T09:43:17-0300	CODE_SMELL	false	"convention / "	ML-From-Scratch:mlfromscratch/examples/naive_bayes.py		MAIN	{startLine=12.0, endLine=12.0, startOffset=13.0, endOffset=19.0}	2min	AYNCDrwrop39vzmIhMOP	4516db1f8b4977733a5d670a30966cf0	OPEN
