severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-06-19T16:53:37-0300		797.0	ram@rachum.com	python:S3776	TextBlob	7min	Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.	2020-06-23T11:46:47-0300	CODE_SMELL	false	"brain-overload / "	TextBlob:textblob/_text.py	"{locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=806.0, endLine=806.0, startOffset=12.0, endOffset=15.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=810.0, endLine=810.0, startOffset=31.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=813.0, endLine=813.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=818.0, endLine=818.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=818.0, endLine=818.0, startOffset=62.0, endOffset=65.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=822.0, endLine=822.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=825.0, endLine=825.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=826.0, endLine=826.0, startOffset=43.0, endOffset=45.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=829.0, endLine=829.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=830.0, endLine=830.0, startOffset=43.0, endOffset=45.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=832.0, endLine=832.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=833.0, endLine=833.0, startOffset=43.0, endOffset=45.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=838.0, endLine=838.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=842.0, endLine=842.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=846.0, endLine=846.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/_text.py, textRange={startLine=848.0, endLine=848.0, startOffset=8.0, endOffset=12.0}, msg=+1}]} / "	MAIN	{startLine=797.0, endLine=797.0, startOffset=8.0, endOffset=16.0}	7min	AYF9h1tk-os8lNRVRMMd	587b0783e2da321df9124e499f66f96f	OPEN
MINOR	2022-06-19T16:53:37-0300		365.0	danielong@outwardinc.com	python:S3626	TextBlob	1min	Remove this redundant return.	2018-10-10T17:06:37-0300	CODE_SMELL	false	"clumsy / redundant / "	TextBlob:textblob/_text.py		MAIN	{startLine=365.0, endLine=365.0, startOffset=4.0, endOffset=10.0}	1min	AYF9h1tk-os8lNRVRMMR	e70c4df10ef0983b9c8c31bd06b2a2c3	OPEN
MINOR	2022-06-19T16:53:37-0300		37.0	sloria1@gmail.com	python:S117	TextBlob	2min	"Rename this local variable ""Sentiment"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2017-12-02T19:07:11-0300	CODE_SMELL	false	"convention / "	TextBlob:textblob/en/sentiments.py		MAIN	{startLine=37.0, endLine=37.0, startOffset=12.0, endOffset=21.0}	2min	AYF9h1tY-os8lNRVRMMC	f6d22d3289a2dfc155091a06cfaf5ac0	OPEN
MAJOR	2022-06-19T16:53:37-0300		129.0	alopez@smartvel.com	python:S1542	TextBlob	10min	"Rename function ""RL"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2016-02-16T06:45:57-0300	CODE_SMELL	false	"convention / "	TextBlob:textblob/translate.py		MAIN	{startLine=129.0, endLine=129.0, startOffset=8.0, endOffset=10.0}	10min	AYF9h1t8-os8lNRVRMMx	f2ada0c5eea859231d0b69bb51eb17e3	OPEN
CRITICAL	2022-06-19T16:53:37-0300		431.0	jonathon.coe@offerpop.com	python:S3776	TextBlob	21min	Refactor this function to reduce its Cognitive Complexity from 31 to the 15 allowed.	2015-10-17T20:17:02-0300	CODE_SMELL	false	"brain-overload / "	TextBlob:textblob/en/inflect.py	"{locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=433.0, endLine=433.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=437.0, endLine=437.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=439.0, endLine=439.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=439.0, endLine=439.0, startOffset=26.0, endOffset=29.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=442.0, endLine=442.0, startOffset=4.0, endOffset=6.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=446.0, endLine=446.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=447.0, endLine=447.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=449.0, endLine=449.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=450.0, endLine=450.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=452.0, endLine=452.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=453.0, endLine=453.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=455.0, endLine=455.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=456.0, endLine=456.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=458.0, endLine=458.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=459.0, endLine=459.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=462.0, endLine=462.0, startOffset=4.0, endOffset=7.0}, msg=+1}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=465.0, endLine=465.0, startOffset=8.0, endOffset=10.0}, msg=+2 (incl 1 for nesting)}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=467.0, endLine=467.0, startOffset=12.0, endOffset=15.0}, msg=+3 (incl 2 for nesting)}]} / {locations=[{component=TextBlob:textblob/en/inflect.py, textRange={startLine=468.0, endLine=468.0, startOffset=16.0, endOffset=18.0}, msg=+4 (incl 3 for nesting)}]} / "	MAIN	{startLine=431.0, endLine=431.0, startOffset=4.0, endOffset=15.0}	21min	AYF9h1tT-os8lNRVRMMB	9a6fcf3fc28a8b4dc6c8b13dad0aadc5	OPEN
CRITICAL	2022-06-19T16:53:37-0300		11.0	sloria1@gmail.com	python:S2208	TextBlob	5min	Import only needed names or import the module and then use its members.	2014-09-14T18:24:20-0300	CODE_SMELL	false	"pitfall / "	TextBlob:tests/test_blob.py		MAIN	{startLine=11.0, endLine=11.0, startOffset=0.0, endOffset=24.0}	5min	AYF9h1uT-os8lNRVRMNI	6bb9279c39d95e1eb0e483fd9e3c0a24	OPEN
CRITICAL	2022-06-19T16:53:37-0300		4.0	sloria1@gmail.com	python:S2208	TextBlob	5min	Import only needed names or import the module and then use its members.	2014-09-14T18:23:58-0300	CODE_SMELL	false	"pitfall / "	TextBlob:tests/test_formats.py		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=24.0}	5min	AYF9h1uf-os8lNRVRMNP	6bb9279c39d95e1eb0e483fd9e3c0a24	OPEN
CRITICAL	2022-06-19T16:53:37-0300		40.0	sloria1@gmail.com	python:S1186	TextBlob	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2014-09-14T16:44:35-0300	CODE_SMELL	false	"suspicious / "	TextBlob:textblob/formats.py		MAIN	{startLine=40.0, endLine=40.0, startOffset=8.0, endOffset=16.0}	5min	AYF9h1t6-os8lNRVRMMu	ae85af72441c20ef0b4b04eca804229c	OPEN
BLOCKER	2022-06-19T16:53:37-0300		100.0	sloria1@gmail.com	python:S5719	TextBlob	5min	"Add a ""self"" or class parameter"	2014-09-14T16:10:55-0300	BUG	false		TextBlob:tests/test_formats.py		MAIN	{startLine=100.0, endLine=100.0, startOffset=4.0, endOffset=21.0}	5min	AYF9h1uf-os8lNRVRMNV	55692a1a8994dce73d9e4a08b14d7434	OPEN
CRITICAL	2022-06-19T16:53:37-0300		111.0	sloria1@gmail.com	python:S1186	TextBlob	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2014-09-14T16:10:55-0300	CODE_SMELL	false	"suspicious / "	TextBlob:tests/test_formats.py		MAIN	{startLine=111.0, endLine=111.0, startOffset=8.0, endOffset=13.0}	5min	AYF9h1uf-os8lNRVRMNW	f727e45acb03c49d62017e8c8fc71364	OPEN
